method,n,rmse,mae
poly3_k16,1114,0.06932376330040126,0.04948741442437927
poly2_k16,1114,0.06962256393605613,0.04951792242186148
poly2_k12,1114,0.0698948173737964,0.04993994576065955
poly1_k6,1114,0.07021343935132736,0.05024125282923364
poly3_k12,1114,0.0704187250561461,0.050269477270422254
poly1_k8,1114,0.07084514724835864,0.050962149760335265
poly3_k24,1114,0.07106617448779833,0.051156517824682356
pow1_k6,1114,0.0716160798732157,0.050630816975557054
poly2_k24,1114,0.07168011736050434,0.051418336774078525
pow0.5_k6,1114,0.07170940100448857,0.05090191760529628
poly2_k8,1114,0.07181118339465886,0.05067623834776874
poly1_k4,1114,0.07183073811218695,0.051076319571269166
mean_k6,1114,0.07186976671756691,0.051047428787621904
pow0.5_k4,1114,0.07189075304683777,0.05098033792025949
mean_k4,1114,0.07194873936155605,0.05105631195964556
pow1_k8,1114,0.07215028023846061,0.05113558704697176
pow1_k4,1114,0.07215839386775319,0.051020356095067436
median_k4,1114,0.07267860275214193,0.05000123536000967
pow0.5_k3,1114,0.07281880170301491,0.0516645352715029
mean_k3,1114,0.07290712655597668,0.051706433060598966
poly3_k8,1114,0.07294231098793946,0.05139894085341376
pow2_k16,1114,0.07310201183456409,0.05196309557628746
median_k6,1114,0.07313146477352851,0.0501681542229125
poly1_k12,1114,0.07314550172094374,0.05343965025574346
pow0.5_k8,1114,0.0731483904352217,0.05194226816685285
pow1_k3,1114,0.07321242230022941,0.05169154845642414
pow2_k24,1114,0.07329265237511755,0.05234628933594396
pow2_k12,1114,0.07330625083562395,0.05174752760482045
pow1_k12,1114,0.07369991961834177,0.05249805311531687
pow2_k8,1114,0.07376125690358849,0.051672758435087826
mean_k8,1114,0.07379448531768672,0.05235790674501185
pow2_k6,1114,0.07391405257000033,0.05166635912481158
median_k3,1114,0.07405684482881601,0.051096699418711505
poly2_k6,1114,0.07446394535545606,0.05269629798785659
pow2_k4,1114,0.07451331878522796,0.0521187505975863
pow3_k24,1114,0.07462768599186952,0.052580880698759234
pow3_k16,1114,0.0746423692142761,0.05262476651882345
median_k2,1114,0.07501334181905947,0.05306206488833438
pow3_k12,1114,0.07504788092421202,0.05268423198003421
pow0.5_k2,1114,0.07533278970794668,0.05305029710415848
median_k8,1114,0.07535002808028454,0.051527719873532496
pow2_k3,1114,0.07538457252929212,0.05258496929328551
mean_k2,1114,0.07538868883789408,0.05311468690754545
pow3_k8,1114,0.07583004395867886,0.05288719548127255
pow1_k16,1114,0.07594606065022114,0.05483659747886858
pow1_k2,1114,0.07607755556327198,0.053225652346036365
pow3_k6,1114,0.07633105895662097,0.05299634620038137
pow0.5_k12,1114,0.0768583644033253,0.05498106706336253
pow3_k4,1114,0.07702797526817194,0.05332144641451977
poly1_k16,1114,0.07706260133156788,0.05692330059296653
bracket_k6,1114,0.07728025448488227,0.05361510059838993
bracket_k12,1114,0.0772822751014438,0.053646550082745444
bracket_k24,1114,0.0772822751014438,0.053646550082745444
bracket_k16,1114,0.0772822751014438,0.053646550082745444
bracket_k8,1114,0.0772822751014438,0.053646550082745444
bracket_k4,1114,0.0773387356559962,0.05360128047103638
pow3_k3,1114,0.07760939960214777,0.05360190939398833
pow2_k2,1114,0.07794590329012865,0.054092320350838496
bracket_k3,1114,0.07803444323720983,0.05379982482337327
mean_k12,1114,0.07876393122931677,0.05630014393421535
poly1_k3,1114,0.0788714307319729,0.05389664165466927
poly3_k6,1114,0.07895380613129917,0.05450569888941226
pow3_k2,1114,0.07951297143488445,0.054768688564858954
bracket_k2,1114,0.08006166678367001,0.05492676243940207
median_k12,1114,0.08065139909085388,0.05542181670139799
pow1_k24,1114,0.08085718711979291,0.059335493510331794
pow0.5_k16,1114,0.08196946014792779,0.059463738606797704
poly2_k4,1114,0.08312999923832938,0.05711460074387548
mean_k16,1114,0.08556740075798004,0.061824748025515346
median_k16,1114,0.08754462542247259,0.06008223501801898
poly1_k24,1114,0.08755566738297717,0.06491194187920266
poly3_k4,1114,0.09175052199430533,0.06372210324445023
pow0.5_k24,1114,0.09265559655682376,0.06827146853129104
poly3_k2,1114,0.09440878650853236,0.061773098977429844
mean_k24,1114,0.09948104308854254,0.07310252021574382
median_k24,1114,0.10093652696729168,0.06894188961175911
poly2_k2,1114,0.10335612204442071,0.06523268591283769
poly3_k3,1114,0.1082395317635308,0.06905071569713231
poly2_k3,1114,0.11286890003156085,0.07228621659900158
poly1_k2,1114,0.12247703287748064,0.07238240189446961
