width,radius,source_profile,agg,mode,n,rmse_pooled,base_rmse_pooled,delta_pooled,wins,coverage
16,4,False,mean,loo,10576.0000000000,0.0655786981,0.0666343245,-0.0010556264,4.0000000000,0.9895990923
16,4,False,exp,loo,10576.0000000000,0.0655944659,0.0666343245,-0.0010398586,4.0000000000,0.9895990923
16,8,False,exp,loo,10576.0000000000,0.0656018256,0.0666343245,-0.0010324989,4.0000000000,0.9922465961
16,4,False,inv1,loo,10576.0000000000,0.0656122978,0.0666343245,-0.0010220267,4.0000000000,0.9895990923
16,4,False,mean,fixed020,10576.0000000000,0.0656125978,0.0666343245,-0.0010217267,4.0000000000,0.9895990923
16,16,False,exp,loo,10576.0000000000,0.0656130896,0.0666343245,-0.0010212348,4.0000000000,0.9932866868
16,8,False,inv1,loo,10576.0000000000,0.0656158126,0.0666343245,-0.0010185119,4.0000000000,0.9922465961
16,4,False,exp,fixed020,10576.0000000000,0.0656200590,0.0666343245,-0.0010142654,4.0000000000,0.9895990923
16,4,False,inv1,fixed020,10576.0000000000,0.0656251391,0.0666343245,-0.0010091853,4.0000000000,0.9895990923
16,16,False,inv1,loo,10576.0000000000,0.0656257039,0.0666343245,-0.0010086205,4.0000000000,0.9932866868
16,32,False,exp,loo,10576.0000000000,0.0656307586,0.0666343245,-0.0010035658,4.0000000000,0.9948940998
16,32,False,inv1,loo,10576.0000000000,0.0656329738,0.0666343245,-0.0010013507,4.0000000000,0.9948940998
16,8,False,exp,fixed020,10576.0000000000,0.0656369072,0.0666343245,-0.0009974172,4.0000000000,0.9922465961
16,8,False,inv1,fixed020,10576.0000000000,0.0656383528,0.0666343245,-0.0009959717,4.0000000000,0.9922465961
16,16,False,exp,fixed020,10576.0000000000,0.0656575758,0.0666343245,-0.0009767487,4.0000000000,0.9932866868
16,16,False,inv1,fixed020,10576.0000000000,0.0656622500,0.0666343245,-0.0009720745,4.0000000000,0.9932866868
16,8,False,mean,loo,10576.0000000000,0.0656704055,0.0666343245,-0.0009639189,4.0000000000,0.9922465961
16,32,False,exp,fixed020,10576.0000000000,0.0656709479,0.0666343245,-0.0009633766,4.0000000000,0.9948940998
16,32,False,inv1,fixed020,10576.0000000000,0.0656756382,0.0666343245,-0.0009586862,4.0000000000,0.9948940998
16,16,False,inv2,fixed020,10576.0000000000,0.0656793748,0.0666343245,-0.0009549497,4.0000000000,0.9932866868
16,8,False,inv2,fixed020,10576.0000000000,0.0656842181,0.0666343245,-0.0009501063,4.0000000000,0.9922465961
16,16,False,inv2,loo,10576.0000000000,0.0656867283,0.0666343245,-0.0009475962,4.0000000000,0.9932866868
