width,radius,source_profile,agg,held_seed,mode,alpha,n,coverage,rmse,base_rmse,delta
8,2,False,inv1,0,loo,0.2168698983,2644,0.9761724660,0.0696690658,0.0703032685,-0.0006342027
8,2,False,inv1,0,fixed020,0.2000000000,2644,0.9761724660,0.0696736134,0.0703032685,-0.0006296551
8,2,False,inv1,1,loo,0.2237133752,2644,0.9670953101,0.0621662205,0.0627891573,-0.0006229368
8,2,False,inv1,1,fixed020,0.2000000000,2644,0.9670953101,0.0621570416,0.0627891573,-0.0006321156
8,2,False,inv1,2,loo,0.2292928589,2644,0.9663388805,0.0646971424,0.0651086475,-0.0004115051
8,2,False,inv1,2,fixed020,0.2000000000,2644,0.9663388805,0.0646687922,0.0651086475,-0.0004398553
8,2,False,inv1,70404,loo,0.1995570807,2644,0.9754160363,0.0671826004,0.0680908876,-0.0009082872
8,2,False,inv1,70404,fixed020,0.2000000000,2644,0.9754160363,0.0671817379,0.0680908876,-0.0009091497
8,2,False,inv2,0,loo,0.2132827051,2644,0.9761724660,0.0696837308,0.0703032685,-0.0006195377
8,2,False,inv2,0,fixed020,0.2000000000,2644,0.9761724660,0.0696851868,0.0703032685,-0.0006180817
8,2,False,inv2,1,loo,0.2197839708,2644,0.9670953101,0.0621706337,0.0627891573,-0.0006185236
8,2,False,inv2,1,fixed020,0.2000000000,2644,0.9670953101,0.0621593613,0.0627891573,-0.0006297960
8,2,False,inv2,2,loo,0.2226476332,2644,0.9663388805,0.0646591301,0.0651086475,-0.0004495174
8,2,False,inv2,2,fixed020,0.2000000000,2644,0.9663388805,0.0646390125,0.0651086475,-0.0004696350
8,2,False,inv2,70404,loo,0.1949645261,2644,0.9754160363,0.0671626528,0.0680908876,-0.0009282348
8,2,False,inv2,70404,fixed020,0.2000000000,2644,0.9754160363,0.0671526443,0.0680908876,-0.0009382433
8,2,False,median,0,loo,0.2018335063,2644,0.9761724660,0.0696568366,0.0703032685,-0.0006464319
8,2,False,median,0,fixed020,0.2000000000,2644,0.9761724660,0.0696578923,0.0703032685,-0.0006453762
8,2,False,median,1,loo,0.2114795734,2644,0.9670953101,0.0622128385,0.0627891573,-0.0005763188
8,2,False,median,1,fixed020,0.2000000000,2644,0.9670953101,0.0622092164,0.0627891573,-0.0005799409
8,2,False,median,2,loo,0.2225978941,2644,0.9663388805,0.0648195587,0.0651086475,-0.0002890888
8,2,False,median,2,fixed020,0.2000000000,2644,0.9663388805,0.0647880788,0.0651086475,-0.0003205687
8,2,False,median,70404,loo,0.1931694000,2644,0.9754160363,0.0673467610,0.0680908876,-0.0007441266
8,2,False,median,70404,fixed020,0.2000000000,2644,0.9754160363,0.0673371579,0.0680908876,-0.0007537297
8,2,False,mean,0,loo,0.2107937530,2644,0.9761724660,0.0696890475,0.0703032685,-0.0006142210
8,2,False,mean,0,fixed020,0.2000000000,2644,0.9761724660,0.0696919657,0.0703032685,-0.0006113028
8,2,False,mean,1,loo,0.2175750396,2644,0.9670953101,0.0622005749,0.0627891573,-0.0005885823
8,2,False,mean,1,fixed020,0.2000000000,2644,0.9670953101,0.0621939400,0.0627891573,-0.0005952172
8,2,False,mean,2,loo,0.2259340112,2644,0.9663388805,0.0647614999,0.0651086475,-0.0003471476
8,2,False,mean,2,fixed020,0.2000000000,2644,0.9663388805,0.0647302364,0.0651086475,-0.0003784111
8,2,False,mean,70404,loo,0.1941092978,2644,0.9754160363,0.0672423684,0.0680908876,-0.0008485192
8,2,False,mean,70404,fixed020,0.2000000000,2644,0.9754160363,0.0672314173,0.0680908876,-0.0008594703
8,2,False,exp,0,loo,0.2144272656,2644,0.9761724660,0.0696767988,0.0703032685,-0.0006264697
8,2,False,exp,0,fixed020,0.2000000000,2644,0.9761724660,0.0696810393,0.0703032685,-0.0006222292
8,2,False,exp,1,loo,0.2212776959,2644,0.9670953101,0.0621827482,0.0627891573,-0.0006064091
8,2,False,exp,1,fixed020,0.2000000000,2644,0.9670953101,0.0621752211,0.0627891573,-0.0006139361
8,2,False,exp,2,loo,0.2287286701,2644,0.9663388805,0.0647359389,0.0651086475,-0.0003727086
8,2,False,exp,2,fixed020,0.2000000000,2644,0.9663388805,0.0647043127,0.0651086475,-0.0004043348
8,2,False,exp,70404,loo,0.1975640565,2644,0.9754160363,0.0672156214,0.0680908876,-0.0008752662
8,2,False,exp,70404,fixed020,0.2000000000,2644,0.9754160363,0.0672109968,0.0680908876,-0.0008798908
8,2,True,inv1,0,loo,0.3654215041,2644,0.9761724660,0.0698542976,0.0703032685,-0.0004489709
8,2,True,inv1,0,fixed020,0.2000000000,2644,0.9761724660,0.0699327413,0.0703032685,-0.0003705272
8,2,True,inv1,1,loo,0.3380294727,2644,0.9670953101,0.0620774447,0.0627891573,-0.0007117125
8,2,True,inv1,1,fixed020,0.2000000000,2644,0.9670953101,0.0622530115,0.0627891573,-0.0005361457
8,2,True,inv1,2,loo,0.3836863456,2644,0.9663388805,0.0648682619,0.0651086475,-0.0002403856
8,2,True,inv1,2,fixed020,0.2000000000,2644,0.9663388805,0.0648549930,0.0651086475,-0.0002536545
8,2,True,inv1,70404,loo,0.3520366486,2644,0.9754160363,0.0676006325,0.0680908876,-0.0004902552
8,2,True,inv1,70404,fixed020,0.2000000000,2644,0.9754160363,0.0677121475,0.0680908876,-0.0003787401
8,2,True,inv2,0,loo,0.3566561975,2644,0.9761724660,0.0698398305,0.0703032685,-0.0004634380
8,2,True,inv2,0,fixed020,0.2000000000,2644,0.9761724660,0.0699166454,0.0703032685,-0.0003866231
8,2,True,inv2,1,loo,0.3309194374,2644,0.9670953101,0.0620791744,0.0627891573,-0.0007099829
8,2,True,inv2,1,fixed020,0.2000000000,2644,0.9670953101,0.0622456870,0.0627891573,-0.0005434703
8,2,True,inv2,2,loo,0.3757538175,2644,0.9663388805,0.0648785443,0.0651086475,-0.0002301032
8,2,True,inv2,2,fixed020,0.2000000000,2644,0.9663388805,0.0648571629,0.0651086475,-0.0002514846
8,2,True,inv2,70404,loo,0.3429119575,2644,0.9754160363,0.0675832297,0.0680908876,-0.0005076579
8,2,True,inv2,70404,fixed020,0.2000000000,2644,0.9754160363,0.0676941818,0.0680908876,-0.0003967058
8,2,True,median,0,loo,0.3759453042,2644,0.9761724660,0.0698404423,0.0703032685,-0.0004628262
8,2,True,median,0,fixed020,0.2000000000,2644,0.9761724660,0.0699354207,0.0703032685,-0.0003678478
8,2,True,median,1,loo,0.3480249769,2644,0.9670953101,0.0620493645,0.0627891573,-0.0007397927
8,2,True,median,1,fixed020,0.2000000000,2644,0.9670953101,0.0622468858,0.0627891573,-0.0005422714
8,2,True,median,2,loo,0.3990830661,2644,0.9663388805,0.0648735216,0.0651086475,-0.0002351259
8,2,True,median,2,fixed020,0.2000000000,2644,0.9663388805,0.0648593894,0.0651086475,-0.0002492581
8,2,True,median,70404,loo,0.3687636950,2644,0.9754160363,0.0676281497,0.0680908876,-0.0004627379
8,2,True,median,70404,fixed020,0.2000000000,2644,0.9754160363,0.0677363606,0.0680908876,-0.0003545270
8,2,True,mean,0,loo,0.3512249332,2644,0.9761724660,0.0699023434,0.0703032685,-0.0004009251
8,2,True,mean,0,fixed020,0.2000000000,2644,0.9761724660,0.0699624105,0.0703032685,-0.0003408580
8,2,True,mean,1,loo,0.3239922055,2644,0.9670953101,0.0621325852,0.0627891573,-0.0006565721
8,2,True,mean,1,fixed020,0.2000000000,2644,0.9670953101,0.0622798767,0.0627891573,-0.0005092806
8,2,True,mean,2,loo,0.3670606705,2644,0.9663388805,0.0648737899,0.0651086475,-0.0002348576
8,2,True,mean,2,fixed020,0.2000000000,2644,0.9663388805,0.0648628608,0.0651086475,-0.0002457867
8,2,True,mean,70404,loo,0.3378887389,2644,0.9754160363,0.0676524215,0.0680908876,-0.0004384661
8,2,True,mean,70404,fixed020,0.2000000000,2644,0.9754160363,0.0677427609,0.0680908876,-0.0003481267
8,2,True,exp,0,loo,0.3598042386,2644,0.9761724660,0.0698805262,0.0703032685,-0.0004227423
8,2,True,exp,0,fixed020,0.2000000000,2644,0.9761724660,0.0699499524,0.0703032685,-0.0003533161
8,2,True,exp,1,loo,0.3322496229,2644,0.9670953101,0.0621046958,0.0627891573,-0.0006844615
8,2,True,exp,1,fixed020,0.2000000000,2644,0.9670953101,0.0622674504,0.0627891573,-0.0005217069
8,2,True,exp,2,loo,0.3768526716,2644,0.9663388805,0.0648697264,0.0651086475,-0.0002389211
8,2,True,exp,2,fixed020,0.2000000000,2644,0.9663388805,0.0648586495,0.0651086475,-0.0002499980
8,2,True,exp,70404,loo,0.3465334509,2644,0.9754160363,0.0676293615,0.0680908876,-0.0004615261
8,2,True,exp,70404,fixed020,0.2000000000,2644,0.9754160363,0.0677301956,0.0680908876,-0.0003606920
8,4,False,inv1,0,loo,0.2744864608,2644,0.9931921331,0.0695867302,0.0703032685,-0.0007165383
8,4,False,inv1,0,fixed020,0.2000000000,2644,0.9931921331,0.0696178234,0.0703032685,-0.0006854451
8,4,False,inv1,1,loo,0.2739231804,2644,0.9863842663,0.0618891376,0.0627891573,-0.0009000197
8,4,False,inv1,1,fixed020,0.2000000000,2644,0.9863842663,0.0619336700,0.0627891573,-0.0008554872
8,4,False,inv1,2,loo,0.2792103098,2644,0.9886535552,0.0644438924,0.0651086475,-0.0006647551
8,4,False,inv1,2,fixed020,0.2000000000,2644,0.9886535552,0.0644470490,0.0651086475,-0.0006615985
8,4,False,inv1,70404,loo,0.2524804676,2644,0.9901664145,0.0669815337,0.0680908876,-0.0011093539
8,4,False,inv1,70404,fixed020,0.2000000000,2644,0.9901664145,0.0670972140,0.0680908876,-0.0009936736
8,4,False,inv2,0,loo,0.2465379190,2644,0.9931921331,0.0696177725,0.0703032685,-0.0006854960
8,4,False,inv2,0,fixed020,0.2000000000,2644,0.9931921331,0.0696297565,0.0703032685,-0.0006735120
8,4,False,inv2,1,loo,0.2495248104,2644,0.9863842663,0.0620014074,0.0627891573,-0.0007877499
8,4,False,inv2,1,fixed020,0.2000000000,2644,0.9863842663,0.0620041826,0.0627891573,-0.0007849747
8,4,False,inv2,2,loo,0.2524762842,2644,0.9886535552,0.0645117881,0.0651086475,-0.0005968594
8,4,False,inv2,2,fixed020,0.2000000000,2644,0.9886535552,0.0644955030,0.0651086475,-0.0006131445
8,4,False,inv2,70404,loo,0.2250025481,2644,0.9901664145,0.0670234456,0.0680908876,-0.0010674420
8,4,False,inv2,70404,fixed020,0.2000000000,2644,0.9901664145,0.0670799008,0.0680908876,-0.0010109868
8,4,False,median,0,loo,0.2534700562,2644,0.9931921331,0.0696328135,0.0703032685,-0.0006704550
