feature,n,rmse_pooled,base_rmse_pooled,delta_pooled,coverage_mean,wins
r8_crop_resmean,10576.0000000000,0.0658111287,0.0667664220,-0.0009552933,0.9922465961,4.0000000000
r16_crop_resmean,10576.0000000000,0.0658200419,0.0667664220,-0.0009463801,0.9932866868,4.0000000000
r4_crop_resmean,10576.0000000000,0.0658308812,0.0667664220,-0.0009355408,0.9895990923,4.0000000000
r8_all_resmean,10576.0000000000,0.0658479350,0.0667664220,-0.0009184870,0.9965015129,4.0000000000
r32_crop_resmean,10576.0000000000,0.0658487448,0.0667664220,-0.0009176772,0.9948940998,4.0000000000
r4_all_resmean,10576.0000000000,0.0658927615,0.0667664220,-0.0008736605,0.9926248109,4.0000000000
r64_crop_resmean,10576.0000000000,0.0658963228,0.0667664220,-0.0008700992,0.9952723147,4.0000000000
r16_all_resmean,10576.0000000000,0.0659127566,0.0667664220,-0.0008536654,0.9982034796,4.0000000000
r32_all_resmean,10576.0000000000,0.0659788419,0.0667664220,-0.0007875801,0.9990544629,4.0000000000
r64_all_resmean,10576.0000000000,0.0660031245,0.0667664220,-0.0007632975,0.9991490166,4.0000000000
r4_crop_rawmed,10576.0000000000,0.0660093479,0.0667664220,-0.0007570741,0.9895990923,4.0000000000
r4_crop_resmed,10576.0000000000,0.0660123739,0.0667664220,-0.0007540481,0.9895990923,4.0000000000
r8_all_rawmed,10576.0000000000,0.0660296621,0.0667664220,-0.0007367599,0.9965015129,4.0000000000
r8_all_resmed,10576.0000000000,0.0660296621,0.0667664220,-0.0007367599,0.9965015129,4.0000000000
r4_all_resmed,10576.0000000000,0.0660615612,0.0667664220,-0.0007048608,0.9926248109,4.0000000000
r4_all_rawmed,10576.0000000000,0.0660617120,0.0667664220,-0.0007047100,0.9926248109,4.0000000000
r8_crop_rawmed,10576.0000000000,0.0660739031,0.0667664220,-0.0006925189,0.9922465961,4.0000000000
r8_crop_resmed,10576.0000000000,0.0660739031,0.0667664220,-0.0006925189,0.9922465961,4.0000000000
r2_all_resmean,10576.0000000000,0.0660903697,0.0667664220,-0.0006760523,0.9785363086,4.0000000000
r2_crop_resmean,10576.0000000000,0.0660939272,0.0667664220,-0.0006724948,0.9712556732,4.0000000000
r16_crop_resmed,10576.0000000000,0.0661186093,0.0667664220,-0.0006478127,0.9932866868,4.0000000000
r16_crop_rawmed,10576.0000000000,0.0661257461,0.0667664220,-0.0006406759,0.9932866868,4.0000000000
r1_crop_rawmed,10576.0000000000,0.0661465677,0.0667664220,-0.0006198543,0.8318835098,4.0000000000
r1_crop_resmed,10576.0000000000,0.0661514305,0.0667664220,-0.0006149915,0.8318835098,4.0000000000
r1_crop_resmean,10576.0000000000,0.0661514305,0.0667664220,-0.0006149915,0.8318835098,4.0000000000
r2_all_rawmed,10576.0000000000,0.0661587481,0.0667664220,-0.0006076739,0.9785363086,4.0000000000
r2_all_resmed,10576.0000000000,0.0661593607,0.0667664220,-0.0006070613,0.9785363086,4.0000000000
r2_crop_rawmed,10576.0000000000,0.0661621996,0.0667664220,-0.0006042224,0.9712556732,4.0000000000
r2_crop_resmed,10576.0000000000,0.0661628544,0.0667664220,-0.0006035676,0.9712556732,4.0000000000
r1_all_rawmed,10576.0000000000,0.0661653748,0.0667664220,-0.0006010472,0.8426626324,4.0000000000
r1_all_resmean,10576.0000000000,0.0661690536,0.0667664220,-0.0005973684,0.8426626324,4.0000000000
r1_all_resmed,10576.0000000000,0.0661690536,0.0667664220,-0.0005973684,0.8426626324,4.0000000000
r32_crop_resmed,10576.0000000000,0.0662082251,0.0667664220,-0.0005581969,0.9948940998,4.0000000000
r32_crop_rawmed,10576.0000000000,0.0662154013,0.0667664220,-0.0005510207,0.9948940998,4.0000000000
r16_all_resmed,10576.0000000000,0.0662255963,0.0667664220,-0.0005408258,0.9982034796,4.0000000000
r16_all_rawmed,10576.0000000000,0.0662405016,0.0667664220,-0.0005259204,0.9982034796,4.0000000000
r4_crop_s2_resmed,10576.0000000000,0.0662536941,0.0667664220,-0.0005127279,0.4703101362,4.0000000000
crop_resmean,10576.0000000000,0.0662559919,0.0667664220,-0.0005104301,0.9952723147,4.0000000000
r8_all_s2_resmed,10576.0000000000,0.0662686844,0.0667664220,-0.0004977376,0.5246785174,4.0000000000
r64_crop_resmed,10576.0000000000,0.0663248867,0.0667664220,-0.0004415353,0.9952723147,4.0000000000
r64_crop_rawmed,10576.0000000000,0.0663308287,0.0667664220,-0.0004355933,0.9952723147,4.0000000000
crop_resmed,10576.0000000000,0.0663408920,0.0667664220,-0.0004255300,0.9952723147,4.0000000000
r8_crop_s2_resmed,10576.0000000000,0.0663440821,0.0667664220,-0.0004223399,0.4815620272,4.0000000000
r2_crop_s2_resmed,10576.0000000000,0.0663884335,0.0667664220,-0.0003779886,0.4425113464,4.0000000000
r32_all_resmed,10576.0000000000,0.0664030001,0.0667664220,-0.0003634219,0.9990544629,4.0000000000
r16_crop_s2_resmed,10576.0000000000,0.0664041768,0.0667664220,-0.0003622452,0.5004727685,4.0000000000
r4_all_s2_resmed,10576.0000000000,0.0664053072,0.0667664220,-0.0003611148,0.5016074130,4.0000000000
r32_all_rawmed,10576.0000000000,0.0664155373,0.0667664220,-0.0003508847,0.9990544629,4.0000000000
date_resmean,10576.0000000000,0.0664222642,0.0667664220,-0.0003441578,0.9991490166,4.0000000000
r2_all_s2_resmed,10576.0000000000,0.0664378903,0.0667664220,-0.0003285318,0.4612329803,4.0000000000
r64_all_rawmed,10576.0000000000,0.0664413044,0.0667664220,-0.0003251176,0.9991490166,4.0000000000
r64_all_resmed,10576.0000000000,0.0664413044,0.0667664220,-0.0003251176,0.9991490166,4.0000000000
date_resmed,10576.0000000000,0.0664421571,0.0667664220,-0.0003242649,0.9991490166,4.0000000000
r16_all_s2_resmed,10576.0000000000,0.0664518502,0.0667664220,-0.0003145718,0.5475605144,4.0000000000
r4_crop_landsat_resmed,10576.0000000000,0.0664563014,0.0667664220,-0.0003101206,0.4055408472,4.0000000000
r32_crop_s2_resmed,10576.0000000000,0.0664581107,0.0667664220,-0.0003083113,0.5224092284,4.0000000000
r4_all_landsat_resmed,10576.0000000000,0.0664694806,0.0667664220,-0.0002969414,0.4438350983,4.0000000000
r1_crop_s2_resmed,10576.0000000000,0.0664871298,0.0667664220,-0.0002792922,0.3680030257,4.0000000000
r1_all_s2_resmed,10576.0000000000,0.0664988557,0.0667664220,-0.0002675663,0.3758509834,4.0000000000
r1_crop_landsat_resmed,10576.0000000000,0.0665203551,0.0667664220,-0.0002460669,0.3248865356,4.0000000000
r16_crop_landsat_resmed,10576.0000000000,0.0665268439,0.0667664220,-0.0002395781,0.4352307110,4.0000000000
r8_crop_landsat_resmed,10576.0000000000,0.0665288485,0.0667664220,-0.0002375735,0.4170763994,4.0000000000
r2_all_landsat_resmed,10576.0000000000,0.0665322592,0.0667664220,-0.0002341628,0.4054462935,4.0000000000
r1_all_landsat_resmed,10576.0000000000,0.0665323212,0.0667664220,-0.0002341008,0.3296142209,4.0000000000
r2_crop_landsat_resmed,10576.0000000000,0.0665334824,0.0667664220,-0.0002329396,0.3897503782,4.0000000000
r64_crop_s2_resmed,10576.0000000000,0.0665529542,0.0667664220,-0.0002134678,0.5425491679,4.0000000000
r8_all_landsat_resmed,10576.0000000000,0.0665672528,0.0667664220,-0.0001991692,0.4923411498,4.0000000000
r32_crop_landsat_resmed,10576.0000000000,0.0665737337,0.0667664220,-0.0001926883,0.4479954614,4.0000000000
r64_crop_landsat_resmed,10576.0000000000,0.0666062364,0.0667664220,-0.0001601856,0.4756996974,4.0000000000
r32_all_s2_resmed,10576.0000000000,0.0666137668,0.0667664220,-0.0001526552,0.5929462935,4.0000000000
r16_all_landsat_resmed,10576.0000000000,0.0666389073,0.0667664220,-0.0001275147,0.5425491679,3.0000000000
r64_all_s2_resmed,10576.0000000000,0.0666554088,0.0667664220,-0.0001110132,0.6250945537,4.0000000000
r1_crop_modis_resmed,10576.0000000000,0.0666658597,0.0667664220,-0.0001005623,0.1516641452,4.0000000000
r1_all_modis_resmed,10576.0000000000,0.0666704549,0.0667664220,-0.0000959671,0.1565809380,4.0000000000
r32_all_landsat_resmed,10576.0000000000,0.0666801255,0.0667664220,-0.0000862965,0.6041036309,4.0000000000
r8_crop_modis_resmed,10576.0000000000,0.0666886432,0.0667664220,-0.0000777788,0.1953479576,3.0000000000
r64_all_landsat_resmed,10576.0000000000,0.0667011266,0.0667664220,-0.0000652954,0.6407904690,4.0000000000
r16_crop_modis_resmed,10576.0000000000,0.0667124492,0.0667664220,-0.0000539728,0.2034795764,3.0000000000
r4_crop_modis_resmed,10576.0000000000,0.0667139036,0.0667664220,-0.0000525184,0.1880673222,3.0000000000
r8_all_modis_resmed,10576.0000000000,0.0667148859,0.0667664220,-0.0000515361,0.2153933434,4.0000000000
r2_crop_modis_resmed,10576.0000000000,0.0667236036,0.0667664220,-0.0000428184,0.1801248109,3.0000000000
r32_crop_modis_resmed,10576.0000000000,0.0667302894,0.0667664220,-0.0000361326,0.2097201210,3.0000000000
r16_all_modis_resmed,10576.0000000000,0.0667325298,0.0667664220,-0.0000338922,0.2201210287,3.0000000000
r2_all_modis_resmed,10576.0000000000,0.0667340257,0.0667664220,-0.0000323963,0.1891074130,4.0000000000
r4_all_modis_resmed,10576.0000000000,0.0667396705,0.0667664220,-0.0000267515,0.2046142209,3.0000000000
