held_seed,feature,alpha,n,coverage,rmse,base_rmse,delta
0,r1_all_resmed,0.1390345405,2644,0.8453101362,0.0699245119,0.0703857997,-0.0004612878
0,r1_all_resmean,0.1390345405,2644,0.8453101362,0.0699245119,0.0703857997,-0.0004612878
0,r1_all_rawmed,0.1382411367,2644,0.8453101362,0.0698943554,0.0703857997,-0.0004914443
0,r1_all_s2_resmed,0.1333097123,2644,0.3812405446,0.0700835956,0.0703857997,-0.0003022041
0,r1_all_landsat_resmed,0.1849850455,2644,0.3294251135,0.0703099540,0.0703857997,-0.0000758457
0,r1_all_modis_resmed,0.1023863511,2644,0.1565809380,0.0703430471,0.0703857997,-0.0000427526
0,r1_crop_resmed,0.1433386110,2644,0.8347201210,0.0699397946,0.0703857997,-0.0004460051
0,r1_crop_resmean,0.1433386110,2644,0.8347201210,0.0699397946,0.0703857997,-0.0004460051
0,r1_crop_rawmed,0.1425197572,2644,0.8347201210,0.0699048008,0.0703857997,-0.0004809989
0,r1_crop_s2_resmed,0.1358113574,2644,0.3706505295,0.0700384125,0.0703857997,-0.0003473872
0,r1_crop_landsat_resmed,0.1898138891,2644,0.3256429652,0.0703063842,0.0703857997,-0.0000794155
0,r1_crop_modis_resmed,0.1102389786,2644,0.1524205749,0.0703668496,0.0703857997,-0.0000189501
0,r2_all_resmed,0.1429437565,2644,0.9803328290,0.0697416365,0.0703857997,-0.0006441632
0,r2_all_resmean,0.1513864491,2644,0.9803328290,0.0697852485,0.0703857997,-0.0006005512
0,r2_all_rawmed,0.1401489848,2644,0.9803328290,0.0697061399,0.0703857997,-0.0006796598
0,r2_all_s2_resmed,0.1480287749,2644,0.4618003026,0.0700136049,0.0703857997,-0.0003721949
0,r2_all_landsat_resmed,0.1688798872,2644,0.4096066566,0.0701803300,0.0703857997,-0.0002054697
0,r2_all_modis_resmed,0.0716616250,2644,0.1875945537,0.0703780272,0.0703857997,-0.0000077725
0,r2_crop_resmed,0.1392037352,2644,0.9761724660,0.0697574327,0.0703857997,-0.0006283670
0,r2_crop_resmean,0.1479470171,2644,0.9761724660,0.0697850060,0.0703857997,-0.0006007937
0,r2_crop_rawmed,0.1366089243,2644,0.9761724660,0.0697217938,0.0703857997,-0.0006640059
0,r2_crop_s2_resmed,0.1566650352,2644,0.4425113464,0.0699089087,0.0703857997,-0.0004768911
0,r2_crop_landsat_resmed,0.1732599743,2644,0.3963691377,0.0701921327,0.0703857997,-0.0001936670
0,r2_crop_modis_resmed,0.0844741821,2644,0.1819213313,0.0703938846,0.0703857997,0.0000080849
0,r4_all_resmed,0.1848349980,2644,0.9965960666,0.0697107844,0.0703857997,-0.0006750154
0,r4_all_resmean,0.1911663444,2644,0.9965960666,0.0696466353,0.0703857997,-0.0007391644
0,r4_all_rawmed,0.1847526122,2644,0.9965960666,0.0697107834,0.0703857997,-0.0006750163
0,r4_all_s2_resmed,0.1894359739,2644,0.5049167927,0.0701116975,0.0703857997,-0.0002741022
0,r4_all_landsat_resmed,0.1983687385,2644,0.4515885023,0.0700983403,0.0703857997,-0.0002874594
0,r4_all_modis_resmed,0.0847737333,2644,0.2023449319,0.0703819995,0.0703857997,-0.0000038002
0,r4_crop_resmed,0.1808351063,2644,0.9931921331,0.0696723983,0.0703857997,-0.0007134014
0,r4_crop_resmean,0.1911746997,2644,0.9931921331,0.0696107976,0.0703857997,-0.0007750021
0,r4_crop_rawmed,0.1812066304,2644,0.9931921331,0.0696724203,0.0703857997,-0.0007133795
0,r4_crop_s2_resmed,0.2164130463,2644,0.4697428139,0.0698396571,0.0703857997,-0.0005461426
0,r4_crop_landsat_resmed,0.2150428718,2644,0.4133888048,0.0701360278,0.0703857997,-0.0002497720
0,r4_crop_modis_resmed,0.1046789637,2644,0.1875945537,0.0703999732,0.0703857997,0.0000141735
0,r8_all_resmed,0.2170570907,2644,0.9977307110,0.0697517096,0.0703857997,-0.0006340901
0,r8_all_resmean,0.2131578994,2644,0.9977307110,0.0696616616,0.0703857997,-0.0007241381
0,r8_all_rawmed,0.2170570907,2644,0.9977307110,0.0697517096,0.0703857997,-0.0006340901
0,r8_all_s2_resmed,0.2357404365,2644,0.5264750378,0.0699061817,0.0703857997,-0.0004796180
0,r8_all_landsat_resmed,0.1543575973,2644,0.5022692890,0.0701735696,0.0703857997,-0.0002122301
0,r8_all_modis_resmed,0.1039910885,2644,0.2114220877,0.0703790330,0.0703857997,-0.0000067667
0,r8_crop_resmed,0.1873393731,2644,0.9950832073,0.0697526299,0.0703857997,-0.0006331698
0,r8_crop_resmean,0.2016416641,2644,0.9950832073,0.0696125686,0.0703857997,-0.0007732312
0,r8_crop_rawmed,0.1873393731,2644,0.9950832073,0.0697526299,0.0703857997,-0.0006331698
0,r8_crop_s2_resmed,0.2094767770,2644,0.4776853253,0.0699523015,0.0703857997,-0.0004334982
0,r8_crop_landsat_resmed,0.1822160471,2644,0.4273827534,0.0701277486,0.0703857997,-0.0002580511
0,r8_crop_modis_resmed,0.1252486327,2644,0.1944024206,0.0704075262,0.0703857997,0.0000217265
0,r16_all_resmed,0.2044953770,2644,0.9992435703,0.0699571280,0.0703857997,-0.0004286717
0,r16_all_resmean,0.2136001783,2644,0.9992435703,0.0697113242,0.0703857997,-0.0006744755
