experiment,held_seed,alpha_local,alpha_shock,alpha_date,n,coverage,rmse,base_rmse,alpha_state,delta
local_fixed,0,0.0000000000,0.0000000000,0.0000000000,2644,0.9950832073,0.0703857997,0.0703857997,,0.0000000000
local_fixed,0,0.0250000000,0.0000000000,0.0000000000,2644,0.9950832073,0.0701893435,0.0703857997,,-0.0001964563
local_fixed,0,0.0500000000,0.0000000000,0.0000000000,2644,0.9950832073,0.0700210345,0.0703857997,,-0.0003647652
local_fixed,0,0.0750000000,0.0000000000,0.0000000000,2644,0.9950832073,0.0698810762,0.0703857997,,-0.0005047235
local_fixed,0,0.1000000000,0.0000000000,0.0000000000,2644,0.9950832073,0.0697696392,0.0703857997,,-0.0006161605
local_fixed,0,0.1250000000,0.0000000000,0.0000000000,2644,0.9950832073,0.0696868604,0.0703857997,,-0.0006989394
local_fixed,0,0.1500000000,0.0000000000,0.0000000000,2644,0.9950832073,0.0696328418,0.0703857997,,-0.0007529579
local_fixed,0,0.1750000000,0.0000000000,0.0000000000,2644,0.9950832073,0.0696076506,0.0703857997,,-0.0007781492
local_fixed,0,0.2000000000,0.0000000000,0.0000000000,2644,0.9950832073,0.0696113179,0.0703857997,,-0.0007744818
local_fixed,0,0.2250000000,0.0000000000,0.0000000000,2644,0.9950832073,0.0696438393,0.0703857997,,-0.0007419605
local_fixed,0,0.2500000000,0.0000000000,0.0000000000,2644,0.9950832073,0.0697051743,0.0703857997,,-0.0006806254
local_fixed,0,0.2750000000,0.0000000000,0.0000000000,2644,0.9950832073,0.0697952470,0.0703857997,,-0.0005905528
local_fixed,0,0.3000000000,0.0000000000,0.0000000000,2644,0.9950832073,0.0699139463,0.0703857997,,-0.0004718535
local_loo,0,0.2008672873,0.0000000000,0.0000000000,2644,0.9950832073,0.0696119631,0.0703857997,0.0000000000,-0.0007738366
local_cropshock_loo,0,0.2196380131,-0.0380827878,0.0000000000,2644,0.9950832073,0.0695506565,0.0703857997,0.0000000000,-0.0008351432
local_dateshock_loo,0,0.2132692262,0.0000000000,-0.0294816132,2644,0.9950832073,0.0695662020,0.0703857997,0.0000000000,-0.0008195978
local_jointshock_loo,0,0.2202060861,-0.0336284765,-0.0065694978,2644,0.9950832073,0.0695476687,0.0703857997,0.0000000000,-0.0008381310
local_crop_state_loo,0,0.2196248048,-0.0369173532,0.0000000000,2644,0.9950832073,0.0695413991,0.0703857997,-0.0478158672,-0.0008444007
local_fixed,1,0.0000000000,0.0000000000,0.0000000000,2644,0.9897881997,0.0630224990,0.0630224990,,0.0000000000
