slice_type,slice,n,coverage,rmse_base,rmse_local020,delta
all,all,10576,0.9922465961,0.0667664220,0.0658098190,-0.0009566030
seed,0,2644,0.9950832073,0.0703857997,0.0696113179,-0.0007744818
seed,1,2644,0.9897881997,0.0630224990,0.0619421278,-0.0010803712
seed,2,2644,0.9924357035,0.0651400878,0.0641830865,-0.0009570013
seed,70404,2644,0.9916792738,0.0682773256,0.0672435702,-0.0010337554
year,2010,296,1.0000000000,0.0521833305,0.0519357385,-0.0002475920
year,2011,328,0.9969512195,0.0731972054,0.0720985357,-0.0010986697
year,2012,232,1.0000000000,0.0734846051,0.0725907063,-0.0008938989
year,2013,312,0.9871794872,0.0725542495,0.0726019553,0.0000477058
year,2014,380,1.0000000000,0.0513182057,0.0500960469,-0.0012221588
year,2015,368,0.9972826087,0.0989910872,0.0983485216,-0.0006425656
year,2016,352,0.9914772727,0.0835462561,0.0831803880,-0.0003658681
year,2017,560,0.9892857143,0.0536746534,0.0539405407,0.0002658872
year,2018,488,0.9897540984,0.0531515699,0.0534463746,0.0002948046
year,2019,740,0.9932432432,0.0776730461,0.0754639849,-0.0022090612
year,2020,760,0.9881578947,0.0619477833,0.0602560604,-0.0016917229
year,2021,644,0.9922360248,0.0799247751,0.0779642819,-0.0019604932
year,2022,660,0.9848484848,0.0668142543,0.0665046862,-0.0003095682
year,2023,740,0.9972972973,0.0584490640,0.0579205529,-0.0005285110
year,2024,692,0.9956647399,0.0494293820,0.0483981975,-0.0010311844
year,2025,3024,0.9907407407,0.0654926414,0.0644237703,-0.0010688711
cohort,new,9068,0.9920599912,0.0691077556,0.0681370120,-0.0009707436
cohort,shared,1508,0.9933687003,0.0504457654,0.0495628624,-0.0008829030
source,landsat,4065,0.9908979090,0.0696679731,0.0688694807,-0.0007984924
source,modis,1818,1.0000000000,0.0635355337,0.0631074407,-0.0004280930
source,s2,4693,0.9904112508,0.0654059905,0.0641011691,-0.0013048214
distance,far_or_none,1975,0.9584810127,0.0698114509,0.0686695979,-0.0011418530
distance,mid_3_8,1711,1.0000000000,0.0717567128,0.0703707021,-0.0013860108
distance,near_le2,6890,1.0000000000,0.0645513695,0.0637687531,-0.0007826164
