anon_polygon_id,date,year,doy,primary_ndvi_pred
AOI-0001,2010-08-29,,,
AOI-0001,2010-10-25,,,
AOI-0001,2011-06-13,,,
AOI-0001,2011-09-18,,,
AOI-0001,2011-09-26,,,
AOI-0001,2011-09-30,,,
AOI-0001,2012-05-24,,,
AOI-0001,2012-07-09,,,
AOI-0001,2012-07-11,,,
AOI-0001,2012-08-10,,,
AOI-0001,2012-08-12,,,
AOI-0001,2012-10-15,,,
AOI-0001,2013-05-01,,,
AOI-0001,2013-07-12,,,
AOI-0001,2013-09-30,,,
AOI-0001,2014-04-18,,,
AOI-0001,2014-05-25,,,
AOI-0001,2014-06-26,,,
AOI-0001,2014-07-15,,,
AOI-0001,2014-07-28,,,
AOI-0001,2014-08-09,,,
AOI-0001,2014-08-13,,,
AOI-0001,2014-10-03,,,
AOI-0001,2014-10-16,,,
AOI-0001,2015-04-13,,,
AOI-0001,2015-08-11,,,
AOI-0001,2015-08-12,,,
AOI-0001,2015-08-27,,,
AOI-0001,2015-09-20,,,
AOI-0001,2015-09-28,,,
AOI-0001,2016-06-27,,,
AOI-0001,2016-07-04,,,
AOI-0001,2016-07-20,,,
AOI-0001,2016-07-27,,,
AOI-0001,2016-08-29,,,
AOI-0001,2016-08-30,,,
AOI-0001,2016-09-15,,,
AOI-0001,2016-09-29,,,
AOI-0001,2017-05-12,,,
AOI-0001,2017-06-29,,,
AOI-0001,2017-07-12,,,
AOI-0001,2017-08-09,,,
AOI-0001,2017-08-29,,,
AOI-0001,2017-09-08,,,
AOI-0001,2017-09-14,,,
AOI-0001,2018-04-05,,,
AOI-0001,2018-04-23,,,
AOI-0001,2018-05-01,,,
AOI-0001,2018-06-08,,,
AOI-0001,2018-07-12,,,
AOI-0001,2018-09-28,,,
AOI-0001,2018-10-13,,,
AOI-0001,2019-05-11,,,
AOI-0001,2019-05-31,,,
AOI-0001,2019-06-04,,,
AOI-0001,2019-06-05,,,
AOI-0001,2019-06-25,,,
AOI-0001,2019-07-12,,,
AOI-0001,2019-07-22,,,
AOI-0001,2019-07-29,,,
AOI-0001,2019-08-30,,,
AOI-0001,2019-09-07,,,
AOI-0001,2019-09-08,,,
AOI-0001,2019-09-18,,,
AOI-0001,2020-04-03,,,
AOI-0001,2020-04-26,,,
AOI-0001,2020-05-30,,,
AOI-0001,2020-06-09,,,
AOI-0001,2020-07-14,,,
AOI-0001,2020-07-23,,,
AOI-0001,2020-07-27,,,
AOI-0001,2020-08-08,,,
AOI-0001,2020-09-01,,,
AOI-0001,2020-09-02,,,
AOI-0001,2020-09-12,,,
AOI-0001,2020-09-22,,,
AOI-0001,2020-09-29,,,
AOI-0001,2020-10-11,,,
AOI-0001,2020-10-12,,,
AOI-0001,2020-10-19,,,
AOI-0001,2021-05-15,,,
AOI-0001,2021-05-20,,,
AOI-0001,2021-06-10,,,
AOI-0001,2021-07-02,,,
AOI-0001,2021-07-24,,,
AOI-0001,2021-09-17,,,
AOI-0001,2022-04-25,,,
AOI-0001,2022-06-03,,,
AOI-0001,2022-09-02,,,
AOI-0001,2022-09-30,,,
AOI-0001,2022-10-01,,,
AOI-0001,2022-10-17,,,
AOI-0001,2023-05-25,,,
AOI-0001,2023-06-23,,,
AOI-0001,2023-07-15,,,
AOI-0001,2023-07-29,,,
AOI-0001,2023-08-03,,,
AOI-0001,2023-08-08,,,
AOI-0001,2023-08-13,,,
AOI-0001,2023-08-17,,,
AOI-0001,2023-08-28,,,
AOI-0001,2023-08-29,,,
AOI-0001,2023-09-12,,,
AOI-0001,2024-04-06,,,
AOI-0001,2024-05-24,,,
AOI-0001,2024-06-01,,,
AOI-0001,2024-06-03,,,
AOI-0001,2024-06-09,,,
AOI-0001,2024-06-13,,,
AOI-0001,2024-06-17,,,
AOI-0001,2024-06-23,,,
AOI-0001,2024-06-25,,,
AOI-0001,2024-07-03,,,
AOI-0001,2024-09-11,,,
AOI-0001,2024-09-13,,,
AOI-0001,2024-09-16,,,
AOI-0001,2024-09-29,,,
AOI-0001,2025-04-23,,,
AOI-0001,2025-05-03,,,
AOI-0001,2025-06-03,,,
AOI-0001,2025-06-27,,,
AOI-0001,2025-07-05,,,
AOI-0001,2025-07-12,,,
AOI-0001,2025-07-13,,,
AOI-0001,2025-07-23,,,
AOI-0001,2025-07-28,,,
AOI-0001,2025-07-29,,,
AOI-0001,2025-08-02,,,
AOI-0001,2025-10-28,,,
AOI-0002,2025-05-03,,,
AOI-0002,2025-06-03,,,
AOI-0002,2025-06-26,,,
