lambda,year,n,rmse
0.001,2019,249,0.06603927835146725
0.001,2020,222,0.06635533720014807
0.001,2021,130,0.09050590637146526
0.001,2022,192,0.0719581315908425
0.001,2023,169,0.07652153625983647
0.001,2024,152,0.058989939548497454
0.001,all,1114,0.06812706000903315
0.01,2019,249,0.0659802222245152
0.01,2020,222,0.06602240422155858
0.01,2021,130,0.09051996710944489
0.01,2022,192,0.07189220878903388
0.01,2023,169,0.07658015048392657
0.01,2024,152,0.05899481905731777
0.01,all,1114,0.0681307881947646
0.1,2019,249,0.06582024017692932
0.1,2020,222,0.06490685655659899
0.1,2021,130,0.09065228017134083
0.1,2022,192,0.07168216989184659
0.1,2023,169,0.0771936154435174
0.1,2024,152,0.05910532617489495
0.1,all,1114,0.0682422997641462
1.0,2019,249,0.06673515627385335
1.0,2020,222,0.06508236183862108
1.0,2021,130,0.09250281120830009
1.0,2022,192,0.07259844842711619
1.0,2023,169,0.0796853144398727
1.0,2024,152,0.05953176062690394
1.0,all,1114,0.06960593871023131
10.0,2019,249,0.07226466263904603
10.0,2020,222,0.06970732175034722
10.0,2021,130,0.0957184427910925
10.0,2022,192,0.07652186368258124
10.0,2023,169,0.08397225578472156
10.0,2024,152,0.06068573528191791
10.0,all,1114,0.07373136253682878
100.0,2019,249,0.09933863998929243
100.0,2020,222,0.08929344796694214
100.0,2021,130,0.1045121768658277
100.0,2022,192,0.09747876985705387
100.0,2023,169,0.10642442885151202
100.0,2024,152,0.08138126826019462
100.0,all,1114,0.09053338471884191
1000.0,2019,249,0.16999222473708486
1000.0,2020,222,0.1540027385644128
1000.0,2021,130,0.16018838658386741
1000.0,2022,192,0.1628256045626635
1000.0,2023,169,0.18693791355148004
1000.0,2024,152,0.14892364454587853
1000.0,all,1114,0.15591187356811054
