group,model,cap,runs,n,rmse,baseline_rmse,delta_rmse,improved_runs
group_aoi,hgb16,0.02,9.0,4873.0,0.06401068292938787,0.06390031021056207,0.00011037271882580191,3.0
group_aoi,hgb16,0.04,9.0,4873.0,0.06402814920219801,0.06390031021056207,0.00012783899163594514,4.0
group_aoi,hgb16,0.06,9.0,4873.0,0.06402665915521734,0.06390031021056207,0.00012634894465526902,4.0
group_aoi,hgb16,0.08,9.0,4873.0,0.06402665915521734,0.06390031021056207,0.00012634894465526902,4.0
group_aoi,hgb8,0.02,9.0,4873.0,0.06396992088688008,0.06390031021056207,6.961067631801321e-05,3.0
group_aoi,hgb8,0.04,9.0,4873.0,0.06397269416611906,0.06390031021056207,7.238395555698995e-05,3.0
group_aoi,hgb8,0.06,9.0,4873.0,0.06397000944816361,0.06390031021056207,6.969923760154206e-05,3.0
group_aoi,hgb8,0.08,9.0,4873.0,0.06397000944816361,0.06390031021056207,6.969923760154206e-05,3.0
group_aoi,ridge100,0.02,9.0,4873.0,0.06399647380781792,0.06390031021056207,9.616359725585222e-05,4.0
group_aoi,ridge100,0.04,9.0,4873.0,0.06421991639903726,0.06390031021056207,0.00031960618847519384,3.0
group_aoi,ridge100,0.06,9.0,4873.0,0.0642728315786498,0.06390031021056207,0.0003725213680877276,2.0
group_aoi,ridge100,0.08,9.0,4873.0,0.06429147139050267,0.06390031021056207,0.00039116117994060506,2.0
group_aoi,ridge30,0.02,9.0,4873.0,0.06410927306121376,0.06390031021056207,0.00020896285065169495,4.0
group_aoi,ridge30,0.04,9.0,4873.0,0.06448858826589764,0.06390031021056207,0.0005882780553355671,2.0
group_aoi,ridge30,0.06,9.0,4873.0,0.06457587883224346,0.06390031021056207,0.0006755686216813883,2.0
group_aoi,ridge30,0.08,9.0,4873.0,0.064612668579371,0.06390031021056207,0.0007123583688089241,2.0
group_aoiyear,hgb16,0.02,9.0,4814.0,0.07825592360943054,0.07828438403249433,-2.8460423063786378e-05,4.0
group_aoiyear,hgb16,0.04,9.0,4814.0,0.07822218745563726,0.07828438403249433,-6.219657685706259e-05,4.0
group_aoiyear,hgb16,0.06,9.0,4814.0,0.0782217648121546,0.07828438403249433,-6.261922033971856e-05,4.0
group_aoiyear,hgb16,0.08,9.0,4814.0,0.0782217648121546,0.07828438403249433,-6.261922033971856e-05,4.0
group_aoiyear,hgb8,0.02,9.0,4814.0,0.07821600124601127,0.07828438403249433,-6.838278648305107e-05,4.0
group_aoiyear,hgb8,0.04,9.0,4814.0,0.07818431968149538,0.07828438403249433,-0.00010006435099894906,4.0
group_aoiyear,hgb8,0.06,9.0,4814.0,0.07818390903149572,0.07828438403249433,-0.00010047500099860662,4.0
group_aoiyear,hgb8,0.08,9.0,4814.0,0.07818390903149572,0.07828438403249433,-0.00010047500099860662,4.0
group_aoiyear,ridge100,0.02,9.0,4814.0,0.07810793529768396,0.07828438403249433,-0.00017644873481036105,5.0
group_aoiyear,ridge100,0.04,9.0,4814.0,0.07816168784342611,0.07828438403249433,-0.000122696189068211,5.0
group_aoiyear,ridge100,0.06,9.0,4814.0,0.07816378211780266,0.07828438403249433,-0.00012060191469166759,5.0
group_aoiyear,ridge100,0.08,9.0,4814.0,0.07816374848957292,0.07828438403249433,-0.0001206355429214101,5.0
group_aoiyear,ridge30,0.02,9.0,4814.0,0.07816595391208667,0.07828438403249433,-0.00011843012040765877,4.0
group_aoiyear,ridge30,0.04,9.0,4814.0,0.07828556119999701,0.07828438403249433,1.1771675026833739e-06,4.0
group_aoiyear,ridge30,0.06,9.0,4814.0,0.07829035390912395,0.07828438403249433,5.96987662962456e-06,4.0
group_aoiyear,ridge30,0.08,9.0,4814.0,0.07830147746540522,0.07828438403249433,1.7093432910897377e-05,4.0
