group,model,cap,cohort,n,rmse,baseline_rmse,delta_rmse
group_aoi,ridge30,0.02,all,4873,0.06410927306121376,0.06390031021056207,0.00020896285065169495
group_aoi,ridge30,0.02,history,3478,0.06061933488684012,0.06081400093315939,-0.00019466604631927092
group_aoi,ridge30,0.02,2025,1395,0.07207823765037437,0.07101334912358867,0.0010648885267856983
group_aoi,ridge30,0.02,new,4236,0.06453449579849227,0.0644904844033126,4.401139517966335e-05
group_aoi,ridge30,0.02,shared,637,0.06120647994219551,0.059827799428191435,0.0013786805140040756
group_aoi,ridge30,0.02,new_history,3478,0.06061933488684012,0.06081400093315939,-0.00019466604631927092
group_aoi,ridge30,0.02,new_2025,758,0.08008121189665987,0.07920102091507013,0.000880190981589743
group_aoi,ridge30,0.02,shared_2025,637,0.06120647994219551,0.059827799428191435,0.0013786805140040756
group_aoi,ridge30,0.04,all,4873,0.06448858826589764,0.06390031021056207,0.0005882780553355671
group_aoi,ridge30,0.04,history,3478,0.06094164329541229,0.06081400093315939,0.00012764236225289854
group_aoi,ridge30,0.04,2025,1395,0.07258087622798495,0.07101334912358867,0.0015675271043962824
group_aoi,ridge30,0.04,new,4236,0.06482567743415696,0.0644904844033126,0.00033519303084435237
group_aoi,ridge30,0.04,shared,637,0.062200522695406525,0.059827799428191435,0.0023727232672150905
group_aoi,ridge30,0.04,new_history,3478,0.06094164329541229,0.06081400093315939,0.00012764236225289854
group_aoi,ridge30,0.04,new_2025,758,0.08027282481150104,0.07920102091507013,0.0010718038964309118
group_aoi,ridge30,0.04,shared_2025,637,0.062200522695406525,0.059827799428191435,0.0023727232672150905
group_aoi,ridge30,0.06,all,4873,0.06457587883224347,0.06390031021056207,0.0006755686216814022
group_aoi,ridge30,0.06,history,3478,0.06104846967139378,0.06081400093315939,0.00023446873823439185
group_aoi,ridge30,0.06,2025,1395,0.07262814606255769,0.07101334912358867,0.0016147969389690153
group_aoi,ridge30,0.06,new,4236,0.06490765152546743,0.0644904844033126,0.000417167122154824
group_aoi,ridge30,0.06,shared,637,0.06232471008064272,0.059827799428191435,0.0024969106524512855
group_aoi,ridge30,0.06,new_history,3478,0.06104846967139378,0.06081400093315939,0.00023446873823439185
group_aoi,ridge30,0.06,new_2025,758,0.08027056028951665,0.07920102091507013,0.0010695393744465237
group_aoi,ridge30,0.06,shared_2025,637,0.06232471008064272,0.059827799428191435,0.0024969106524512855
group_aoi,ridge30,0.08,all,4873,0.06461266857937098,0.06390031021056207,0.0007123583688089102
group_aoi,ridge30,0.08,history,3478,0.06110281649271466,0.06081400093315939,0.000288815559555268
group_aoi,ridge30,0.08,2025,1395,0.07262849961252382,0.07101334912358867,0.001615150488935152
group_aoi,ridge30,0.08,new,4236,0.06494975564118409,0.0644904844033126,0.0004592712378714836
group_aoi,ridge30,0.08,shared,637,0.06232471008064272,0.059827799428191435,0.0024969106524512855
group_aoi,ridge30,0.08,new_history,3478,0.06110281649271466,0.06081400093315939,0.000288815559555268
group_aoi,ridge30,0.08,new_2025,758,0.08027114900292921,0.07920102091507013,0.0010701280878590846
group_aoi,ridge30,0.08,shared_2025,637,0.06232471008064272,0.059827799428191435,0.0024969106524512855
group_aoi,ridge100,0.02,all,4873,0.06399647380781794,0.06390031021056207,9.61635972558661e-05
group_aoi,ridge100,0.02,history,3478,0.06043301465881674,0.06081400093315939,-0.0003809862743426526
group_aoi,ridge100,0.02,2025,1395,0.07211815022405557,0.07101334912358867,0.0011048011004669012
group_aoi,ridge100,0.02,new,4236,0.0643971028466407,0.0644904844033126,-9.338155667190651e-05
group_aoi,ridge100,0.02,shared,637,0.061265722057682055,0.059827799428191435,0.0014379226294906206
group_aoi,ridge100,0.02,new_history,3478,0.06043301465881674,0.06081400093315939,-0.0003809862743426526
group_aoi,ridge100,0.02,new_2025,758,0.08010926895414683,0.07920102091507013,0.0009082480390767006
group_aoi,ridge100,0.02,shared_2025,637,0.061265722057682055,0.059827799428191435,0.0014379226294906206
group_aoi,ridge100,0.04,all,4873,0.06421991639903728,0.06390031021056207,0.0003196061884752077
group_aoi,ridge100,0.04,history,3478,0.06058078981498194,0.06081400093315939,-0.000233211118177451
group_aoi,ridge100,0.04,2025,1395,0.07250185306415145,0.07101334912358867,0.0014885039405627826
group_aoi,ridge100,0.04,new,4236,0.06453268710565545,0.0644904844033126,4.2202702342841736e-05
group_aoi,ridge100,0.04,shared,637,0.06209996005429913,0.059827799428191435,0.0022721606261076957
group_aoi,ridge100,0.04,new_history,3478,0.06058078981498194,0.06081400093315939,-0.000233211118177451
group_aoi,ridge100,0.04,new_2025,758,0.08020680372429918,0.07920102091507013,0.0010057828092290555
group_aoi,ridge100,0.04,shared_2025,637,0.06209996005429913,0.059827799428191435,0.0022721606261076957
group_aoi,ridge100,0.06,all,4873,0.0642728315786498,0.06390031021056207,0.0003725213680877276
group_aoi,ridge100,0.06,history,3478,0.06066216538639424,0.06081400093315939,-0.00015183554676515
group_aoi,ridge100,0.06,2025,1395,0.07249600889798707,0.07101334912358867,0.0014826597743984038
group_aoi,ridge100,0.06,new,4236,0.06459080022063866,0.0644904844033126,0.00010031581732605765
group_aoi,ridge100,0.06,shared,637,0.06211697871935327,0.059827799428191435,0.002289179291161833
group_aoi,ridge100,0.06,new_history,3478,0.06066216538639424,0.06081400093315939,-0.00015183554676515
group_aoi,ridge100,0.06,new_2025,758,0.08018600441328477,0.07920102091507013,0.000984983498214645
group_aoi,ridge100,0.06,shared_2025,637,0.06211697871935327,0.059827799428191435,0.002289179291161833
group_aoi,ridge100,0.08,all,4873,0.06429147139050267,0.06390031021056207,0.00039116117994060506
group_aoi,ridge100,0.08,history,3478,0.06068983364477981,0.06081400093315939,-0.00012416728837957858
group_aoi,ridge100,0.08,2025,1395,0.07249600889798707,0.07101334912358867,0.0014826597743984038
group_aoi,ridge100,0.08,new,4236,0.0646121370555471,0.0644904844033126,0.00012165265223448851
group_aoi,ridge100,0.08,shared,637,0.06211697871935327,0.059827799428191435,0.002289179291161833
group_aoi,ridge100,0.08,new_history,3478,0.06068983364477981,0.06081400093315939,-0.00012416728837957858
group_aoi,ridge100,0.08,new_2025,758,0.08018600441328477,0.07920102091507013,0.000984983498214645
group_aoi,ridge100,0.08,shared_2025,637,0.06211697871935327,0.059827799428191435,0.002289179291161833
group_aoi,hgb8,0.02,all,4873,0.06396992088688008,0.06390031021056207,6.961067631801321e-05
group_aoi,hgb8,0.02,history,3478,0.0606096501347302,0.06081400093315939,-0.0002043507984291898
group_aoi,hgb8,0.02,2025,1395,0.07166486360625225,0.07101334912358867,0.0006515144826635816
group_aoi,hgb8,0.02,new,4236,0.06448210203528909,0.0644904844033126,-8.382368023515663e-06
group_aoi,hgb8,0.02,shared,637,0.060453682738809175,0.059827799428191435,0.0006258833106177406
group_aoi,hgb8,0.02,new_history,3478,0.0606096501347302,0.06081400093315939,-0.0002043507984291898
group_aoi,hgb8,0.02,new_2025,758,0.07987873280550815,0.07920102091507013,0.0006777118904380264
group_aoi,hgb8,0.02,shared_2025,637,0.060453682738809175,0.059827799428191435,0.0006258833106177406
group_aoi,hgb8,0.04,all,4873,0.06397269416611906,0.06390031021056207,7.238395555698995e-05
group_aoi,hgb8,0.04,history,3478,0.06058188115771425,0.06081400093315939,-0.0002321197754451415
group_aoi,hgb8,0.04,2025,1395,0.07173201952627124,0.07101334912358867,0.0007186704026825724
group_aoi,hgb8,0.04,new,4236,0.06448482579174669,0.0644904844033126,-5.6586115659146285e-06
group_aoi,hgb8,0.04,shared,637,0.06045681234187122,0.059827799428191435,0.0006290129136797828
group_aoi,hgb8,0.04,new_history,3478,0.06058188115771425,0.06081400093315939,-0.0002321197754451415
group_aoi,hgb8,0.04,new_2025,758,0.07998760292572969,0.07920102091507013,0.0007865820106595645
group_aoi,hgb8,0.04,shared_2025,637,0.06045681234187122,0.059827799428191435,0.0006290129136797828
group_aoi,hgb8,0.06,all,4873,0.06397000944816361,0.06390031021056207,6.969923760154206e-05
group_aoi,hgb8,0.06,history,3478,0.060577909036324755,0.06081400093315939,-0.0002360918968346351
