mask_seed,split,n,features,cap,baseline_rmse,rmse,delta_rmse,improved
9000,1,344,36,0.0050000000,0.0656696754,0.0657803507,0.0001106753,0
9000,1,344,36,0.0100000000,0.0656696754,0.0660295856,0.0003599102,0
9000,1,344,36,0.0150000000,0.0656696754,0.0661964028,0.0005267274,0
9000,1,344,36,0.0200000000,0.0656696754,0.0663176733,0.0006479980,0
9000,1,344,36,0.0300000000,0.0656696754,0.0663876560,0.0007179806,0
9000,2,442,36,0.0050000000,0.0816945328,0.0816880692,-0.0000064636,1
9000,2,442,36,0.0100000000,0.0816945328,0.0818140394,0.0001195065,0
9000,2,442,36,0.0150000000,0.0816945328,0.0819698645,0.0002753317,0
9000,2,442,36,0.0200000000,0.0816945328,0.0820582765,0.0003637437,0
9000,2,442,36,0.0300000000,0.0816945328,0.0822025155,0.0005079827,0
9000,3,464,36,0.0050000000,0.0476120119,0.0479063223,0.0002943104,0
9000,3,464,36,0.0100000000,0.0476120119,0.0483820042,0.0007699924,0
9000,3,464,36,0.0150000000,0.0476120119,0.0488780562,0.0012660443,0
9000,3,464,36,0.0200000000,0.0476120119,0.0492863686,0.0016743568,0
9000,3,464,36,0.0300000000,0.0476120119,0.0496648507,0.0020528389,0
9001,1,589,36,0.0050000000,0.0717780510,0.0717056248,-0.0000724262,1
9001,1,589,36,0.0100000000,0.0717780510,0.0717798711,0.0000018201,0
9001,1,589,36,0.0150000000,0.0717780510,0.0717572917,-0.0000207593,1
9001,1,589,36,0.0200000000,0.0717780510,0.0716612472,-0.0001168038,1
9001,1,589,36,0.0300000000,0.0717780510,0.0716480870,-0.0001299640,1
9001,2,446,36,0.0050000000,0.0492498804,0.0491408554,-0.0001090250,1
9001,2,446,36,0.0100000000,0.0492498804,0.0492770462,0.0000271658,0
9001,2,446,36,0.0150000000,0.0492498804,0.0494842185,0.0002343381,0
9001,2,446,36,0.0200000000,0.0492498804,0.0495463931,0.0002965127,0
9001,2,446,36,0.0300000000,0.0492498804,0.0497587126,0.0005088323,0
9001,3,643,36,0.0050000000,0.0664080902,0.0664110936,0.0000030034,0
9001,3,643,36,0.0100000000,0.0664080902,0.0666032296,0.0001951394,0
9001,3,643,36,0.0150000000,0.0664080902,0.0667039941,0.0002959039,0
9001,3,643,36,0.0200000000,0.0664080902,0.0667720295,0.0003639394,0
9001,3,643,36,0.0300000000,0.0664080902,0.0669018123,0.0004937221,0
