mask_seed,split,n,features,cap,baseline_rmse,rmse,delta_rmse,improved
0,1,344,36,0.0050000000,0.0647405428,0.0648163906,0.0000758478,0
0,1,344,36,0.0100000000,0.0647405428,0.0650879055,0.0003473626,0
0,1,344,36,0.0150000000,0.0647405428,0.0652792976,0.0005387547,0
0,1,344,36,0.0200000000,0.0647405428,0.0654121388,0.0006715960,0
0,1,344,36,0.0300000000,0.0647405428,0.0654955636,0.0007550208,0
0,2,442,36,0.0050000000,0.0814503269,0.0815401892,0.0000898623,0
0,2,442,36,0.0100000000,0.0814503269,0.0816030683,0.0001527414,0
0,2,442,36,0.0150000000,0.0814503269,0.0817432725,0.0002929456,0
0,2,442,36,0.0200000000,0.0814503269,0.0818419448,0.0003916180,0
0,2,442,36,0.0300000000,0.0814503269,0.0819945038,0.0005441770,0
0,3,464,36,0.0050000000,0.0473868716,0.0478564858,0.0004696142,0
0,3,464,36,0.0100000000,0.0473868716,0.0483717555,0.0009848839,0
0,3,464,36,0.0150000000,0.0473868716,0.0488460896,0.0014592180,0
0,3,464,36,0.0200000000,0.0473868716,0.0492222053,0.0018353338,0
0,3,464,36,0.0300000000,0.0473868716,0.0495758783,0.0021890067,0
1,1,589,36,0.0050000000,0.0712885987,0.0711890020,-0.0000995966,1
1,1,589,36,0.0100000000,0.0712885987,0.0712290419,-0.0000595568,1
1,1,589,36,0.0150000000,0.0712885987,0.0712031533,-0.0000854454,1
1,1,589,36,0.0200000000,0.0712885987,0.0711262179,-0.0001623807,1
1,1,589,36,0.0300000000,0.0712885987,0.0711195278,-0.0001690708,1
1,2,446,36,0.0050000000,0.0490931770,0.0491204356,0.0000272587,0
1,2,446,36,0.0100000000,0.0490931770,0.0493245831,0.0002314061,0
1,2,446,36,0.0150000000,0.0490931770,0.0495161419,0.0004229649,0
1,2,446,36,0.0200000000,0.0490931770,0.0495796416,0.0004864647,0
1,2,446,36,0.0300000000,0.0490931770,0.0497566724,0.0006634955,0
1,3,643,36,0.0050000000,0.0657141091,0.0657398902,0.0000257811,0
1,3,643,36,0.0100000000,0.0657141091,0.0659106648,0.0001965556,0
1,3,643,36,0.0150000000,0.0657141091,0.0659847903,0.0002706812,0
1,3,643,36,0.0200000000,0.0657141091,0.0660494661,0.0003353570,0
1,3,643,36,0.0300000000,0.0657141091,0.0661773011,0.0004631920,0
