route,features,group,model,cap,runs,n,rmse,baseline_rmse,delta_rmse,improved_runs
all,candidate,group_aoi,hgb8,0.01,9.0,4873.0,0.06373123935428279,0.06390031021056207,-0.00016907085627927698,5.0
all,candidate,group_aoi,hgb8,0.02,9.0,4873.0,0.06379351484617155,0.06390031021056207,-0.0001067953643905245,5.0
all,candidate,group_aoi,hgb8,0.03,9.0,4873.0,0.06381391783900969,0.06390031021056207,-8.639237155237678e-05,4.0
all,candidate,group_aoi,hgb8,0.04,9.0,4873.0,0.06382282691934098,0.06390031021056207,-7.74832912210921e-05,4.0
all,candidate,group_aoi,hgb8,0.06,9.0,4873.0,0.06382282691934098,0.06390031021056207,-7.74832912210921e-05,4.0
all,candidate,group_aoi,ridge100,0.01,9.0,4873.0,0.06379960298266929,0.06390031021056207,-0.00010070722789277953,7.0
all,candidate,group_aoi,ridge100,0.02,9.0,4873.0,0.06380127838475648,0.06390031021056207,-9.903182580559e-05,7.0
all,candidate,group_aoi,ridge100,0.03,9.0,4873.0,0.06380127838475648,0.06390031021056207,-9.903182580559e-05,7.0
all,candidate,group_aoi,ridge100,0.04,9.0,4873.0,0.06380127838475648,0.06390031021056207,-9.903182580559e-05,7.0
all,candidate,group_aoi,ridge100,0.06,9.0,4873.0,0.06380127838475648,0.06390031021056207,-9.903182580559e-05,7.0
all,candidate,group_aoi,ridge30,0.01,9.0,4873.0,0.06368751543937522,0.06390031021056207,-0.00021279477118685275,8.0
all,candidate,group_aoi,ridge30,0.02,9.0,4873.0,0.06368741114393697,0.06390031021056207,-0.00021289906662509683,7.0
all,candidate,group_aoi,ridge30,0.03,9.0,4873.0,0.06368575174486715,0.06390031021056207,-0.00021455846569491677,7.0
all,candidate,group_aoi,ridge30,0.04,9.0,4873.0,0.06368575174486715,0.06390031021056207,-0.00021455846569491677,7.0
all,candidate,group_aoi,ridge30,0.06,9.0,4873.0,0.06368575174486715,0.06390031021056207,-0.00021455846569491677,7.0
all,candidate,group_aoiyear,hgb8,0.01,9.0,4814.0,0.07834127887110819,0.07828438403249433,5.689483861386069e-05,3.0
all,candidate,group_aoiyear,hgb8,0.02,9.0,4814.0,0.07839245919865664,0.07828438403249433,0.00010807516616231916,4.0
all,candidate,group_aoiyear,hgb8,0.03,9.0,4814.0,0.07840001338031967,0.07828438403249433,0.00011562934782534395,4.0
all,candidate,group_aoiyear,hgb8,0.04,9.0,4814.0,0.07840056441055589,0.07828438403249433,0.00011618037806156167,4.0
all,candidate,group_aoiyear,hgb8,0.06,9.0,4814.0,0.07840056441055589,0.07828438403249433,0.00011618037806156167,4.0
all,candidate,group_aoiyear,ridge100,0.01,9.0,4814.0,0.07820026781711073,0.07828438403249433,-8.411621538359504e-05,6.0
all,candidate,group_aoiyear,ridge100,0.02,9.0,4814.0,0.07819995380613781,0.07828438403249433,-8.443022635651332e-05,6.0
all,candidate,group_aoiyear,ridge100,0.03,9.0,4814.0,0.07819995380613781,0.07828438403249433,-8.443022635651332e-05,6.0
all,candidate,group_aoiyear,ridge100,0.04,9.0,4814.0,0.07819995380613781,0.07828438403249433,-8.443022635651332e-05,6.0
all,candidate,group_aoiyear,ridge100,0.06,9.0,4814.0,0.07819995380613781,0.07828438403249433,-8.443022635651332e-05,6.0
all,candidate,group_aoiyear,ridge30,0.01,9.0,4814.0,0.07813298848108932,0.07828438403249433,-0.0001513955514050036,8.0
all,candidate,group_aoiyear,ridge30,0.02,9.0,4814.0,0.07812424379811393,0.07828438403249433,-0.00016014023438039315,6.0
all,candidate,group_aoiyear,ridge30,0.03,9.0,4814.0,0.0781160420210088,0.07828438403249433,-0.00016834201148552275,6.0
all,candidate,group_aoiyear,ridge30,0.04,9.0,4814.0,0.07811583790687164,0.07828438403249433,-0.00016854612562268445,6.0
all,candidate,group_aoiyear,ridge30,0.06,9.0,4814.0,0.07811583790687164,0.07828438403249433,-0.00016854612562268445,6.0
all,compact,group_aoi,hgb8,0.01,9.0,4873.0,0.0639988050281518,0.06390031021056207,9.849481758973655e-05,3.0
all,compact,group_aoi,hgb8,0.02,9.0,4873.0,0.06411495318295757,0.06390031021056207,0.00021464297239549845,2.0
all,compact,group_aoi,hgb8,0.03,9.0,4873.0,0.0641226773705709,0.06390031021056207,0.00022236716000882673,0.0
all,compact,group_aoi,hgb8,0.04,9.0,4873.0,0.06412964594358148,0.06390031021056207,0.00022933573301940624,0.0
all,compact,group_aoi,hgb8,0.06,9.0,4873.0,0.06412964594358148,0.06390031021056207,0.00022933573301940624,0.0
all,compact,group_aoi,ridge100,0.01,9.0,4873.0,0.06382706643293018,0.06390031021056207,-7.324377763189005e-05,4.0
all,compact,group_aoi,ridge100,0.02,9.0,4873.0,0.06394269755318975,0.06390031021056207,4.238734262768107e-05,3.0
all,compact,group_aoi,ridge100,0.03,9.0,4873.0,0.0640242611808224,0.06390031021056207,0.00012395097026032809,3.0
all,compact,group_aoi,ridge100,0.04,9.0,4873.0,0.06406644648700693,0.06390031021056207,0.00016613627644486428,2.0
all,compact,group_aoi,ridge100,0.06,9.0,4873.0,0.06409136802190535,0.06390031021056207,0.0001910578113432787,2.0
all,compact,group_aoi,ridge30,0.01,9.0,4873.0,0.06381113591724162,0.06390031021056207,-8.917429332044868e-05,5.0
all,compact,group_aoi,ridge30,0.02,9.0,4873.0,0.06396451691543881,0.06390031021056207,6.420670487673752e-05,3.0
all,compact,group_aoi,ridge30,0.03,9.0,4873.0,0.06405086247925211,0.06390031021056207,0.00015055226869004068,3.0
all,compact,group_aoi,ridge30,0.04,9.0,4873.0,0.0641121906880031,0.06390031021056207,0.00021188047744102878,2.0
all,compact,group_aoi,ridge30,0.06,9.0,4873.0,0.06414745806273583,0.06390031021056207,0.0002471478521737652,2.0
all,compact,group_aoiyear,hgb8,0.01,9.0,4814.0,0.07826366377462728,0.07828438403249433,-2.0720257867049008e-05,5.0
all,compact,group_aoiyear,hgb8,0.02,9.0,4814.0,0.07825989862396322,0.07828438403249433,-2.448540853110248e-05,4.0
all,compact,group_aoiyear,hgb8,0.03,9.0,4814.0,0.0782603576315709,0.07828438403249433,-2.402640092342978e-05,4.0
all,compact,group_aoiyear,hgb8,0.04,9.0,4814.0,0.07826497371502504,0.07828438403249433,-1.9410317469284455e-05,4.0
