route,features,group,seed,split,model,cap,n,rmse,baseline_rmse,delta_rmse,improved
all,candidate,group_aoi,0,1,ridge30,0.01,632,0.0556807772661299,0.056145518223847606,-0.0004647409577177089,1
all,candidate,group_aoi,0,1,ridge30,0.02,632,0.05563003024058578,0.056145518223847606,-0.0005154879832618281,1
all,candidate,group_aoi,0,1,ridge30,0.03,632,0.05561538063257209,0.056145518223847606,-0.0005301375912755146,1
all,candidate,group_aoi,0,1,ridge30,0.04,632,0.05561538063257209,0.056145518223847606,-0.0005301375912755146,1
all,candidate,group_aoi,0,1,ridge30,0.06,632,0.05561538063257209,0.056145518223847606,-0.0005301375912755146,1
all,candidate,group_aoi,0,2,ridge30,0.01,358,0.060735344580087065,0.06144941043782159,-0.0007140658577345221,1
all,candidate,group_aoi,0,2,ridge30,0.02,358,0.06072966400947636,0.06144941043782159,-0.0007197464283452276,1
all,candidate,group_aoi,0,2,ridge30,0.03,358,0.06072966400947636,0.06144941043782159,-0.0007197464283452276,1
all,candidate,group_aoi,0,2,ridge30,0.04,358,0.06072966400947636,0.06144941043782159,-0.0007197464283452276,1
all,candidate,group_aoi,0,2,ridge30,0.06,358,0.06072966400947636,0.06144941043782159,-0.0007197464283452276,1
all,candidate,group_aoi,0,3,ridge30,0.01,830,0.06232682239578189,0.06248292062498674,-0.0001560982292048499,1
all,candidate,group_aoi,0,3,ridge30,0.02,830,0.062359463495652946,0.06248292062498674,-0.0001234571293337941,1
all,candidate,group_aoi,0,3,ridge30,0.03,830,0.062359463495652946,0.06248292062498674,-0.0001234571293337941,1
all,candidate,group_aoi,0,3,ridge30,0.04,830,0.062359463495652946,0.06248292062498674,-0.0001234571293337941,1
all,candidate,group_aoi,0,3,ridge30,0.06,830,0.062359463495652946,0.06248292062498674,-0.0001234571293337941,1
all,candidate,group_aoi,0,1,ridge100,0.01,632,0.05582812961260875,0.056145518223847606,-0.000317388611238853,1
all,candidate,group_aoi,0,1,ridge100,0.02,632,0.05582812961260875,0.056145518223847606,-0.000317388611238853,1
all,candidate,group_aoi,0,1,ridge100,0.03,632,0.05582812961260875,0.056145518223847606,-0.000317388611238853,1
all,candidate,group_aoi,0,1,ridge100,0.04,632,0.05582812961260875,0.056145518223847606,-0.000317388611238853,1
all,candidate,group_aoi,0,1,ridge100,0.06,632,0.05582812961260875,0.056145518223847606,-0.000317388611238853,1
all,candidate,group_aoi,0,2,ridge100,0.01,358,0.06102173410806786,0.06144941043782159,-0.00042767632975372616,1
all,candidate,group_aoi,0,2,ridge100,0.02,358,0.06102173410806786,0.06144941043782159,-0.00042767632975372616,1
all,candidate,group_aoi,0,2,ridge100,0.03,358,0.06102173410806786,0.06144941043782159,-0.00042767632975372616,1
all,candidate,group_aoi,0,2,ridge100,0.04,358,0.06102173410806786,0.06144941043782159,-0.00042767632975372616,1
all,candidate,group_aoi,0,2,ridge100,0.06,358,0.06102173410806786,0.06144941043782159,-0.00042767632975372616,1
all,candidate,group_aoi,0,3,ridge100,0.01,830,0.06248610752501488,0.06248292062498674,3.186900028137596e-06,0
all,candidate,group_aoi,0,3,ridge100,0.02,830,0.06249739748304525,0.06248292062498674,1.447685805851251e-05,0
