route,features,group,model,cap,runs,n,rmse,baseline_rmse,delta_rmse,improved_runs
history,compact,group_aoi,ridge30,0.02,9.0,3578.0,0.06392158616217569,0.0645102009382529,-0.0005886147760772037,9.0
history,compact,group_aoi,ridge30,0.01,9.0,3578.0,0.06396512355993089,0.0645102009382529,-0.0005450773783220036,9.0
history,candidate,group_aoi,ridge30,0.03,9.0,3578.0,0.06404980933732471,0.0645102009382529,-0.00046039160092818665,9.0
history,candidate,group_aoi,ridge30,0.04,9.0,3578.0,0.06404980933732471,0.0645102009382529,-0.00046039160092818665,9.0
history,candidate,group_aoi,ridge30,0.06,9.0,3578.0,0.06404980933732471,0.0645102009382529,-0.00046039160092818665,9.0
history,compact,group_aoi,ridge100,0.02,9.0,3578.0,0.0640531412824696,0.0645102009382529,-0.00045705965578329844,9.0
history,candidate,group_aoi,ridge30,0.02,9.0,3578.0,0.06405449804478883,0.0645102009382529,-0.0004557028934640689,9.0
history,candidate,group_aoi,ridge30,0.01,9.0,3578.0,0.06406002673070896,0.0645102009382529,-0.000450174207543938,9.0
history,compact,group_aoi,ridge100,0.01,9.0,3578.0,0.06406065191563287,0.0645102009382529,-0.0004495490226200244,9.0
history,candidate,group_aoiyear,ridge30,0.04,9.0,3345.0,0.06133148908891516,0.06170038982471902,-0.00036890073580385374,9.0
history,candidate,group_aoiyear,ridge30,0.06,9.0,3345.0,0.06133148908891516,0.06170038982471902,-0.00036890073580385374,9.0
history,candidate,group_aoiyear,ridge30,0.03,9.0,3345.0,0.06133150836961969,0.06170038982471902,-0.00036888145509932774,9.0
history,candidate,group_aoiyear,ridge30,0.01,9.0,3345.0,0.06135020480162927,0.06170038982471902,-0.00035018502308974825,9.0
history,candidate,group_aoiyear,ridge30,0.02,9.0,3345.0,0.06135108077144883,0.06170038982471902,-0.0003493090532701859,9.0
history,candidate,group_aoi,hgb8,0.01,9.0,3578.0,0.0641989734280509,0.0645102009382529,-0.000311227510201989,8.0
all,compact,group_aoiyear,ridge100,0.01,9.0,4814.0,0.07803076091599717,0.07828438403249433,-0.00025362311649715363,8.0
history,compact,group_aoi,hgb8,0.01,9.0,3578.0,0.06425958355090454,0.0645102009382529,-0.00025061738734835637,8.0
history,compact,group_aoi,hgb8,0.02,9.0,3578.0,0.06426782991625372,0.0645102009382529,-0.0002423710219991715,8.0
all,candidate,group_aoi,ridge30,0.01,9.0,4873.0,0.06368751543937522,0.06390031021056207,-0.00021279477118685275,8.0
all,candidate,group_aoiyear,ridge30,0.01,9.0,4814.0,0.07813298848108932,0.07828438403249433,-0.0001513955514050036,8.0
