year,method,n,rmse,mae
2019,production_weighted,249,0.06504498648921714,0.04715896372924984
2019,source_mode,249,0.065521769696119,0.046374229593686
2019,date_mode,249,0.065521769696119,0.046374229593686
2019,sensor_schedule,249,0.13101565303214824,0.08139341430160443
2019,local_linear_k4,249,0.08395221326508909,0.06273685267312563
2019,local_linear_k8,249,0.0787246915069674,0.058674629762837154
2019,local_poly2_k8,249,0.08473986489476647,0.06291994595610062
2019,local_poly2_k12,249,0.08081042634691535,0.0596633086343121
2019,crossyear_linear,249,0.07910461837514284,0.05875962258872779
2020,production_weighted,222,0.0642742645224812,0.046779972198366486
2020,source_mode,222,0.06765361037491867,0.049796252402680326
2020,date_mode,222,0.06765361037491867,0.049796252402680326
2020,sensor_schedule,222,0.08767584488257496,0.05736456752523509
2020,local_linear_k4,222,0.08408041107688381,0.05993038309754913
2020,local_linear_k8,222,0.07837391199048468,0.05628564272312693
2020,local_poly2_k8,222,0.08558394685725078,0.0621424496495416
2020,local_poly2_k12,222,0.08076581331975899,0.05780680442499185
2020,crossyear_linear,222,0.07868883296758032,0.05645878126202951
2021,production_weighted,130,0.09026033289207216,0.06715578488193086
2021,source_mode,130,0.08869038693399729,0.0657422626277341
2021,date_mode,130,0.08869038693399729,0.0657422626277341
2021,sensor_schedule,130,0.15572279412514756,0.11021789252111544
2021,local_linear_k4,130,0.12610770003249322,0.08589844978080201
2021,local_linear_k8,130,0.11761521261684302,0.08477616187593955
2021,local_poly2_k8,130,0.12670560906834735,0.08716050157580792
2021,local_poly2_k12,130,0.12005729602923372,0.08568365193086018
2021,crossyear_linear,130,0.11756681788034418,0.08480915262820041
2022,production_weighted,192,0.07224060509795764,0.053035209586749975
2022,source_mode,192,0.07453295487265602,0.05339055203399524
2022,date_mode,192,0.07453295487265602,0.05339055203399524
2022,sensor_schedule,192,0.12022280232466838,0.0842970013223943
2022,local_linear_k4,192,0.0871728591816484,0.06326064210401143
2022,local_linear_k8,192,0.08282705496536472,0.06086546759771085
2022,local_poly2_k8,192,0.08809913131449744,0.06365024331896978
2022,local_poly2_k12,192,0.08426286768065629,0.061055243275131156
2022,crossyear_linear,192,0.08307619639311674,0.061167878061898266
2023,production_weighted,169,0.07616221867194352,0.05241368834534056
2023,source_mode,169,0.07915759064263538,0.05341943505414568
2023,date_mode,169,0.07915759064263538,0.05341943505414568
2023,sensor_schedule,169,0.10214760543227956,0.07219234838278923
2023,local_linear_k4,169,0.09806802554922303,0.07043441803887207
2023,local_linear_k8,169,0.09002705154368146,0.06509150504956844
2023,local_poly2_k8,169,0.09608095229384797,0.06806857819852676
2023,local_poly2_k12,169,0.09197476678139123,0.06565179275421865
2023,crossyear_linear,169,0.08998553207371507,0.06500183193213199
2024,production_weighted,152,0.05923181948845261,0.042563748165052644
2024,source_mode,152,0.0653748144230225,0.04390936183393646
2024,date_mode,152,0.0653748144230225,0.04390936183393646
2024,sensor_schedule,152,0.09789987026852771,0.06336965901138232
2024,local_linear_k4,152,0.07640448679684378,0.05384057888409313
2024,local_linear_k8,152,0.07145113851208552,0.04984572717910816
2024,local_poly2_k8,152,0.07962764675542142,0.05564363646831742
2024,local_poly2_k12,152,0.07283008897097552,0.05086275503675564
2024,crossyear_linear,152,0.0711752474979728,0.049573155906198055
all,crossyear_linear,1114,0.08575981954220385,0.06144959352655899
all,date_mode,1114,0.07266914758080449,0.0512581138754617
all,local_linear_k4,1114,0.09168024878060767,0.06492463892072727
all,local_linear_k8,1114,0.08562823069128012,0.06139091669902582
all,local_poly2_k12,1114,0.08759241531570823,0.062277421573769046
all,local_poly2_k8,1114,0.09242033634484964,0.06550792167513446
all,production_weighted,1114,0.0705536548225406,0.050599956125115024
all,sensor_schedule,1114,0.11653415807937766,0.07661394926370547
all,source_mode,1114,0.07266914758080449,0.0512581138754617
