year,method,n,rmse,mae
2019,pooled,249,0.06049908534900026,0.04286565708425158
2019,soft,249,0.06865735542879174,0.04957408130173164
2019,mode,249,0.0723520042665694,0.05096482369735438
2019,mix,249,0.062438502661920095,0.04427535219932037
2020,pooled,222,0.057479519441843485,0.03724254209607202
2020,soft,222,0.059671445323317425,0.04072542697356011
2020,mode,222,0.057892306677942984,0.039352231402677434
2020,mix,222,0.05686549926656386,0.037154216034729994
2021,pooled,130,0.08234977343658503,0.06043755738279826
2021,soft,130,0.08462852839297529,0.06046336735090227
2021,mode,130,0.09070974432403447,0.06207884651002112
2021,mix,130,0.08188437223256306,0.05919434608829233
2022,pooled,192,0.07017634403026438,0.04998526835144846
2022,soft,192,0.07162660921223135,0.052578665874643445
2022,mode,192,0.08196788267171806,0.05992264503182621
2022,mix,192,0.06943719867174293,0.05050524943444681
2023,pooled,169,0.07156427875669477,0.047721936601582575
2023,soft,169,0.07308786401079,0.05116446962202106
2023,mode,169,0.07392286593246451,0.049094967993515724
2023,mix,169,0.07082264674543162,0.047931148184725436
2024,pooled,152,0.052326279479031325,0.03645458677326208
2024,soft,152,0.06800609632676168,0.046628360507282356
2024,mode,152,0.0783812059444072,0.05398644411325592
2024,mix,152,0.05778159627411053,0.03988082748889114
