anon_polygon_id,date,crop_type,route_source_index,route_peer_n_r2,route_peer_n_r8,alpha,fallback_schedule
AOI-0001,2010-08-29,озимая пшеница,1,2,5,0.500000000,False
AOI-0001,2010-10-25,озимая пшеница,1,2,5,0.500000000,False
AOI-0001,2011-06-13,озимая пшеница,1,2,2,0.500000000,False
AOI-0001,2011-09-18,озимая пшеница,1,2,4,0.500000000,False
AOI-0001,2011-09-26,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2011-09-30,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2012-05-24,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2012-07-09,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2012-07-11,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2012-08-10,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2012-08-12,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2012-10-15,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2013-05-01,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2013-07-12,озимая пшеница,1,2,5,0.500000000,False
AOI-0001,2013-09-30,озимая пшеница,1,2,5,0.500000000,False
AOI-0001,2014-04-18,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2014-05-25,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2014-06-26,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2014-07-15,озимая пшеница,1,0,0,0.300000000,True
AOI-0001,2014-07-28,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2014-08-09,озимая пшеница,1,2,4,0.500000000,False
AOI-0001,2014-08-13,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2014-10-03,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2014-10-16,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2015-04-13,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2015-08-11,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2015-08-12,озимая пшеница,1,2,4,0.500000000,False
AOI-0001,2015-08-27,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2015-09-20,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2015-09-28,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2016-06-27,озимая пшеница,1,2,4,0.500000000,False
AOI-0001,2016-07-04,озимая пшеница,1,1,1,0.500000000,False
AOI-0001,2016-07-20,озимая пшеница,1,1,2,0.500000000,False
AOI-0001,2016-07-27,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2016-08-29,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2016-08-30,озимая пшеница,1,2,4,0.500000000,False
AOI-0001,2016-09-15,озимая пшеница,1,2,4,0.500000000,False
AOI-0001,2016-09-29,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2017-05-12,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2017-06-29,озимая пшеница,1,1,1,0.500000000,False
AOI-0001,2017-07-12,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2017-08-09,озимая пшеница,0,2,5,0.500000000,False
AOI-0001,2017-08-29,озимая пшеница,0,2,5,0.500000000,False
AOI-0001,2017-09-08,озимая пшеница,0,2,5,0.500000000,False
AOI-0001,2017-09-14,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2018-04-05,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2018-04-23,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2018-05-01,озимая пшеница,0,2,5,0.500000000,False
AOI-0001,2018-06-08,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2018-07-12,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2018-09-28,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2018-10-13,озимая пшеница,0,2,5,0.500000000,False
AOI-0001,2019-05-11,озимая пшеница,0,2,3,0.500000000,False
AOI-0001,2019-05-31,озимая пшеница,0,2,5,0.500000000,False
AOI-0001,2019-06-04,озимая пшеница,1,2,5,0.500000000,False
AOI-0001,2019-06-05,озимая пшеница,0,2,4,0.500000000,False
AOI-0001,2019-06-25,озимая пшеница,0,2,5,0.500000000,False
AOI-0001,2019-07-12,озимая пшеница,2,2,5,0.500000000,False
AOI-0001,2019-07-22,озимая пшеница,0,2,5,0.500000000,False
AOI-0001,2019-07-29,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2019-08-30,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2019-09-07,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2019-09-08,озимая пшеница,1,2,5,0.500000000,False
AOI-0001,2019-09-18,озимая пшеница,0,1,4,0.500000000,False
AOI-0001,2020-04-03,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2020-04-26,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2020-05-30,озимая пшеница,0,2,5,0.500000000,False
AOI-0001,2020-06-09,озимая пшеница,0,2,5,0.500000000,False
AOI-0001,2020-07-14,озимая пшеница,0,2,5,0.500000000,False
AOI-0001,2020-07-23,озимая пшеница,1,2,3,0.500000000,False
AOI-0001,2020-07-27,озимая пшеница,2,2,5,0.500000000,False
