year,subset,method,n,rmse
2019,all,prod,249,0.06504498648921714
2019,all,raw2,249,0.12655159273134153
2019,all,raw3,249,0.13013460902645838
2019,all,raw4,249,0.13976993250103842
2019,all,raw6,249,0.15087969304422236
2019,all,raw8,249,0.15788561077211125
2019,all,raw12,249,0.16414489512863473
2019,all,raw16,249,0.16481197019671737
2019,all,converted2,249,0.11258846654705257
2019,all,converted3,249,0.10870904008825029
2019,all,converted4,249,0.10599130868389482
2019,all,converted6,249,0.10501700506425131
2019,all,converted8,249,0.10530388550012452
2019,all,converted12,249,0.10768618955568035
2019,all,converted16,249,0.11035479343690614
2019,period,prod,83,0.06943881471179027
2019,period,raw2,83,0.10236847317869927
2019,period,raw3,83,0.10956787770896434
2019,period,raw4,83,0.12858027334265462
2019,period,raw6,83,0.14102050837463498
2019,period,raw8,83,0.14655637662338566
2019,period,raw12,83,0.14938596439465252
2019,period,raw16,83,0.14938596439465252
2019,period,converted2,83,0.08547977088479196
2019,period,converted3,83,0.08285972915086946
2019,period,converted4,83,0.08065132285425988
2019,period,converted6,83,0.08038147588471713
2019,period,converted8,83,0.08012732170401447
2019,period,converted12,83,0.08175686068828693
2019,period,converted16,83,0.08330869434654561
2019,true_modis,prod,56,0.06438143659049815
2019,true_modis,raw2,56,0.08670394705777186
2019,true_modis,raw3,56,0.097462487296606
2019,true_modis,raw4,56,0.12110142028892401
2019,true_modis,raw6,56,0.13573986303540397
2019,true_modis,raw8,56,0.14225239294789646
2019,true_modis,raw12,56,0.1447593736412467
2019,true_modis,raw16,56,0.1447593736412467
2019,true_modis,converted2,56,0.06834508451931293
2019,true_modis,converted3,56,0.061329415740733854
2019,true_modis,converted4,56,0.05781205980240244
2019,true_modis,converted6,56,0.0569703381894736
2019,true_modis,converted8,56,0.05637426863822301
2019,true_modis,converted12,56,0.05872366613825412
2019,true_modis,converted16,56,0.06027262921277075
2019,period_modis,prod,56,0.06438143659049815
2019,period_modis,raw2,56,0.08670394705777186
2019,period_modis,raw3,56,0.097462487296606
2019,period_modis,raw4,56,0.12110142028892401
2019,period_modis,raw6,56,0.13573986303540397
2019,period_modis,raw8,56,0.14225239294789646
2019,period_modis,raw12,56,0.1447593736412467
2019,period_modis,raw16,56,0.1447593736412467
2019,period_modis,converted2,56,0.06834508451931293
2019,period_modis,converted3,56,0.061329415740733854
2019,period_modis,converted4,56,0.05781205980240244
2019,period_modis,converted6,56,0.0569703381894736
2019,period_modis,converted8,56,0.05637426863822301
2019,period_modis,converted12,56,0.05872366613825412
2019,period_modis,converted16,56,0.06027262921277075
2020,all,prod,222,0.0642742645224812
2020,all,raw2,222,0.10211677266359497
2020,all,raw3,222,0.10347677752917994
2020,all,raw4,222,0.10780560680796618
2020,all,raw6,222,0.11723872857162754
2020,all,raw8,222,0.12529828560111908
2020,all,raw12,222,0.13180339467839539
2020,all,raw16,222,0.13208636445982233
2020,all,converted2,222,0.11515946293755011
2020,all,converted3,222,0.10762565554709791
2020,all,converted4,222,0.1064585198014288
2020,all,converted6,222,0.10669401097133145
2020,all,converted8,222,0.10699146227434086
2020,all,converted12,222,0.10823716605326285
