dataset,method,source,n,rmse,mae
all,blend20,all,9046.0,0.06864326085608312,0.04259326061373064
all,hgb_raw,all,9046.0,0.06906793371344473,0.04285794793217024
all,lag_component,all,9046.0,0.07527130682268748,0.0488876281701768
exact_hidden_doy,blend20,all,1114.0,0.06260634739886303,0.04285451444746953
exact_hidden_doy,blend20,landsat,326.0,0.05709669178769885,0.03851415407651071
exact_hidden_doy,blend20,modis,343.0,0.06486122857440765,0.046932790290396764
exact_hidden_doy,blend20,s2,445.0,0.06466195042266143,0.04289071414816287
exact_hidden_doy,hgb_raw,all,1114.0,0.06340553155480409,0.043257469907096814
exact_hidden_doy,hgb_raw,landsat,326.0,0.05730111555372451,0.03866703466965366
exact_hidden_doy,hgb_raw,modis,343.0,0.06663106102462393,0.04849557772042348
exact_hidden_doy,hgb_raw,s2,445.0,0.06509043843776632,0.04258288767661463
exact_hidden_doy,lag_component,all,1114.0,0.0676029325097474,0.04819262998273641
exact_hidden_doy,lag_component,landsat,326.0,0.06294827799802521,0.04288547945837288
exact_hidden_doy,lag_component,modis,343.0,0.0692142946266312,0.05294796277957043
exact_hidden_doy,lag_component,s2,445.0,0.0696088882799051,0.048415218570665504
random_private_like,blend20,all,7932.0,0.06944909527214516,0.04255656913985455
random_private_like,blend20,landsat,3062.0,0.07211811756098546,0.04222188516491908
random_private_like,blend20,modis,1347.0,0.06752146079291185,0.049940949931263724
random_private_like,blend20,s2,3523.0,0.06779176737649398,0.040024080183063256
random_private_like,hgb_raw,all,7932.0,0.06982641959795943,0.042801837558989676
random_private_like,hgb_raw,landsat,3062.0,0.07254968428323166,0.042455197299282814
random_private_like,hgb_raw,modis,1347.0,0.06902679800740054,0.05086479729526169
random_private_like,hgb_raw,s2,3523.0,0.06768447883428089,0.040020289364400975
random_private_like,lag_component,all,7932.0,0.07628657597417754,0.04898523633719754
random_private_like,lag_component,landsat,3062.0,0.07765002943070158,0.048221052316278115
random_private_like,lag_component,modis,1347.0,0.07553062876347466,0.057247133427346386
random_private_like,lag_component,s2,3523.0,0.07537307730162435,0.046490531850006164
