dataset,partition,year,method,source,n,rmse,mae
all,all,0,hgb_raw,all,9046,0.06906793371344473,0.04285794793217024
exact_hidden_doy,all,0,hgb_raw,all,1114,0.06340553155480409,0.043257469907096814
random_private_like,all,0,hgb_raw,all,7932,0.06982641959795943,0.042801837558989676
exact_hidden_doy,exact2019,2019,hgb_raw,landsat,73,0.059016477013579864,0.04328307198790298
exact_hidden_doy,exact2019,2019,hgb_raw,modis,56,0.04804659273399362,0.0383395484530973
exact_hidden_doy,exact2019,2019,hgb_raw,s2,120,0.06102478493183751,0.038211240528530394
exact_hidden_doy,exact2020,2020,hgb_raw,landsat,25,0.035675682707418534,0.025980397826249776
exact_hidden_doy,exact2020,2020,hgb_raw,modis,69,0.0643108652244088,0.04620664137955843
exact_hidden_doy,exact2020,2020,hgb_raw,s2,128,0.054355239296994894,0.0352531919689381
exact_hidden_doy,exact2021,2021,hgb_raw,landsat,35,0.05061391120723912,0.04125360792278134
exact_hidden_doy,exact2021,2021,hgb_raw,modis,58,0.07961248131448073,0.05922100873472056
exact_hidden_doy,exact2021,2021,hgb_raw,s2,37,0.09349776064597588,0.06909274067329747
exact_hidden_doy,exact2022,2022,hgb_raw,landsat,94,0.061482439968841035,0.043215553116368675
exact_hidden_doy,exact2022,2022,hgb_raw,modis,54,0.0833014051313029,0.06422376751532172
exact_hidden_doy,exact2022,2022,hgb_raw,s2,44,0.05909873066877353,0.04053993370569894
exact_hidden_doy,exact2023,2023,hgb_raw,landsat,48,0.07769576360240664,0.04327081810927578
exact_hidden_doy,exact2023,2023,hgb_raw,modis,67,0.052914372397562734,0.03900405347262555
exact_hidden_doy,exact2023,2023,hgb_raw,s2,54,0.08732651630212952,0.057990213809893734
exact_hidden_doy,exact2024,2024,hgb_raw,landsat,51,0.031176821744280585,0.02378708945201354
exact_hidden_doy,exact2024,2024,hgb_raw,modis,39,0.06760463478030418,0.045706068062441006
exact_hidden_doy,exact2024,2024,hgb_raw,s2,62,0.052575306713994525,0.0383865733378833
random_private_like,random0,2010,hgb_raw,landsat,44,0.061482138960870236,0.043984692814058785
random_private_like,random0,2010,hgb_raw,modis,30,0.07153217325471839,0.05463442580244142
random_private_like,random0,2011,hgb_raw,landsat,46,0.06385242293236375,0.04434766927546429
random_private_like,random0,2011,hgb_raw,modis,36,0.08721227406500458,0.06901707026828255
random_private_like,random0,2012,hgb_raw,landsat,31,0.10351294404456068,0.059681557188112556
random_private_like,random0,2012,hgb_raw,modis,27,0.07441854203855383,0.06268877397284459
random_private_like,random0,2013,hgb_raw,landsat,54,0.07711292424472828,0.0585816873121564
random_private_like,random0,2013,hgb_raw,modis,24,0.05519596549805739,0.040183982755793164
random_private_like,random0,2014,hgb_raw,landsat,61,0.042597177951652805,0.03402843495533709
random_private_like,random0,2014,hgb_raw,modis,34,0.08117572349920704,0.06309631596335295
random_private_like,random0,2015,hgb_raw,landsat,71,0.19381881047488167,0.07264515636118554
random_private_like,random0,2015,hgb_raw,modis,21,0.05545074875627986,0.041687130797860614
random_private_like,random0,2016,hgb_raw,landsat,57,0.14375854101058563,0.06340128274554517
random_private_like,random0,2016,hgb_raw,modis,31,0.07717127726856783,0.06032110248740368
random_private_like,random0,2017,hgb_raw,landsat,69,0.06061081943038497,0.04525178198356295
random_private_like,random0,2017,hgb_raw,modis,25,0.0725858491137115,0.05651390511192224
random_private_like,random0,2017,hgb_raw,s2,46,0.046952464312188406,0.03426522237131877
random_private_like,random0,2018,hgb_raw,landsat,73,0.06270049746697678,0.04375333834177537
random_private_like,random0,2018,hgb_raw,modis,20,0.06257969968539172,0.04019105639350321
random_private_like,random0,2018,hgb_raw,s2,29,0.06118053925848013,0.03592065411002146
random_private_like,random0,2019,hgb_raw,landsat,61,0.05791026419775786,0.0413846333125135
random_private_like,random0,2019,hgb_raw,modis,21,0.07561166423737088,0.05683540648085829
random_private_like,random0,2019,hgb_raw,s2,103,0.06620924543982844,0.04706650762909991
random_private_like,random0,2020,hgb_raw,landsat,57,0.06383485465682302,0.03951323813242821
random_private_like,random0,2020,hgb_raw,modis,21,0.07271765593004584,0.05577348426092531
random_private_like,random0,2020,hgb_raw,s2,112,0.08500683956842175,0.05044562529496048
random_private_like,random0,2021,hgb_raw,landsat,38,0.05909707626185179,0.03898898030222352
random_private_like,random0,2021,hgb_raw,modis,24,0.06751785194842083,0.04971723798493427
random_private_like,random0,2021,hgb_raw,s2,99,0.10020420626714355,0.06307889960651503
random_private_like,random0,2022,hgb_raw,landsat,59,0.06007298217451447,0.04349060767478501
random_private_like,random0,2022,hgb_raw,modis,19,0.06630145365994643,0.044790581092520654
random_private_like,random0,2022,hgb_raw,s2,87,0.08531219049966386,0.044160834419958654
random_private_like,random0,2023,hgb_raw,landsat,80,0.05645228126016382,0.03511438647789965
random_private_like,random0,2023,hgb_raw,modis,26,0.07095974374037833,0.05834831739391166
random_private_like,random0,2023,hgb_raw,s2,79,0.05067557041910486,0.034118822653478056
random_private_like,random0,2024,hgb_raw,landsat,62,0.05167103151659018,0.03672261768292716
random_private_like,random0,2024,hgb_raw,modis,12,0.03952535895324261,0.0327884134156575
random_private_like,random0,2024,hgb_raw,s2,99,0.05900610171044545,0.03175278265998071
random_private_like,random0,2025,hgb_raw,landsat,172,0.05468215422815933,0.03633248222506526
random_private_like,random0,2025,hgb_raw,modis,82,0.056729484224157106,0.03788633761026343
random_private_like,random0,2025,hgb_raw,s2,502,0.05215554450033518,0.03320459479538437
random_private_like,random1,2010,hgb_raw,landsat,46,0.05757516000377435,0.046724307927346456
random_private_like,random1,2010,hgb_raw,modis,28,0.04572578136659533,0.03495097729989769
random_private_like,random1,2011,hgb_raw,landsat,56,0.07593558979849341,0.05389315289144643
random_private_like,random1,2011,hgb_raw,modis,26,0.08835509319173858,0.056017621547946955
random_private_like,random1,2012,hgb_raw,landsat,28,0.06048559191694143,0.04181077113481122
random_private_like,random1,2012,hgb_raw,modis,30,0.07334266330627479,0.0575833828757451
random_private_like,random1,2013,hgb_raw,landsat,52,0.0702909393683353,0.053410100050377864
random_private_like,random1,2013,hgb_raw,modis,26,0.0650221439645296,0.054263988189542624
random_private_like,random1,2014,hgb_raw,landsat,63,0.051143685253649235,0.03901745250035148
random_private_like,random1,2014,hgb_raw,modis,32,0.07596835842965433,0.05903750900195814
random_private_like,random1,2015,hgb_raw,landsat,68,0.057858625310988614,0.038965838978294164
random_private_like,random1,2015,hgb_raw,modis,24,0.06629936003272759,0.05139410001208716
random_private_like,random1,2016,hgb_raw,landsat,59,0.07333274547993679,0.04852283426784739
random_private_like,random1,2016,hgb_raw,modis,29,0.07318085003391375,0.056374434746217554
random_private_like,random1,2017,hgb_raw,landsat,60,0.05497004029475271,0.043056080213127124
random_private_like,random1,2017,hgb_raw,modis,22,0.07429198675806606,0.051832924306475056
random_private_like,random1,2017,hgb_raw,s2,58,0.052208424984222596,0.03765403950689963
random_private_like,random1,2018,hgb_raw,landsat,65,0.059974852587503326,0.04440823732718158
random_private_like,random1,2018,hgb_raw,modis,27,0.0726709051557964,0.056835082481417075
random_private_like,random1,2018,hgb_raw,s2,30,0.056032681718723824,0.03822386120472808
random_private_like,random1,2019,hgb_raw,landsat,52,0.044396079613383245,0.034959822376656007
random_private_like,random1,2019,hgb_raw,modis,19,0.06932826456126165,0.05632631973329478
random_private_like,random1,2019,hgb_raw,s2,114,0.1191424168259322,0.06267301829547894
random_private_like,random1,2020,hgb_raw,landsat,54,0.05129711884172837,0.037278444310923274
random_private_like,random1,2020,hgb_raw,modis,20,0.08187970738598656,0.06629674205729785
random_private_like,random1,2020,hgb_raw,s2,116,0.07618990371008239,0.04257379327361701
random_private_like,random1,2021,hgb_raw,landsat,43,0.06770654263747544,0.043594111156484004
random_private_like,random1,2021,hgb_raw,modis,22,0.07807782756889399,0.06464602773037088
random_private_like,random1,2021,hgb_raw,s2,96,0.09224285922918005,0.05928713646618176
random_private_like,random1,2022,hgb_raw,landsat,56,0.04643847771034828,0.03466899311209365
random_private_like,random1,2022,hgb_raw,modis,19,0.08427161781681797,0.06132738052921495
random_private_like,random1,2022,hgb_raw,s2,90,0.07097320655084377,0.04523463313261507
random_private_like,random1,2023,hgb_raw,landsat,66,0.05395403551375992,0.0394410191693843
random_private_like,random1,2023,hgb_raw,modis,26,0.06372610626877509,0.04857526311676354
random_private_like,random1,2023,hgb_raw,s2,93,0.07379161486054236,0.04656321706874161
random_private_like,random1,2024,hgb_raw,landsat,48,0.046698939733611555,0.03401298098223723
random_private_like,random1,2024,hgb_raw,modis,12,0.04344367000276932,0.034479214473960886
random_private_like,random1,2024,hgb_raw,s2,113,0.06384395179620712,0.03902845354406593
random_private_like,random1,2025,hgb_raw,landsat,186,0.046628191633876576,0.03296717813782555
random_private_like,random1,2025,hgb_raw,modis,99,0.06535965157756243,0.047850800231479564
random_private_like,random1,2025,hgb_raw,s2,471,0.058404022163983965,0.035414151067682705
random_private_like,random2,2010,hgb_raw,landsat,46,0.05006655458898576,0.0361454057399102
random_private_like,random2,2010,hgb_raw,modis,28,0.03709995417234603,0.028772888296831684
random_private_like,random2,2011,hgb_raw,landsat,57,0.07246861964726321,0.05426225451994914
random_private_like,random2,2011,hgb_raw,modis,25,0.06552050966563887,0.04359730575735215
random_private_like,random2,2012,hgb_raw,landsat,31,0.05399029805038065,0.04101202518762313
random_private_like,random2,2012,hgb_raw,modis,27,0.06491567967479947,0.052063465443892794
random_private_like,random2,2013,hgb_raw,landsat,57,0.09468431867646859,0.06474177922447188
random_private_like,random2,2013,hgb_raw,modis,21,0.04824498354397129,0.039512170714516286
random_private_like,random2,2014,hgb_raw,landsat,53,0.04591214218564151,0.034099396436263175
random_private_like,random2,2014,hgb_raw,modis,42,0.06517233783410244,0.04580843247936822
random_private_like,random2,2015,hgb_raw,landsat,70,0.067736269216357,0.044739780539502505
random_private_like,random2,2015,hgb_raw,modis,22,0.044620354851544156,0.03276642669275405
random_private_like,random2,2016,hgb_raw,landsat,65,0.0648651083060451,0.04547290406039231
random_private_like,random2,2016,hgb_raw,modis,23,0.08332703994076347,0.06609428099061358
random_private_like,random2,2017,hgb_raw,landsat,64,0.053230360484394355,0.03910030483569233
random_private_like,random2,2017,hgb_raw,modis,29,0.0836116831599632,0.06038863059197816
random_private_like,random2,2017,hgb_raw,s2,47,0.051996223054494174,0.035750403136516805
random_private_like,random2,2018,hgb_raw,landsat,79,0.046751396904590216,0.034486709807338096
random_private_like,random2,2018,hgb_raw,modis,18,0.07381744464787517,0.054937644785907236
random_private_like,random2,2018,hgb_raw,s2,25,0.04817226811494066,0.03535393174460042
random_private_like,random2,2019,hgb_raw,landsat,57,0.044048372037194965,0.03598493771952616
random_private_like,random2,2019,hgb_raw,modis,19,0.09606487106569313,0.06914255813075547
random_private_like,random2,2019,hgb_raw,s2,109,0.10135942985714196,0.0511000120066264
random_private_like,random2,2020,hgb_raw,landsat,60,0.05178931892513974,0.036256079260240055
random_private_like,random2,2020,hgb_raw,modis,23,0.0792193634404213,0.05196964795892084
random_private_like,random2,2020,hgb_raw,s2,107,0.046825661449745815,0.03011037473956894
random_private_like,random2,2021,hgb_raw,landsat,42,0.07963963470192119,0.05316877941869706
random_private_like,random2,2021,hgb_raw,modis,21,0.06182289755354938,0.04139744231750392
