protocol,method,rmse,n,baseline
exact_hidden_doy,safe_loo_crop_doy_w10,0.07048298872217638,1114.0,0.0705536548225406
exact_hidden_doy,safe_loo_crop_doy_w20,0.07042770788019244,1114.0,0.0705536548225406
exact_hidden_doy,safe_loo_date_w10,0.07043305181120409,1114.0,0.0705536548225406
exact_hidden_doy,safe_loo_date_w20,0.07032284578170045,1114.0,0.0705536548225406
exact_hidden_doy,safe_loo_doy_w10,0.07050766792133818,1114.0,0.0705536548225406
exact_hidden_doy,safe_loo_doy_w20,0.07047293528378194,1114.0,0.0705536548225406
exact_hidden_doy,safe_pca_rank1_b0.5,0.06937365849315073,1114.0,0.0705536548225406
exact_hidden_doy,safe_pca_rank1_b1.0,0.07025815587194113,1114.0,0.0705536548225406
exact_hidden_doy,safe_pca_rank2_b0.5,0.06938850202670793,1114.0,0.0705536548225406
exact_hidden_doy,safe_pca_rank2_b1.0,0.0703915931755891,1114.0,0.0705536548225406
private_2025_date,safe_loo_crop_doy_w10,0.07434604062191877,2775.0,0.07433804596586452
private_2025_date,safe_loo_crop_doy_w20,0.07436188523433378,2775.0,0.07433804596586452
private_2025_date,safe_loo_date_w10,0.07424893512793894,2775.0,0.07433804596586452
private_2025_date,safe_loo_date_w20,0.07417068930385899,2775.0,0.07433804596586452
private_2025_date,safe_loo_doy_w10,0.07434495672461458,2775.0,0.07433804596586452
private_2025_date,safe_loo_doy_w20,0.07435899359891718,2775.0,0.07433804596586452
private_2025_date,safe_pca_rank1_b0.5,0.0733620339439419,2775.0,0.07433804596586452
private_2025_date,safe_pca_rank1_b1.0,0.07448199687077635,2775.0,0.07433804596586452
private_2025_date,safe_pca_rank2_b0.5,0.07275271871363621,2775.0,0.07433804596586452
private_2025_date,safe_pca_rank2_b1.0,0.07308067276832379,2775.0,0.07433804596586452
private_like,safe_loo_crop_doy_w10,0.07853644820378722,7932.0,0.07857571811320666
private_like,safe_loo_crop_doy_w20,0.07851145246768997,7932.0,0.07857571811320666
private_like,safe_loo_date_w10,0.07855787161294818,7932.0,0.07857571811320666
private_like,safe_loo_date_w20,0.07854382030295876,7932.0,0.07857571811320666
private_like,safe_loo_doy_w10,0.07852623429246804,7932.0,0.07857571811320666
private_like,safe_loo_doy_w20,0.07849204900366781,7932.0,0.07857571811320666
private_like,safe_pca_rank1_b0.5,0.07713928855213925,7932.0,0.07857571811320666
private_like,safe_pca_rank1_b1.0,0.07796871519527916,7932.0,0.07857571811320666
private_like,safe_pca_rank2_b0.5,0.07694481149547482,7932.0,0.07857571811320666
private_like,safe_pca_rank2_b1.0,0.0773911856353845,7932.0,0.07857571811320666
