dataset,partition,candidate,n,coef_intercept,coef_shock,coef_state,feature_finite_shock,feature_finite_state,rmse,mae
exact_hidden_doy,exact2019,baseline,249,,,,244,249,0.05718105612325281,0.039427367948714015
exact_hidden_doy,exact2019,shock_cf,249,-0.0011818908959062388,0.0924406688557409,,244,249,0.05687701466396181,0.03913777624674715
exact_hidden_doy,exact2019,state_cf,249,0.0003765451618413712,,-0.04261459938402449,244,249,0.057216281529002676,0.03944432915630716
exact_hidden_doy,exact2019,joint_cf,249,-0.0011950640746494145,0.09063529220673479,-0.040067486391038666,244,249,0.056895196953935516,0.03913345105489434
exact_hidden_doy,exact2020,baseline,222,,,,219,222,0.05531092808775867,0.037629656313872696
exact_hidden_doy,exact2020,shock_cf,222,-0.002334765903020184,0.10491630613829336,,219,222,0.055261261226936725,0.03752851517889711
exact_hidden_doy,exact2020,state_cf,222,-0.0012609557230289104,,-0.02391815865602362,219,222,0.055448710777939766,0.03762398985509577
exact_hidden_doy,exact2020,joint_cf,222,-0.0023628937944567977,0.10376077025666497,-0.023804877179283798,219,222,0.05525111536544608,0.03748679909920741
exact_hidden_doy,exact2021,baseline,130,,,,126,130,0.07722274795685638,0.056872823530196855
exact_hidden_doy,exact2021,shock_cf,130,-0.0002674088260610985,0.09607881229620242,,126,130,0.07705199890851112,0.05672623009014119
exact_hidden_doy,exact2021,state_cf,130,0.0007092416215805339,,-0.0013902406827762987,126,130,0.077254279234436,0.056838920200877434
exact_hidden_doy,exact2021,joint_cf,130,-0.00027384882141466376,0.09566037234168777,-0.010331637987545945,126,130,0.07703341859206919,0.05672224366403447
exact_hidden_doy,exact2022,baseline,192,,,,189,192,0.06659808703830404,0.04766860741555279
exact_hidden_doy,exact2022,shock_cf,192,-0.0026497312309746845,0.1139329646415557,,189,192,0.0667709953718952,0.0478002100412151
exact_hidden_doy,exact2022,state_cf,192,-0.00143348441898488,,-0.06275511661994781,189,192,0.06691389742098695,0.047995742610952054
exact_hidden_doy,exact2022,joint_cf,192,-0.002675244060772437,0.11097943701345953,-0.058691172488600576,189,192,0.06688013029266113,0.04788756477593354
exact_hidden_doy,exact2023,baseline,169,,,,169,169,0.07085721568596635,0.04507310811478096
exact_hidden_doy,exact2023,shock_cf,169,0.0016744536816253332,0.07202275656433225,,169,169,0.07100643827137294,0.045156389769906415
exact_hidden_doy,exact2023,state_cf,169,0.0022497940537998785,,-0.005026788604714713,169,169,0.07123724841502485,0.04531270627994072
exact_hidden_doy,exact2023,joint_cf,169,0.001669299577558618,0.07158991937284281,-0.008675525365345731,169,169,0.07099264932430815,0.045144587765807265
exact_hidden_doy,exact2024,baseline,152,,,,152,152,0.05115447818690075,0.035562735654354104
exact_hidden_doy,exact2024,shock_cf,152,-0.0009092736974044013,0.11915574802627266,,152,152,0.051385685480284514,0.03579216225315802
exact_hidden_doy,exact2024,state_cf,152,0.0003870456654021747,,-0.023027674771869518,152,152,0.05114815237977504,0.035546149605202644
exact_hidden_doy,exact2024,joint_cf,152,-0.000942810526627008,0.11805550704669314,-0.02415074052607477,152,152,0.05136828107854976,0.03573167238901175
random_private_like,random0,baseline,2644,,,,2410,2644,0.0734093265663058,0.0434699149392176
random_private_like,random0,shock_cf,2644,-0.0011361077337522713,0.21705753531494776,,2410,2644,0.07329608698691539,0.043315842014980795
random_private_like,random0,state_cf,2644,-0.00023597866707310647,,-0.1346108441878386,2410,2644,0.07330465484089008,0.043363097625400734
random_private_like,random0,joint_cf,2644,-0.0009686948126334992,0.21660435265412892,-0.1149148311089763,2410,2644,0.07319428171913354,0.0431993034249692
random_private_like,random1,baseline,2644,,,,2393,2644,0.06654105909924508,0.04336477478155467
random_private_like,random1,shock_cf,2644,0.00029195468653936185,0.1727552114842116,,2393,2644,0.06625422388032565,0.04308044932962743
random_private_like,random1,state_cf,2644,0.0010021579612816852,,-0.18199248520984065,2393,2644,0.06651617174557711,0.043229192267490675
random_private_like,random1,joint_cf,2644,0.0005103207411235429,0.17321981574131484,-0.18046453868158613,2393,2644,0.06621514096979382,0.04297889208671388
random_private_like,random2,baseline,2644,,,,2403,2644,0.06821208638790288,0.04083501769879138
random_private_like,random2,shock_cf,2644,-0.0009463373939306161,0.1874227974026098,,2403,2644,0.06795597831448547,0.040572212862101595
random_private_like,random2,state_cf,2644,-0.0005932517403227565,,-0.17102118315429568,2403,2644,0.06815513475099737,0.040733057263023516
random_private_like,random2,joint_cf,2644,-0.0006800826215387628,0.18762740441284725,-0.1776645331852409,2403,2644,0.06790256165178622,0.04048028989163599
