method,weight_pca,n,rmse,mae,dataset
safe_pca_rank1_b0.5,0.0,9046,0.06864326085608312,0.04259326061373064,
safe_pca_rank1_b0.5,0.05,9046,0.06871258101451956,0.04267907662113189,
safe_pca_rank1_b0.5,0.1,9046,0.06881656351146562,0.042797346894444456,
safe_pca_rank1_b0.5,0.15,9046,0.06895505153727517,0.04294845976710033,
safe_pca_rank1_b0.5,0.2,9046,0.0691278377111493,0.04313406309095248,
safe_pca_rank1_b0.5,0.3,9046,0.06957523165775673,0.043593682553278175,
safe_pca_rank1_b0.5,0.5,9046,0.07086728320610199,0.04483849850638757,
safe_pca_rank1_b0.5,1.0,9046,0.07622569061723264,0.04967943987158802,
safe_pca_rank1_b0.5,0.0,1114,0.06260634739886303,0.04285451444746953,exact_hidden_doy
safe_pca_rank1_b0.5,0.1,1114,0.06277332619871512,0.043067654889817994,exact_hidden_doy
safe_pca_rank1_b0.5,0.2,1114,0.0630604599853138,0.04337617160111846,exact_hidden_doy
safe_pca_rank1_b0.5,0.3,1114,0.06346611796190416,0.04376460570859705,exact_hidden_doy
safe_pca_rank1_b0.5,0.5,1114,0.0646234269642362,0.04485021677228837,exact_hidden_doy
safe_pca_rank1_b0.5,1.0,1114,0.06937365849315073,0.04897727484624414,exact_hidden_doy
safe_pca_rank1_b0.5,0.0,7932,0.06944909527214516,0.04255656913985455,random_private_like
safe_pca_rank1_b0.5,0.1,7932,0.06962330331374336,0.04275938381995554,random_private_like
safe_pca_rank1_b0.5,0.2,7932,0.06993782206049236,0.043100060458536336,random_private_like
safe_pca_rank1_b0.5,0.3,7932,0.07039077073638449,0.04356967746061237,random_private_like
safe_pca_rank1_b0.5,0.5,7932,0.07170066307646845,0.04483685274892243,random_private_like
safe_pca_rank1_b0.5,1.0,7932,0.07713928855213925,0.0497780545763577,random_private_like
safe_pca_rank2_b0.5,0.0,9046,0.06864326085608312,0.04259326061373064,
safe_pca_rank2_b0.5,0.05,9046,0.06871398338921238,0.04267285858715216,
safe_pca_rank2_b0.5,0.1,9046,0.06881822154334272,0.04278400041385537,
safe_pca_rank2_b0.5,0.15,9046,0.06895582332539588,0.04292514816546028,
safe_pca_rank2_b0.5,0.2,9046,0.06912658949707258,0.04310043892697932,
safe_pca_rank2_b0.5,0.3,9046,0.06956659067599068,0.04353228163280395,
safe_pca_rank2_b0.5,0.5,9046,0.07083094715501483,0.044713306252697205,
safe_pca_rank2_b0.5,1.0,9046,0.0760548090569769,0.049309380461565314,
safe_pca_rank2_b0.5,0.0,1114,0.06260634739886303,0.04285451444746953,exact_hidden_doy
safe_pca_rank2_b0.5,0.1,1114,0.06277796386198811,0.04306534656456549,exact_hidden_doy
safe_pca_rank2_b0.5,0.2,1114,0.06306902981821688,0.04337293193164479,exact_hidden_doy
safe_pca_rank2_b0.5,0.3,1114,0.06347790214940359,0.04375856062464364,exact_hidden_doy
safe_pca_rank2_b0.5,0.5,1114,0.06463948042812347,0.04483693450901549,exact_hidden_doy
safe_pca_rank2_b0.5,1.0,1114,0.06938850202670795,0.048864368119865734,exact_hidden_doy
safe_pca_rank2_b0.5,0.0,7932,0.06944909527214516,0.04255656913985455,random_private_like
safe_pca_rank2_b0.5,0.1,7932,0.06962458503582918,0.042744487099194366,random_private_like
safe_pca_rank2_b0.5,0.2,7932,0.06993532969833789,0.04306216898154344,random_private_like
safe_pca_rank2_b0.5,0.3,7932,0.07037953772177631,0.04350050215765147,random_private_like
safe_pca_rank2_b0.5,0.5,7932,0.07165767079453578,0.04469594343404634,random_private_like
safe_pca_rank2_b0.5,1.0,7932,0.07694481149547482,0.04937187967344799,random_private_like
