mode,method,folds,n,rmse_mean,mae_mean
exact_doy,hard,1,249,0.065521769696119,0.046374229593686
exact_doy,hard|loo_date_crop_0.15,1,249,0.06490213372643742,0.045695977914891515
exact_doy,hard|loo_date_crop_0.30,1,249,0.06436689588713607,0.04505614506133108
exact_doy,hard|loo_date_crop_0.50,1,249,0.06378815527707703,0.04433325299433119
exact_doy,hard|loo_date_crop_0.75,1,249,0.06331557053168624,0.04356791318487804
exact_doy,hard|loo_date_crop_1.00,1,249,0.06291494113506214,0.04300616509410924
exact_doy,lag,1,249,0.06450731545469175,0.045785213056398634
exact_doy,oracle_true,1,249,0.059959462926262405,0.0426563174452705
exact_doy,prod,1,249,0.06504498648921714,0.04715896372924984
exact_doy,prod|loo_date_crop_0.15,1,249,0.06429826756275046,0.04632544593991494
exact_doy,prod|loo_date_crop_0.30,1,249,0.06363418752154844,0.045536536775096545
exact_doy,prod|loo_date_crop_0.50,1,249,0.0628817753442283,0.04462676944214269
exact_doy,prod|loo_date_crop_0.75,1,249,0.06219383736917048,0.043688275725260205
exact_doy,prod|loo_date_crop_1.00,1,249,0.06169762132208345,0.04309585488482575
exact_doy,soft,1,249,0.06504498648921714,0.04715896372924984
exact_doy,soft|loo_date_crop_0.15,1,249,0.06429826756275046,0.04632544593991494
exact_doy,soft|loo_date_crop_0.30,1,249,0.06363418752154844,0.045536536775096545
exact_doy,soft|loo_date_crop_0.50,1,249,0.0628817753442283,0.04462676944214269
exact_doy,soft|loo_date_crop_0.75,1,249,0.06219383736917048,0.043688275725260205
exact_doy,soft|loo_date_crop_1.00,1,249,0.06169762132208345,0.04309585488482575
exact_doy,uniform,1,249,0.07792389160161105,0.061256493704729256
private_random,hard,1,2476,0.07255007740894961,0.05004400637264162
private_random,hard|loo_date_crop_0.15,1,2476,0.07203324270488144,0.04963544602398315
private_random,hard|loo_date_crop_0.30,1,2476,0.07157044671269101,0.04927221521185718
private_random,hard|loo_date_crop_0.50,1,2476,0.07103925327928441,0.04883151904008531
private_random,hard|loo_date_crop_0.75,1,2476,0.07052628905465587,0.04840010052444206
private_random,hard|loo_date_crop_1.00,1,2476,0.07023888850254406,0.04810723485739233
private_random,lag,1,2476,0.06971101988759204,0.047797991814284485
private_random,oracle_true,1,2476,0.0684831330631161,0.046666954017163684
private_random,prod,1,2476,0.07148438359582146,0.04975418071939656
private_random,prod|loo_date_crop_0.15,1,2476,0.07095129220925862,0.04927983840574053
private_random,prod|loo_date_crop_0.30,1,2476,0.07047283944748269,0.048856269047298034
private_random,prod|loo_date_crop_0.50,1,2476,0.06992181603538264,0.04836141495664811
private_random,prod|loo_date_crop_0.75,1,2476,0.06938819541465457,0.04786881908149199
private_random,prod|loo_date_crop_1.00,1,2476,0.06908259530417087,0.04757572187574042
private_random,soft,1,2476,0.07148438359582146,0.04975418071939656
private_random,soft|loo_date_crop_0.15,1,2476,0.07095129220925862,0.04927983840574053
private_random,soft|loo_date_crop_0.30,1,2476,0.07047283944748269,0.048856269047298034
private_random,soft|loo_date_crop_0.50,1,2476,0.06992181603538264,0.04836141495664811
private_random,soft|loo_date_crop_0.75,1,2476,0.06938819541465457,0.04786881908149199
private_random,soft|loo_date_crop_1.00,1,2476,0.06908259530417087,0.04757572187574042
private_random,uniform,1,2476,0.0822942287962747,0.06273472444829288
