protocol,method,source,n,metric,mae
exact_hidden_doy,lag_oracle_source,all,1114,0.06109990711317618,0.04235913031615134
exact_hidden_doy,lag_soft,landsat,326,0.06294827799802517,0.04288547945837285
exact_hidden_doy,base_soft,landsat,326,0.06335261564420722,0.043726917299312884
exact_hidden_doy,base_oracle_source,all,1114,0.0647411888775918,0.044862392191595594
exact_hidden_doy,base_hard,landsat,326,0.06559172812444983,0.04579242078442217
exact_hidden_doy,lag_hard,landsat,326,0.06580446212320755,0.04507901275234108
exact_hidden_doy,lag_soft,all,1114,0.06760293250974742,0.04819262998273643
exact_hidden_doy,lag_soft,modis,343,0.06921429462663119,0.05294796277957043
exact_hidden_doy,lag_soft,s2,445,0.06960888827990516,0.04841521857066558
exact_hidden_doy,base_soft,s2,445,0.07051380466254101,0.049149060575724914
exact_hidden_doy,base_soft,all,1114,0.0705536548225406,0.050599956125115024
exact_hidden_doy,lag_hard,all,1114,0.07057693351327578,0.04896652482426441
exact_hidden_doy,lag_hard,s2,445,0.07173943955723418,0.0469611602786713
exact_hidden_doy,base_hard,s2,445,0.07256081732714978,0.04801084271943073
exact_hidden_doy,base_hard,all,1114,0.07266914758080449,0.0512581138754617
exact_hidden_doy,lag_hard,modis,343,0.07338309102904954,0.05526307339054996
exact_hidden_doy,base_soft,modis,343,0.0768217694552622,0.05901470591138351
exact_hidden_doy,base_hard,modis,343,0.07893825433328551,0.060665844523020485
exact_hidden_doy,base_route_accuracy,all,1114,0.8098916519535828,0.4576186498956015
exact_hidden_doy,lag_route_accuracy,all,1114,0.8098916519535828,0.4576186498956015
private_2025_date,lag_soft,modis,326,0.06834688421532417,0.054077567381341965
private_2025_date,lag_oracle_source,all,2775,0.06970512940574522,0.03917326362926395
private_2025_date,base_oracle_source,all,2775,0.07163856369733142,0.04147726103889776
private_2025_date,lag_soft,s2,1808,0.0718197087744822,0.042825966444340176
private_2025_date,lag_hard,s2,1808,0.07220523836279269,0.04245740501703093
private_2025_date,lag_soft,all,2775,0.07260104118986696,0.042947312202027986
private_2025_date,base_soft,s2,1808,0.07289857662698804,0.04484799111980599
private_2025_date,base_hard,s2,1808,0.07304051031547935,0.0443193583974653
private_2025_date,base_soft,all,2775,0.07433804596586452,0.04490840888223543
private_2025_date,lag_hard,all,2775,0.07453110713411837,0.04390010388234607
private_2025_date,base_hard,all,2775,0.07563958103365033,0.045510016603009434
private_2025_date,base_soft,modis,326,0.0762719841584085,0.06085012687190039
private_2025_date,lag_soft,landsat,641,0.0767733078957394,0.03762895017619835
private_2025_date,lag_hard,modis,326,0.07693386561880018,0.06070990795586921
private_2025_date,base_soft,landsat,641,0.07730339203297462,0.036971178382768394
private_2025_date,lag_hard,landsat,641,0.07957659862195775,0.03942023402356483
private_2025_date,base_hard,landsat,641,0.0798405241670516,0.0387082048298083
private_2025_date,base_hard,modis,326,0.08111846413129278,0.06548753618045026
private_2025_date,base_route_accuracy,all,2775,0.8767891930325947,0.3103615101607099
private_2025_date,lag_route_accuracy,all,2775,0.8767891930325947,0.3103615101607099
private_like,lag_oracle_source,all,7932,0.07396494133927928,0.04636587417323042
private_like,lag_soft,s2,3523,0.07537307725645326,0.04649053178583637
private_like,lag_soft,modis,1347,0.07553062881907657,0.057247133476629734
private_like,lag_hard,s2,3523,0.07575954896649097,0.046233508919735336
private_like,base_oracle_source,all,7932,0.07620222448809022,0.04829874390535289
private_like,lag_soft,all,7932,0.07628657596842947,0.04898523629303034
private_like,base_soft,s2,3523,0.07686935432063952,0.04796003081481567
private_like,base_hard,s2,3523,0.07722847169460766,0.04757293558546149
private_like,lag_soft,landsat,3062,0.07765002944272857,0.048221052254015295
private_like,lag_hard,all,7932,0.07777683572479484,0.05000149673780853
private_like,base_soft,all,7932,0.07857571811320666,0.050955865207190885
private_like,lag_hard,modis,1347,0.0788312378158557,0.05970150437237019
private_like,base_soft,modis,1347,0.07954542836341755,0.06095452162938031
private_like,lag_hard,landsat,3062,0.07957985247016923,0.050069658331315166
private_like,base_hard,all,7932,0.07976420562473947,0.05175890512471553
private_like,base_soft,landsat,3062,0.08007416271253384,0.050004243510146054
private_like,base_hard,modis,1347,0.08172936036569241,0.06297051184953853
private_like,base_hard,landsat,3062,0.08173582820201006,0.05164301238417191
private_like,base_route_accuracy,all,7932,0.8768299053799556,0.28943935928740927
private_like,lag_route_accuracy,all,7932,0.8768299053799556,0.28943935928740927
