protocol,partition,method,source,n,rmse,mae
exact_hidden_doy,exact2019,base_soft,all,249,0.06504498648921714,0.04715896372924984
exact_hidden_doy,exact2019,base_soft,s2,120,0.06726009888607969,0.04592066790440192
exact_hidden_doy,exact2019,base_soft,landsat,73,0.06176545596385216,0.04506109026055425
exact_hidden_doy,exact2019,base_soft,modis,56,0.06438143659049815,0.05254718269704496
exact_hidden_doy,exact2019,base_hard,all,249,0.065521769696119,0.046374229593686
exact_hidden_doy,exact2019,base_hard,s2,120,0.06879211450051831,0.04548155760233259
exact_hidden_doy,exact2019,base_hard,landsat,73,0.06447744731287422,0.0475573851811743
exact_hidden_doy,exact2019,base_hard,modis,56,0.05940387841392932,0.04674477032718179
exact_hidden_doy,exact2019,base_oracle_source,all,249,0.059959462926262405,0.0426563174452705
exact_hidden_doy,exact2019,base_route_accuracy,all,249,0.8232931726907631,0.4341037981034306
exact_hidden_doy,exact2019,lag_soft,all,249,0.06450731545469175,0.045785213056398634
exact_hidden_doy,exact2019,lag_soft,s2,120,0.0681832359252576,0.04630180721329884
exact_hidden_doy,exact2019,lag_soft,landsat,73,0.06326139882657703,0.045077253404822604
exact_hidden_doy,exact2019,lag_soft,modis,56,0.05764987753173307,0.0456011015517027
exact_hidden_doy,exact2019,lag_hard,all,249,0.06637196445604855,0.04616875077902001
exact_hidden_doy,exact2019,lag_hard,s2,120,0.07044324584433653,0.045981449814327155
exact_hidden_doy,exact2019,lag_hard,landsat,73,0.06546784787924499,0.048165962603882666
exact_hidden_doy,exact2019,lag_hard,modis,56,0.05802604369546591,0.04396660171738017
exact_hidden_doy,exact2019,lag_oracle_source,all,249,0.0602663835030423,0.041768685546332646
exact_hidden_doy,exact2019,lag_route_accuracy,all,249,0.8232931726907631,0.4341037981034306
exact_hidden_doy,exact2020,base_soft,all,222,0.0642742645224812,0.046779972198366486
exact_hidden_doy,exact2020,base_soft,s2,128,0.06140817993502565,0.04235231826670485
exact_hidden_doy,exact2020,base_soft,landsat,25,0.04668789669349046,0.035252078190655144
exact_hidden_doy,exact2020,base_soft,modis,69,0.07420542806449365,0.05917036427728641
exact_hidden_doy,exact2020,base_hard,all,222,0.06765361037491867,0.049796252402680326
exact_hidden_doy,exact2020,base_hard,s2,128,0.06037393082892075,0.04175997650909649
exact_hidden_doy,exact2020,base_hard,landsat,25,0.05192094022962569,0.03942285160194653
exact_hidden_doy,exact2020,base_hard,modis,69,0.08359151588118384,0.06846260507510171
exact_hidden_doy,exact2020,base_oracle_source,all,222,0.05935583503213202,0.04332233487735351
exact_hidden_doy,exact2020,base_route_accuracy,all,222,0.8108108108108109,0.4078742845938171
exact_hidden_doy,exact2020,lag_soft,all,222,0.062191369958472235,0.04561255110455665
exact_hidden_doy,exact2020,lag_soft,s2,128,0.06059825131405423,0.04229468653635534
exact_hidden_doy,exact2020,lag_soft,landsat,25,0.04444803125366392,0.03452761224650916
exact_hidden_doy,exact2020,lag_soft,modis,69,0.07011569356137336,0.05578371249848355
exact_hidden_doy,exact2020,lag_hard,all,222,0.06570762250363067,0.04826827746190971
exact_hidden_doy,exact2020,lag_hard,s2,128,0.05870957123172428,0.04113893002818752
exact_hidden_doy,exact2020,lag_hard,landsat,25,0.04960221190536542,0.03767512168061613
exact_hidden_doy,exact2020,lag_hard,modis,69,0.08127440558681408,0.0653318334916022
exact_hidden_doy,exact2020,lag_oracle_source,all,222,0.05723463020209015,0.04200592881360767
exact_hidden_doy,exact2020,lag_route_accuracy,all,222,0.8108108108108109,0.4078742845938171
exact_hidden_doy,exact2021,base_soft,all,130,0.09026033289207216,0.06715578488193086
exact_hidden_doy,exact2021,base_soft,s2,37,0.09866536904324819,0.07217253788219678
exact_hidden_doy,exact2021,base_soft,landsat,35,0.06171228260154848,0.04558618112920707
exact_hidden_doy,exact2021,base_soft,modis,58,0.09875228147201576,0.07697158264633591
exact_hidden_doy,exact2021,base_hard,all,130,0.08869038693399729,0.0657422626277341
exact_hidden_doy,exact2021,base_hard,s2,37,0.10148526839668728,0.07060307315602307
exact_hidden_doy,exact2021,base_hard,landsat,35,0.06535487352283366,0.05053381955957953
exact_hidden_doy,exact2021,base_hard,modis,58,0.09210295254042714,0.07181890948702233
exact_hidden_doy,exact2021,base_oracle_source,all,130,0.0841731015135971,0.060104449123899305
exact_hidden_doy,exact2021,base_route_accuracy,all,130,0.8153846153846154,0.4862353244400381
exact_hidden_doy,exact2021,lag_soft,all,130,0.08599740935703917,0.06327729176871567
exact_hidden_doy,exact2021,lag_soft,s2,37,0.09360742894916337,0.06988060822364785
exact_hidden_doy,exact2021,lag_soft,landsat,35,0.07016175567278438,0.04705777267994173
exact_hidden_doy,exact2021,lag_soft,modis,58,0.08953149875422683,0.06885247210103636
exact_hidden_doy,exact2021,lag_hard,all,130,0.0844567028953308,0.061797015641941795
exact_hidden_doy,exact2021,lag_hard,s2,37,0.09307557608508894,0.06754829296072104
exact_hidden_doy,exact2021,lag_hard,landsat,35,0.07554764360814509,0.05291549698616847
exact_hidden_doy,exact2021,lag_hard,modis,58,0.08376769544867702,0.06348763447223893
exact_hidden_doy,exact2021,lag_oracle_source,all,130,0.07679074465237502,0.05517146359180836
exact_hidden_doy,exact2021,lag_route_accuracy,all,130,0.8153846153846154,0.4862353244400381
