config,base,weight,n,rmse,base_rmse,coverage,wins,delta
n12_c40_r060_k1,base_local,-0.0500000000,10576.0000000000,0.0658181476,0.0657223353,0.3355711044,0.0000000000,0.0000958123
n12_c40_r060_k1,base_local,-0.0400000000,10576.0000000000,0.0657958178,0.0657223353,0.3355711044,0.0000000000,0.0000734825
n12_c40_r060_k1,base_local,-0.0300000000,10576.0000000000,0.0657750703,0.0657223353,0.3355711044,0.0000000000,0.0000527350
n12_c40_r060_k1,base_local,-0.0200000000,10576.0000000000,0.0657559064,0.0657223353,0.3355711044,0.0000000000,0.0000335711
n12_c40_r060_k1,base_local,-0.0100000000,10576.0000000000,0.0657383277,0.0657223353,0.3355711044,0.0000000000,0.0000159924
n12_c40_r060_k1,base_local,0.0000000000,10576.0000000000,0.0657223353,0.0657223353,0.3355711044,0.0000000000,0.0000000000
n12_c40_r060_k1,base_local,0.0100000000,10576.0000000000,0.0657079304,0.0657223353,0.3355711044,3.0000000000,-0.0000144048
n12_c40_r060_k1,base_local,0.0200000000,10576.0000000000,0.0656951142,0.0657223353,0.3355711044,3.0000000000,-0.0000272211
n12_c40_r060_k1,base_local,0.0300000000,10576.0000000000,0.0656838874,0.0657223353,0.3355711044,3.0000000000,-0.0000384478
n12_c40_r060_k1,base_local,0.0400000000,10576.0000000000,0.0656742510,0.0657223353,0.3355711044,3.0000000000,-0.0000480843
n12_c40_r060_k1,base_local,0.0500000000,10576.0000000000,0.0656662056,0.0657223353,0.3355711044,3.0000000000,-0.0000561297
n12_c40_r060_k1,base_local,0.0600000000,10576.0000000000,0.0656597518,0.0657223353,0.3355711044,3.0000000000,-0.0000625835
n12_c40_r060_k1,base_local,0.0700000000,10576.0000000000,0.0656548901,0.0657223353,0.3355711044,3.0000000000,-0.0000674452
n12_c40_r060_k1,base_local,0.0800000000,10576.0000000000,0.0656516208,0.0657223353,0.3355711044,3.0000000000,-0.0000707145
n12_c40_r060_k1,base_local,0.0900000000,10576.0000000000,0.0656499442,0.0657223353,0.3355711044,2.0000000000,-0.0000723911
n12_c40_r060_k1,base_local,0.1000000000,10576.0000000000,0.0656498604,0.0657223353,0.3355711044,2.0000000000,-0.0000724749
n12_c40_r060_k1,base_local,0.1100000000,10576.0000000000,0.0656513693,0.0657223353,0.3355711044,2.0000000000,-0.0000709660
n12_c40_r060_k1,base_local,0.1200000000,10576.0000000000,0.0656544710,0.0657223353,0.3355711044,2.0000000000,-0.0000678643
n12_c40_r060_k1,base_local,0.1300000000,10576.0000000000,0.0656591651,0.0657223353,0.3355711044,2.0000000000,-0.0000631702
n12_c40_r060_k1,base_local,0.1400000000,10576.0000000000,0.0656654513,0.0657223353,0.3355711044,2.0000000000,-0.0000568840
n12_c40_r060_k1,base_local,0.1500000000,10576.0000000000,0.0656733292,0.0657223353,0.3355711044,2.0000000000,-0.0000490061
n12_c40_r060_k1,base_local,0.1600000000,10576.0000000000,0.0656827982,0.0657223353,0.3355711044,2.0000000000,-0.0000395371
n12_c40_r060_k1,base_local,0.1700000000,10576.0000000000,0.0656938576,0.0657223353,0.3355711044,2.0000000000,-0.0000284777
n12_c40_r060_k1,base_local,0.1800000000,10576.0000000000,0.0657065066,0.0657223353,0.3355711044,2.0000000000,-0.0000158287
n12_c40_r060_k1,base_local,0.1900000000,10576.0000000000,0.0657207443,0.0657223353,0.3355711044,2.0000000000,-0.0000015910
n12_c40_r060_k1,base_local,0.2000000000,10576.0000000000,0.0657365696,0.0657223353,0.3355711044,2.0000000000,0.0000142343
n12_c40_r060_k1,base_local,0.2100000000,10576.0000000000,0.0657539814,0.0657223353,0.3355711044,2.0000000000,0.0000316461
n12_c40_r060_k1,base_local,0.2200000000,10576.0000000000,0.0657729785,0.0657223353,0.3355711044,2.0000000000,0.0000506432
n12_c40_r060_k1,base_local,0.2300000000,10576.0000000000,0.0657935594,0.0657223353,0.3355711044,2.0000000000,0.0000712242
n12_c40_r060_k1,base_local,0.2400000000,10576.0000000000,0.0658157228,0.0657223353,0.3355711044,2.0000000000,0.0000933875
n12_c40_r060_k1,base_local,0.2500000000,10576.0000000000,0.0658394669,0.0657223353,0.3355711044,2.0000000000,0.0001171316
n12_c40_r060_k1,base_local,0.2600000000,10576.0000000000,0.0658647900,0.0657223353,0.3355711044,2.0000000000,0.0001424548
n12_c40_r060_k1,base_local,0.2700000000,10576.0000000000,0.0658916905,0.0657223353,0.3355711044,2.0000000000,0.0001693552
n12_c40_r060_k1,base_local,0.2800000000,10576.0000000000,0.0659201662,0.0657223353,0.3355711044,2.0000000000,0.0001978310
n12_c40_r060_k1,base_local,0.2900000000,10576.0000000000,0.0659502153,0.0657223353,0.3355711044,2.0000000000,0.0002278800
n12_c40_r060_k1,base_local,0.3000000000,10576.0000000000,0.0659818355,0.0657223353,0.3355711044,2.0000000000,0.0002595002
n12_c40_r060_k1,route_base,-0.0500000000,10576.0000000000,0.0667312400,0.0666343245,0.3355711044,0.0000000000,0.0000969155
n12_c40_r060_k1,route_base,-0.0400000000,10576.0000000000,0.0667088126,0.0666343245,0.3355711044,0.0000000000,0.0000744881
n12_c40_r060_k1,route_base,-0.0300000000,10576.0000000000,0.0666879059,0.0666343245,0.3355711044,0.0000000000,0.0000535814
n12_c40_r060_k1,route_base,-0.0200000000,10576.0000000000,0.0666685215,0.0666343245,0.3355711044,0.0000000000,0.0000341970
n12_c40_r060_k1,route_base,-0.0100000000,10576.0000000000,0.0666506606,0.0666343245,0.3355711044,0.0000000000,0.0000163361
n12_c40_r060_k1,route_base,0.0000000000,10576.0000000000,0.0666343245,0.0666343245,0.3355711044,0.0000000000,0.0000000000
n12_c40_r060_k1,route_base,0.0100000000,10576.0000000000,0.0666195142,0.0666343245,0.3355711044,3.0000000000,-0.0000148102
n12_c40_r060_k1,route_base,0.0200000000,10576.0000000000,0.0666062309,0.0666343245,0.3355711044,3.0000000000,-0.0000280936
n12_c40_r060_k1,route_base,0.0300000000,10576.0000000000,0.0665944754,0.0666343245,0.3355711044,3.0000000000,-0.0000398491
n12_c40_r060_k1,route_base,0.0400000000,10576.0000000000,0.0665842485,0.0666343245,0.3355711044,3.0000000000,-0.0000500760
n12_c40_r060_k1,route_base,0.0500000000,10576.0000000000,0.0665755509,0.0666343245,0.3355711044,3.0000000000,-0.0000587735
n12_c40_r060_k1,route_base,0.0600000000,10576.0000000000,0.0665683833,0.0666343245,0.3355711044,3.0000000000,-0.0000659412
n12_c40_r060_k1,route_base,0.0700000000,10576.0000000000,0.0665627461,0.0666343245,0.3355711044,3.0000000000,-0.0000715784
n12_c40_r060_k1,route_base,0.0800000000,10576.0000000000,0.0665586397,0.0666343245,0.3355711044,3.0000000000,-0.0000756847
n12_c40_r060_k1,route_base,0.0900000000,10576.0000000000,0.0665560644,0.0666343245,0.3355711044,3.0000000000,-0.0000782600
n12_c40_r060_k1,route_base,0.1000000000,10576.0000000000,0.0665550204,0.0666343245,0.3355711044,2.0000000000,-0.0000793040
n12_c40_r060_k1,route_base,0.1100000000,10576.0000000000,0.0665555078,0.0666343245,0.3355711044,2.0000000000,-0.0000788167
n12_c40_r060_k1,route_base,0.1200000000,10576.0000000000,0.0665575264,0.0666343245,0.3355711044,2.0000000000,-0.0000767980
n12_c40_r060_k1,route_base,0.1300000000,10576.0000000000,0.0665610762,0.0666343245,0.3355711044,2.0000000000,-0.0000732482
n12_c40_r060_k1,route_base,0.1400000000,10576.0000000000,0.0665661570,0.0666343245,0.3355711044,2.0000000000,-0.0000681675
n12_c40_r060_k1,route_base,0.1500000000,10576.0000000000,0.0665727683,0.0666343245,0.3355711044,2.0000000000,-0.0000615561
n12_c40_r060_k1,route_base,0.1600000000,10576.0000000000,0.0665809098,0.0666343245,0.3355711044,2.0000000000,-0.0000534147
n12_c40_r060_k1,route_base,0.1700000000,10576.0000000000,0.0665905808,0.0666343245,0.3355711044,2.0000000000,-0.0000437436
n12_c40_r060_k1,route_base,0.1800000000,10576.0000000000,0.0666017807,0.0666343245,0.3355711044,2.0000000000,-0.0000325437
n12_c40_r060_k1,route_base,0.1900000000,10576.0000000000,0.0666145088,0.0666343245,0.3355711044,2.0000000000,-0.0000198157
n12_c40_r060_k1,route_base,0.2000000000,10576.0000000000,0.0666287641,0.0666343245,0.3355711044,2.0000000000,-0.0000055604
n12_c40_r060_k1,route_base,0.2100000000,10576.0000000000,0.0666445456,0.0666343245,0.3355711044,2.0000000000,0.0000102212
n12_c40_r060_k1,route_base,0.2200000000,10576.0000000000,0.0666618524,0.0666343245,0.3355711044,2.0000000000,0.0000275279
n12_c40_r060_k1,route_base,0.2300000000,10576.0000000000,0.0666806831,0.0666343245,0.3355711044,2.0000000000,0.0000463587
n12_c40_r060_k1,route_base,0.2400000000,10576.0000000000,0.0667010366,0.0666343245,0.3355711044,2.0000000000,0.0000667121
n12_c40_r060_k1,route_base,0.2500000000,10576.0000000000,0.0667229113,0.0666343245,0.3355711044,2.0000000000,0.0000885869
n12_c40_r060_k1,route_base,0.2600000000,10576.0000000000,0.0667463059,0.0666343245,0.3355711044,2.0000000000,0.0001119815
n12_c40_r060_k1,route_base,0.2700000000,10576.0000000000,0.0667712187,0.0666343245,0.3355711044,2.0000000000,0.0001368943
n12_c40_r060_k1,route_base,0.2800000000,10576.0000000000,0.0667976480,0.0666343245,0.3355711044,2.0000000000,0.0001633236
n12_c40_r060_k1,route_base,0.2900000000,10576.0000000000,0.0668255921,0.0666343245,0.3355711044,2.0000000000,0.0001912676
n12_c40_r060_k1,route_base,0.3000000000,10576.0000000000,0.0668550489,0.0666343245,0.3355711044,2.0000000000,0.0002207245
n12_c40_r060_k2,base_local,-0.0500000000,10576.0000000000,0.0658129686,0.0657223353,0.3355711044,0.0000000000,0.0000906334
n12_c40_r060_k2,base_local,-0.0400000000,10576.0000000000,0.0657921563,0.0657223353,0.3355711044,0.0000000000,0.0000698210
n12_c40_r060_k2,base_local,-0.0300000000,10576.0000000000,0.0657726856,0.0657223353,0.3355711044,0.0000000000,0.0000503503
n12_c40_r060_k2,base_local,-0.0200000000,10576.0000000000,0.0657545578,0.0657223353,0.3355711044,0.0000000000,0.0000322225
n12_c40_r060_k2,base_local,-0.0100000000,10576.0000000000,0.0657377740,0.0657223353,0.3355711044,0.0000000000,0.0000154387
n12_c40_r060_k2,base_local,0.0000000000,10576.0000000000,0.0657223353,0.0657223353,0.3355711044,0.0000000000,0.0000000000
