config,base,held_seed,selected_weight,test_rmse,test_base,delta
n8_c40_r060_k1,route_base,0,0.0500000000,0.0701893034,0.0703032685,-0.0001139651
n8_c40_r060_k1,route_base,1,0.0600000000,0.0626622563,0.0627891573,-0.0001269010
n8_c40_r060_k1,route_base,2,0.0900000000,0.0651375885,0.0651086475,0.0000289410
n8_c40_r060_k1,route_base,70404,0.1100000000,0.0682322446,0.0680908876,0.0001413569
n8_c40_r060_k1,base_local,0,0.0500000000,0.0694816170,0.0695830376,-0.0001014206
n8_c40_r060_k1,base_local,1,0.0500000000,0.0616039667,0.0617229811,-0.0001190145
n8_c40_r060_k1,base_local,2,0.0900000000,0.0642234728,0.0641796998,0.0000437729
n8_c40_r060_k1,base_local,70404,0.1000000000,0.0672644604,0.0671352518,0.0001292086
n8_c40_r060_k2,route_base,0,0.0600000000,0.0701731663,0.0703032685,-0.0001301022
n8_c40_r060_k2,route_base,1,0.0700000000,0.0626570007,0.0627891573,-0.0001321565
n8_c40_r060_k2,route_base,2,0.1100000000,0.0651601289,0.0651086475,0.0000514814
n8_c40_r060_k2,route_base,70404,0.1200000000,0.0682188849,0.0680908876,0.0001279973
n8_c40_r060_k2,base_local,0,0.0500000000,0.0694781805,0.0695830376,-0.0001048570
n8_c40_r060_k2,base_local,1,0.0600000000,0.0616000881,0.0617229811,-0.0001228930
n8_c40_r060_k2,base_local,2,0.1000000000,0.0642319254,0.0641796998,0.0000522255
n8_c40_r060_k2,base_local,70404,0.1200000000,0.0672765527,0.0671352518,0.0001413009
n8_c40_r060_k3,route_base,0,0.0600000000,0.0701801478,0.0703032685,-0.0001231207
n8_c40_r060_k3,route_base,1,0.0600000000,0.0626687114,0.0627891573,-0.0001204459
n8_c40_r060_k3,route_base,2,0.1100000000,0.0651356325,0.0651086475,0.0000269850
n8_c40_r060_k3,route_base,70404,0.1300000000,0.0682605458,0.0680908876,0.0001696582
n8_c40_r060_k3,base_local,0,0.0500000000,0.0694827694,0.0695830376,-0.0001002682
n8_c40_r060_k3,base_local,1,0.0600000000,0.0615985317,0.0617229811,-0.0001244495
n8_c40_r060_k3,base_local,2,0.1000000000,0.0642122155,0.0641796998,0.0000325157
n8_c40_r060_k3,base_local,70404,0.1200000000,0.0672935153,0.0671352518,0.0001582635
n8_c40_r080_k1,route_base,0,0.0500000000,0.0702022710,0.0703032685,-0.0001009975
n8_c40_r080_k1,route_base,1,0.0500000000,0.0627174898,0.0627891573,-0.0000716675
n8_c40_r080_k1,route_base,2,0.0500000000,0.0650322300,0.0651086475,-0.0000764175
n8_c40_r080_k1,route_base,70404,0.0700000000,0.0681327917,0.0680908876,0.0000419041
n8_c40_r080_k1,base_local,0,0.0500000000,0.0694935707,0.0695830376,-0.0000894668
n8_c40_r080_k1,base_local,1,0.0500000000,0.0616157435,0.0617229811,-0.0001072376
n8_c40_r080_k1,base_local,2,0.0600000000,0.0641268902,0.0641796998,-0.0000528096
n8_c40_r080_k1,base_local,70404,0.0700000000,0.0671661405,0.0671352518,0.0000308886
n8_c40_r080_k2,route_base,0,0.0600000000,0.0701984137,0.0703032685,-0.0001048548
n8_c40_r080_k2,route_base,1,0.0700000000,0.0627229621,0.0627891573,-0.0000661951
n8_c40_r080_k2,route_base,2,0.0600000000,0.0649850447,0.0651086475,-0.0001236028
n8_c40_r080_k2,route_base,70404,0.0800000000,0.0681214098,0.0680908876,0.0000305222
n8_c40_r080_k2,base_local,0,0.0600000000,0.0694832827,0.0695830376,-0.0000997549
n8_c40_r080_k2,base_local,1,0.0600000000,0.0616269936,0.0617229811,-0.0000959876
n8_c40_r080_k2,base_local,2,0.0600000000,0.0640782295,0.0641796998,-0.0001014703
n8_c40_r080_k2,base_local,70404,0.0800000000,0.0671532962,0.0671352518,0.0000180444
n8_c40_r080_k3,route_base,0,0.0600000000,0.0702108820,0.0703032685,-0.0000923865
n8_c40_r080_k3,route_base,1,0.0600000000,0.0627242066,0.0627891573,-0.0000649507
n8_c40_r080_k3,route_base,2,0.0500000000,0.0650005388,0.0651086475,-0.0001081087
n8_c40_r080_k3,route_base,70404,0.0800000000,0.0681347223,0.0680908876,0.0000438346
n8_c40_r080_k3,base_local,0,0.0600000000,0.0694932641,0.0695830376,-0.0000897734
n8_c40_r080_k3,base_local,1,0.0600000000,0.0616322078,0.0617229811,-0.0000907733
