config,loo_rmse,loo_delta,worst_delta,improved,base,weight,n,rmse,base_rmse,coverage,wins,delta
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.0900000000,10576.0000000000,0.0655612391,0.0657223353,0.5677950076,4.0000000000,-0.0001610962
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.0800000000,10576.0000000000,0.0655630820,0.0657223353,0.5677950076,4.0000000000,-0.0001592533
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.1000000000,10576.0000000000,0.0655634158,0.0657223353,0.5677950076,4.0000000000,-0.0001589195
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.0700000000,10576.0000000000,0.0655689442,0.0657223353,0.5677950076,4.0000000000,-0.0001533911
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.1100000000,10576.0000000000,0.0655696117,0.0657223353,0.5677950076,4.0000000000,-0.0001527236
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.0600000000,10576.0000000000,0.0655788245,0.0657223353,0.5677950076,4.0000000000,-0.0001435108
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.1200000000,10576.0000000000,0.0655798256,0.0657223353,0.5677950076,4.0000000000,-0.0001425097
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.0500000000,10576.0000000000,0.0655927212,0.0657223353,0.5677950076,4.0000000000,-0.0001296140
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.1300000000,10576.0000000000,0.0655940557,0.0657223353,0.5677950076,4.0000000000,-0.0001282796
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.0400000000,10576.0000000000,0.0656106318,0.0657223353,0.5677950076,4.0000000000,-0.0001117035
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.1400000000,10576.0000000000,0.0656122994,0.0657223353,0.5677950076,4.0000000000,-0.0001100359
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.0300000000,10576.0000000000,0.0656325528,0.0657223353,0.5677950076,4.0000000000,-0.0000897825
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.1500000000,10576.0000000000,0.0656345533,0.0657223353,0.5677950076,3.0000000000,-0.0000877820
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.0200000000,10576.0000000000,0.0656584804,0.0657223353,0.5677950076,4.0000000000,-0.0000638549
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.1600000000,10576.0000000000,0.0656608133,0.0657223353,0.5677950076,1.0000000000,-0.0000615220
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.0100000000,10576.0000000000,0.0656884097,0.0657223353,0.5677950076,4.0000000000,-0.0000339256
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.1700000000,10576.0000000000,0.0656910747,0.0657223353,0.5677950076,1.0000000000,-0.0000312606
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.1800000000,10576.0000000000,0.0657253319,0.0657223353,0.5677950076,1.0000000000,0.0000029966
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.1900000000,10576.0000000000,0.0657635786,0.0657223353,0.5677950076,1.0000000000,0.0000412433
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.2000000000,10576.0000000000,0.0658058080,0.0657223353,0.5677950076,1.0000000000,0.0000834727
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.2100000000,10576.0000000000,0.0658520123,0.0657223353,0.5677950076,1.0000000000,0.0001296770
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.2200000000,10576.0000000000,0.0659021832,0.0657223353,0.5677950076,1.0000000000,0.0001798479
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.2300000000,10576.0000000000,0.0659563116,0.0657223353,0.5677950076,1.0000000000,0.0002339763
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.2400000000,10576.0000000000,0.0660143878,0.0657223353,0.5677950076,1.0000000000,0.0002920525
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.2500000000,10576.0000000000,0.0660764014,0.0657223353,0.5677950076,1.0000000000,0.0003540662
n12_c80_r100_k2,0.0655103082,-0.0001449344,-0.0000940714,4,base_local,0.2600000000,10576.0000000000,0.0661423414,0.0657223353,0.5677950076,1.0000000000,0.0004200061
