anon_polygon_id,date,primary_ndvi_pred
AOI-0001,2010-08-29,0.21857728
AOI-0001,2010-10-25,0.17361176
AOI-0001,2011-06-13,0.65643652
AOI-0001,2011-09-18,0.27297822
AOI-0001,2011-09-26,0.26696871
AOI-0001,2011-09-30,0.38113148
AOI-0001,2012-05-24,0.71968517
AOI-0001,2012-07-09,0.26126584
AOI-0001,2012-07-11,0.34592878
AOI-0001,2012-08-10,0.20771392
AOI-0001,2012-08-12,0.28962007
AOI-0001,2012-10-15,0.35136750
AOI-0001,2013-05-01,0.81592743
AOI-0001,2013-07-12,0.32015125
AOI-0001,2013-09-30,0.53932933
AOI-0001,2014-04-18,0.24366350
AOI-0001,2014-05-25,0.65394593
AOI-0001,2014-06-26,0.77484322
AOI-0001,2014-07-15,0.77019797
AOI-0001,2014-07-28,0.62716064
AOI-0001,2014-08-09,0.45708911
AOI-0001,2014-08-13,0.41302393
AOI-0001,2014-10-03,0.20105971
AOI-0001,2014-10-16,0.33655963
AOI-0001,2015-04-13,0.45637193
AOI-0001,2015-08-11,0.22135227
AOI-0001,2015-08-12,0.21515429
AOI-0001,2015-08-27,0.20359041
AOI-0001,2015-09-20,0.18780463
AOI-0001,2015-09-28,0.19346067
AOI-0001,2016-06-27,0.30180909
AOI-0001,2016-07-04,0.30878482
AOI-0001,2016-07-20,0.30324020
AOI-0001,2016-07-27,0.35180356
AOI-0001,2016-08-29,0.30367270
AOI-0001,2016-08-30,0.28236736
AOI-0001,2016-09-15,0.32733321
AOI-0001,2016-09-29,0.60409166
AOI-0001,2017-05-12,0.74817348
AOI-0001,2017-06-29,0.52031912
AOI-0001,2017-07-12,0.44218179
AOI-0001,2017-08-09,0.30740019
AOI-0001,2017-08-29,0.26776703
AOI-0001,2017-09-08,0.20644309
AOI-0001,2017-09-14,0.29153965
AOI-0001,2018-04-05,0.46961840
AOI-0001,2018-04-23,0.76262732
AOI-0001,2018-05-01,0.80072941
AOI-0001,2018-06-08,0.61383173
AOI-0001,2018-07-12,0.32826545
AOI-0001,2018-09-28,0.17831896
AOI-0001,2018-10-13,0.18036947
AOI-0001,2019-05-11,0.50224498
AOI-0001,2019-05-31,0.70889392
AOI-0001,2019-06-04,0.69995427
AOI-0001,2019-06-05,0.68859286
AOI-0001,2019-06-25,0.36497007
AOI-0001,2019-07-12,0.46172129
AOI-0001,2019-07-22,0.34318171
AOI-0001,2019-07-29,0.45297295
AOI-0001,2019-08-30,0.26502808
AOI-0001,2019-09-07,0.25340650
AOI-0001,2019-09-08,0.22422374
AOI-0001,2019-09-18,0.15013510
AOI-0001,2020-04-03,0.54065919
AOI-0001,2020-04-26,0.69107663
AOI-0001,2020-05-30,0.82431783
AOI-0001,2020-06-09,0.75144278
AOI-0001,2020-07-14,0.17801337
AOI-0001,2020-07-23,0.21580372
AOI-0001,2020-07-27,0.27943639
AOI-0001,2020-08-08,0.19379629
AOI-0001,2020-09-01,0.30254892
AOI-0001,2020-09-02,0.28887371
AOI-0001,2020-09-12,0.24077248
AOI-0001,2020-09-22,0.22030051
AOI-0001,2020-09-29,0.26926936
AOI-0001,2020-10-11,0.20040481
AOI-0001,2020-10-12,0.15911171
AOI-0001,2020-10-19,0.18498211
AOI-0001,2021-05-15,0.49701815
AOI-0001,2021-05-20,0.46475234
AOI-0001,2021-06-10,0.56128689
AOI-0001,2021-07-02,0.61551868
AOI-0001,2021-07-24,0.64636083
AOI-0001,2021-09-17,0.24482021
AOI-0001,2022-04-25,0.61211031
AOI-0001,2022-06-03,0.79825985
AOI-0001,2022-09-02,0.23063494
AOI-0001,2022-09-30,0.28437147
AOI-0001,2022-10-01,0.23855217
AOI-0001,2022-10-17,0.23054907
AOI-0001,2023-05-25,0.80775781
AOI-0001,2023-06-23,0.77735855
AOI-0001,2023-07-15,0.27522285
AOI-0001,2023-07-29,0.19594272
AOI-0001,2023-08-03,0.19531696
AOI-0001,2023-08-08,0.22360975
AOI-0001,2023-08-13,0.26420508
AOI-0001,2023-08-17,0.26770435
AOI-0001,2023-08-28,0.22745041
AOI-0001,2023-08-29,0.30608417
AOI-0001,2023-09-12,0.23222473
AOI-0001,2024-04-06,0.70595942
AOI-0001,2024-05-24,0.75745038
AOI-0001,2024-06-01,0.74431473
AOI-0001,2024-06-03,0.70920621
AOI-0001,2024-06-09,0.56992337
AOI-0001,2024-06-13,0.52246527
AOI-0001,2024-06-17,0.49120306
AOI-0001,2024-06-23,0.34958406
AOI-0001,2024-06-25,0.37671659
AOI-0001,2024-07-03,0.30407421
AOI-0001,2024-09-11,0.16274334
AOI-0001,2024-09-13,0.19868821
AOI-0001,2024-09-16,0.16481254
AOI-0001,2024-09-29,0.20740664
AOI-0001,2025-04-23,0.46970584
AOI-0001,2025-05-03,0.37226882
AOI-0001,2025-06-03,0.43163968
AOI-0001,2025-06-27,0.64198697
AOI-0001,2025-07-05,0.57918545
AOI-0001,2025-07-12,0.47873383
AOI-0001,2025-07-13,0.48535625
AOI-0001,2025-07-23,0.40625922
AOI-0001,2025-07-28,0.36840448
AOI-0001,2025-07-29,0.38216407
AOI-0001,2025-08-02,0.32098676
AOI-0001,2025-10-28,0.22215248
AOI-0002,2025-05-03,0.85190410
AOI-0002,2025-06-03,0.59122869
AOI-0002,2025-06-26,0.40856966
AOI-0002,2025-07-29,0.25234594
AOI-0002,2025-08-02,0.16920131
AOI-0002,2025-08-13,0.24886876
AOI-0002,2025-08-19,0.15750719
AOI-0003,2025-04-01,0.55245417
AOI-0003,2025-04-18,0.82679028
AOI-0003,2025-04-19,0.84464604
AOI-0003,2025-05-06,0.82889589
AOI-0003,2025-06-04,0.76277945
AOI-0003,2025-06-13,0.57779949
AOI-0003,2025-07-07,0.19196161
AOI-0003,2025-07-13,0.17167255
AOI-0003,2025-07-15,0.17115636
AOI-0003,2025-08-04,0.17438096
AOI-0003,2025-08-07,0.18281748
AOI-0003,2025-08-14,0.19027232
AOI-0003,2025-08-22,0.16197706
AOI-0003,2025-08-23,0.20666801
AOI-0004,2025-04-23,0.65230848
AOI-0004,2025-05-04,0.62887323
AOI-0004,2025-05-24,0.66115724
AOI-0004,2025-05-25,0.69169938
AOI-0004,2025-06-30,0.61630922
AOI-0004,2025-07-12,0.50480484
AOI-0004,2025-07-23,0.47132674
AOI-0004,2025-08-02,0.42193172
AOI-0004,2025-09-14,0.38525852
AOI-0004,2025-09-23,0.36028014
AOI-0005,2025-05-01,0.64957601
AOI-0005,2025-05-03,0.65353059
AOI-0005,2025-05-14,0.57976091
AOI-0005,2025-06-11,0.62144117
AOI-0005,2025-07-21,0.41536950
AOI-0005,2025-08-17,0.32754213
AOI-0005,2025-09-01,0.24959883
AOI-0006,2025-04-01,0.20157435
AOI-0006,2025-05-09,0.36273464
AOI-0006,2025-05-25,0.56195277
AOI-0006,2025-07-28,0.41315421
AOI-0006,2025-08-09,0.34200836
AOI-0006,2025-08-22,0.32003435
AOI-0006,2025-08-30,0.26034831
AOI-0006,2025-09-07,0.22640027
AOI-0006,2025-10-28,0.23363081
AOI-0007,2025-04-01,0.24573794
AOI-0007,2025-04-18,0.28088379
AOI-0007,2025-04-29,0.40999633
AOI-0007,2025-05-01,0.42098033
AOI-0007,2025-06-26,0.32835157
AOI-0007,2025-07-28,0.15646404
AOI-0007,2025-08-13,0.23388825
AOI-0007,2025-08-14,0.15528226
AOI-0007,2025-08-16,0.15571369
AOI-0007,2025-09-11,0.15771759
AOI-0007,2025-09-26,0.17944428
AOI-0008,2025-04-17,0.83161109
AOI-0008,2025-04-24,0.83565717
AOI-0008,2025-05-19,0.87121214
AOI-0008,2025-07-08,0.20437877
AOI-0008,2025-07-15,0.18357986
AOI-0008,2025-07-17,0.18260634
AOI-0008,2025-08-13,0.24127039
AOI-0008,2025-09-01,0.14052549
AOI-0008,2025-09-30,0.25408668
AOI-0008,2025-10-16,0.24039766
AOI-0009,2025-04-01,0.51120254
AOI-0009,2025-04-23,0.81349611
AOI-0009,2025-05-04,0.85473905
AOI-0009,2025-06-30,0.19325298
