anon_polygon_id,date,primary_ndvi_pred
AOI-0001,2010-08-29,0.21986437
AOI-0001,2010-10-25,0.17322430
AOI-0001,2011-06-13,0.66467494
AOI-0001,2011-09-18,0.27446103
AOI-0001,2011-09-26,0.26652491
AOI-0001,2011-09-30,0.37993013
AOI-0001,2012-05-24,0.71680278
AOI-0001,2012-07-09,0.26594277
AOI-0001,2012-07-11,0.34265550
AOI-0001,2012-08-10,0.20635963
AOI-0001,2012-08-12,0.28445979
AOI-0001,2012-10-15,0.34716886
AOI-0001,2013-05-01,0.81413714
AOI-0001,2013-07-12,0.31836867
AOI-0001,2013-09-30,0.53010429
AOI-0001,2014-04-18,0.24038219
AOI-0001,2014-05-25,0.65031409
AOI-0001,2014-06-26,0.77331258
AOI-0001,2014-07-15,0.76830016
AOI-0001,2014-07-28,0.62243546
AOI-0001,2014-08-09,0.46277548
AOI-0001,2014-08-13,0.41494548
AOI-0001,2014-10-03,0.19844928
AOI-0001,2014-10-16,0.33451521
AOI-0001,2015-04-13,0.45443524
AOI-0001,2015-08-11,0.21586802
AOI-0001,2015-08-12,0.21206223
AOI-0001,2015-08-27,0.20101301
AOI-0001,2015-09-20,0.18786273
AOI-0001,2015-09-28,0.19038363
AOI-0001,2016-06-27,0.30604069
AOI-0001,2016-07-04,0.30865321
AOI-0001,2016-07-20,0.30236932
AOI-0001,2016-07-27,0.34654322
AOI-0001,2016-08-29,0.29574576
AOI-0001,2016-08-30,0.27955378
AOI-0001,2016-09-15,0.33589201
AOI-0001,2016-09-29,0.61230799
AOI-0001,2017-05-12,0.74335803
AOI-0001,2017-06-29,0.52575985
AOI-0001,2017-07-12,0.44181845
AOI-0001,2017-08-09,0.31112788
AOI-0001,2017-08-29,0.26721717
AOI-0001,2017-09-08,0.20283417
AOI-0001,2017-09-14,0.28658942
AOI-0001,2018-04-05,0.46970506
AOI-0001,2018-04-23,0.76186800
AOI-0001,2018-05-01,0.79628518
AOI-0001,2018-06-08,0.61186301
AOI-0001,2018-07-12,0.32330776
AOI-0001,2018-09-28,0.18306727
AOI-0001,2018-10-13,0.17832911
AOI-0001,2019-05-11,0.50313197
AOI-0001,2019-05-31,0.70818306
AOI-0001,2019-06-04,0.69894951
AOI-0001,2019-06-05,0.68977667
AOI-0001,2019-06-25,0.36905127
AOI-0001,2019-07-12,0.45617571
AOI-0001,2019-07-22,0.35149411
AOI-0001,2019-07-29,0.44931184
AOI-0001,2019-08-30,0.26327538
AOI-0001,2019-09-07,0.24912695
AOI-0001,2019-09-08,0.22019001
AOI-0001,2019-09-18,0.15088249
AOI-0001,2020-04-03,0.53488032
AOI-0001,2020-04-26,0.68243644
AOI-0001,2020-05-30,0.82850393
AOI-0001,2020-06-09,0.74951877
AOI-0001,2020-07-14,0.17689187
AOI-0001,2020-07-23,0.21123627
AOI-0001,2020-07-27,0.27581835
AOI-0001,2020-08-08,0.19228354
AOI-0001,2020-09-01,0.30529839
AOI-0001,2020-09-02,0.29154259
AOI-0001,2020-09-12,0.24322124
AOI-0001,2020-09-22,0.21878815
AOI-0001,2020-09-29,0.26840588
AOI-0001,2020-10-11,0.19860504
AOI-0001,2020-10-12,0.16071442
AOI-0001,2020-10-19,0.18393943
AOI-0001,2021-05-15,0.50288251
AOI-0001,2021-05-20,0.47073517
AOI-0001,2021-06-10,0.54806007
AOI-0001,2021-07-02,0.62276598
AOI-0001,2021-07-24,0.64371103
AOI-0001,2021-09-17,0.23934029
AOI-0001,2022-04-25,0.60489595
AOI-0001,2022-06-03,0.79581360
AOI-0001,2022-09-02,0.22583808
AOI-0001,2022-09-30,0.28350147
AOI-0001,2022-10-01,0.23158920
AOI-0001,2022-10-17,0.22778524
AOI-0001,2023-05-25,0.81482674
AOI-0001,2023-06-23,0.77578234
AOI-0001,2023-07-15,0.27712546
AOI-0001,2023-07-29,0.18718779
AOI-0001,2023-08-03,0.19551974
AOI-0001,2023-08-08,0.21820899
AOI-0001,2023-08-13,0.26193102
AOI-0001,2023-08-17,0.26529713
AOI-0001,2023-08-28,0.22846638
