anon_polygon_id,date,primary_ndvi_pred
AOI-0001,2010-08-29,0.21568600
AOI-0001,2010-10-25,0.17388041
AOI-0001,2011-06-13,0.63911816
AOI-0001,2011-09-18,0.27074513
AOI-0001,2011-09-26,0.26840275
AOI-0001,2011-09-30,0.38289503
AOI-0001,2012-05-24,0.72544996
AOI-0001,2012-07-09,0.25191197
AOI-0001,2012-07-11,0.35247535
AOI-0001,2012-08-10,0.21042250
AOI-0001,2012-08-12,0.29994062
AOI-0001,2012-10-15,0.35976477
AOI-0001,2013-05-01,0.81950799
AOI-0001,2013-07-12,0.32371641
AOI-0001,2013-09-30,0.55777942
AOI-0001,2014-04-18,0.25022612
AOI-0001,2014-05-25,0.66120962
AOI-0001,2014-06-26,0.77790450
AOI-0001,2014-07-15,0.77399358
AOI-0001,2014-07-28,0.63661100
AOI-0001,2014-08-09,0.44571638
AOI-0001,2014-08-13,0.40918084
AOI-0001,2014-10-03,0.20628056
AOI-0001,2014-10-16,0.34064849
AOI-0001,2015-04-13,0.46024531
AOI-0001,2015-08-11,0.23168976
AOI-0001,2015-08-12,0.22082844
AOI-0001,2015-08-27,0.20781974
AOI-0001,2015-09-20,0.18700695
AOI-0001,2015-09-28,0.19842123
AOI-0001,2016-06-27,0.29469752
AOI-0001,2016-07-04,0.30941865
AOI-0001,2016-07-20,0.30498195
AOI-0001,2016-07-27,0.36232426
AOI-0001,2016-08-29,0.31923811
AOI-0001,2016-08-30,0.28854115
AOI-0001,2016-09-15,0.31021559
AOI-0001,2016-09-29,0.58483774
AOI-0001,2017-05-12,0.75685828
AOI-0001,2017-06-29,0.51136351
AOI-0001,2017-07-12,0.44255425
AOI-0001,2017-08-09,0.29985959
AOI-0001,2017-08-29,0.26815526
AOI-0001,2017-09-08,0.21386030
AOI-0001,2017-09-14,0.30098067
AOI-0001,2018-04-05,0.47043694
AOI-0001,2018-04-23,0.76473456
AOI-0001,2018-05-01,0.80857569
AOI-0001,2018-06-08,0.61788536
AOI-0001,2018-07-12,0.33571502
AOI-0001,2018-09-28,0.16882233
AOI-0001,2018-10-13,0.18412032
AOI-0001,2019-05-11,0.50047099
AOI-0001,2019-05-31,0.71031563
AOI-0001,2019-06-04,0.70196379
AOI-0001,2019-06-05,0.68587922
AOI-0001,2019-06-25,0.35680766
AOI-0001,2019-07-12,0.47281243
AOI-0001,2019-07-22,0.32791067
AOI-0001,2019-07-29,0.46029518
AOI-0001,2019-08-30,0.26853347
AOI-0001,2019-09-07,0.26196560
AOI-0001,2019-09-08,0.23241236
AOI-0001,2019-09-18,0.14864034
AOI-0001,2020-04-03,0.55372830
AOI-0001,2020-04-26,0.70657200
AOI-0001,2020-05-30,0.81595954
AOI-0001,2020-06-09,0.75418383
AOI-0001,2020-07-14,0.18035316
AOI-0001,2020-07-23,0.22471074
AOI-0001,2020-07-27,0.28626035
AOI-0001,2020-08-08,0.19673193
AOI-0001,2020-09-01,0.29689525
AOI-0001,2020-09-02,0.28329551
AOI-0001,2020-09-12,0.23632399
AOI-0001,2020-09-22,0.22305486
AOI-0001,2020-09-29,0.27106598
AOI-0001,2020-10-11,0.20429960
AOI-0001,2020-10-12,0.15702108
AOI-0001,2020-10-19,0.18726664
AOI-0001,2021-05-15,0.48380962
AOI-0001,2021-05-20,0.45212178
AOI-0001,2021-06-10,0.58519112
AOI-0001,2021-07-02,0.60067687
AOI-0001,2021-07-24,0.65122324
AOI-0001,2021-09-17,0.25535006
AOI-0001,2022-04-25,0.62585177
AOI-0001,2022-06-03,0.80232354
AOI-0001,2022-09-02,0.23946961
AOI-0001,2022-09-30,0.28623477
AOI-0001,2022-10-01,0.25136841
AOI-0001,2022-10-17,0.23599885
AOI-0001,2023-05-25,0.79473346
AOI-0001,2023-06-23,0.77890296
AOI-0001,2023-07-15,0.27141762
AOI-0001,2023-07-29,0.21325428
AOI-0001,2023-08-03,0.19491140
AOI-0001,2023-08-08,0.23337274
AOI-0001,2023-08-13,0.26747174
AOI-0001,2023-08-17,0.27194915
AOI-0001,2023-08-28,0.22567211
AOI-0001,2023-08-29,0.30603881
AOI-0001,2023-09-12,0.23004806
AOI-0001,2024-04-06,0.70839172
AOI-0001,2024-05-24,0.75294873
AOI-0001,2024-06-01,0.74351002
AOI-0001,2024-06-03,0.70576182
AOI-0001,2024-06-09,0.56141001
AOI-0001,2024-06-13,0.50468339
AOI-0001,2024-06-17,0.47095317
AOI-0001,2024-06-23,0.32648152
AOI-0001,2024-06-25,0.36328744
AOI-0001,2024-07-03,0.29288286
AOI-0001,2024-09-11,0.16319791
AOI-0001,2024-09-13,0.19791979
AOI-0001,2024-09-16,0.16805748
AOI-0001,2024-09-29,0.20614693
AOI-0001,2025-04-23,0.47349650
AOI-0001,2025-05-03,0.36636588
AOI-0001,2025-06-03,0.42153375
AOI-0001,2025-06-27,0.64115592
AOI-0001,2025-07-05,0.57213268
AOI-0001,2025-07-12,0.47457064
AOI-0001,2025-07-13,0.48166203
AOI-0001,2025-07-23,0.40241735
AOI-0001,2025-07-28,0.36583256
AOI-0001,2025-07-29,0.37116563
