config,n,peer_n,coverage
n8_c40_r060_k1,3112,1115,0.3582904884
n8_c40_r060_k2,3112,1115,0.3582904884
n8_c40_r060_k3,3112,1115,0.3582904884
n8_c40_r080_k1,3112,1799,0.5780848329
n8_c40_r080_k2,3112,1799,0.5780848329
n8_c40_r080_k3,3112,1799,0.5780848329
n8_c40_r100_k1,3112,2388,0.7673521851
n8_c40_r100_k2,3112,2388,0.7673521851
n8_c40_r100_k3,3112,2388,0.7673521851
n8_c40_r125_k1,3112,2687,0.8634318766
n8_c40_r125_k2,3112,2687,0.8634318766
n8_c40_r125_k3,3112,2687,0.8634318766
n8_c60_r060_k1,3112,1081,0.3473650386
n8_c60_r060_k2,3112,1081,0.3473650386
n8_c60_r060_k3,3112,1081,0.3473650386
n8_c60_r080_k1,3112,1702,0.5469151671
n8_c60_r080_k2,3112,1702,0.5469151671
n8_c60_r080_k3,3112,1702,0.5469151671
n8_c60_r100_k1,3112,2232,0.7172236504
n8_c60_r100_k2,3112,2232,0.7172236504
n8_c60_r100_k3,3112,2232,0.7172236504
n8_c60_r125_k1,3112,2500,0.8033419023
n8_c60_r125_k2,3112,2500,0.8033419023
n8_c60_r125_k3,3112,2500,0.8033419023
n8_c80_r060_k1,3112,987,0.3171593830
n8_c80_r060_k2,3112,987,0.3171593830
n8_c80_r060_k3,3112,987,0.3171593830
n8_c80_r080_k1,3112,1501,0.4823264781
n8_c80_r080_k2,3112,1501,0.4823264781
n8_c80_r080_k3,3112,1501,0.4823264781
n8_c80_r100_k1,3112,1934,0.6214652956
n8_c80_r100_k2,3112,1934,0.6214652956
n8_c80_r100_k3,3112,1934,0.6214652956
n8_c80_r125_k1,3112,2114,0.6793059126
n8_c80_r125_k2,3112,2114,0.6793059126
n8_c80_r125_k3,3112,2114,0.6793059126
n12_c40_r060_k1,3112,1076,0.3457583548
n12_c40_r060_k2,3112,1076,0.3457583548
n12_c40_r060_k3,3112,1076,0.3457583548
n12_c40_r080_k1,3112,1750,0.5623393316
n12_c40_r080_k2,3112,1750,0.5623393316
n12_c40_r080_k3,3112,1750,0.5623393316
n12_c40_r100_k1,3112,2346,0.7538560411
n12_c40_r100_k2,3112,2346,0.7538560411
n12_c40_r100_k3,3112,2346,0.7538560411
n12_c40_r125_k1,3112,2655,0.8531491003
n12_c40_r125_k2,3112,2655,0.8531491003
n12_c40_r125_k3,3112,2655,0.8531491003
n12_c60_r060_k1,3112,1045,0.3357969152
n12_c60_r060_k2,3112,1045,0.3357969152
n12_c60_r060_k3,3112,1045,0.3357969152
n12_c60_r080_k1,3112,1652,0.5308483290
n12_c60_r080_k2,3112,1652,0.5308483290
n12_c60_r080_k3,3112,1652,0.5308483290
n12_c60_r100_k1,3112,2191,0.7040488432
n12_c60_r100_k2,3112,2191,0.7040488432
n12_c60_r100_k3,3112,2191,0.7040488432
n12_c60_r125_k1,3112,2462,0.7911311054
n12_c60_r125_k2,3112,2462,0.7911311054
n12_c60_r125_k3,3112,2462,0.7911311054
n12_c80_r060_k1,3112,951,0.3055912596
n12_c80_r060_k2,3112,951,0.3055912596
n12_c80_r060_k3,3112,951,0.3055912596
n12_c80_r080_k1,3112,1448,0.4652956298
n12_c80_r080_k2,3112,1448,0.4652956298
n12_c80_r080_k3,3112,1448,0.4652956298
n12_c80_r100_k1,3112,1886,0.6060411311
n12_c80_r100_k2,3112,1886,0.6060411311
n12_c80_r100_k3,3112,1886,0.6060411311
n12_c80_r125_k1,3112,2064,0.6632390746
n12_c80_r125_k2,3112,2064,0.6632390746
n12_c80_r125_k3,3112,2064,0.6632390746
n16_c40_r060_k1,3112,1044,0.3354755784
n16_c40_r060_k2,3112,1044,0.3354755784
n16_c40_r060_k3,3112,1044,0.3354755784
n16_c40_r080_k1,3112,1687,0.5420951157
n16_c40_r080_k2,3112,1687,0.5420951157
n16_c40_r080_k3,3112,1687,0.5420951157
n16_c40_r100_k1,3112,2269,0.7291131105
n16_c40_r100_k2,3112,2269,0.7291131105
n16_c40_r100_k3,3112,2269,0.7291131105
n16_c40_r125_k1,3112,2571,0.8261568123
n16_c40_r125_k2,3112,2571,0.8261568123
n16_c40_r125_k3,3112,2571,0.8261568123
n16_c60_r060_k1,3112,1014,0.3258354756
n16_c60_r060_k2,3112,1014,0.3258354756
n16_c60_r060_k3,3112,1014,0.3258354756
n16_c60_r080_k1,3112,1588,0.5102827763
n16_c60_r080_k2,3112,1588,0.5102827763
n16_c60_r080_k3,3112,1588,0.5102827763
n16_c60_r100_k1,3112,2109,0.6776992288
n16_c60_r100_k2,3112,2109,0.6776992288
n16_c60_r100_k3,3112,2109,0.6776992288
n16_c60_r125_k1,3112,2371,0.7618894602
n16_c60_r125_k2,3112,2371,0.7618894602
n16_c60_r125_k3,3112,2371,0.7618894602
n16_c80_r060_k1,3112,923,0.2965938303
n16_c80_r060_k2,3112,923,0.2965938303
n16_c80_r060_k3,3112,923,0.2965938303
n16_c80_r080_k1,3112,1391,0.4469794344
n16_c80_r080_k2,3112,1391,0.4469794344
n16_c80_r080_k3,3112,1391,0.4469794344
n16_c80_r100_k1,3112,1812,0.5822622108
n16_c80_r100_k2,3112,1812,0.5822622108
n16_c80_r100_k3,3112,1812,0.5822622108
n16_c80_r125_k1,3112,1983,0.6372107969
n16_c80_r125_k2,3112,1983,0.6372107969
n16_c80_r125_k3,3112,1983,0.6372107969
