scope,seed,config,weight,n,peer_n,coverage,rmse,base_rmse,delta_rmse
pooled,-1,n12_c40_r100_k2,0.0800000000,10576,7470,0.7063161876,0.0655482642,0.0657223353,-0.0001740711
pooled,-1,n12_c40_r100_k2,0.1000000000,10576,7470,0.7063161876,0.0655547963,0.0657223353,-0.0001675390
pooled,-1,n12_c40_r100_k1,0.0800000000,10576,5603,0.5297844175,0.0655676602,0.0657223353,-0.0001546751
pooled,-1,n12_c40_r100_k1,0.1000000000,10576,5603,0.5297844175,0.0655744079,0.0657223353,-0.0001479273
pooled,-1,n12_c40_r100_k2,0.0500000000,10576,7470,0.7063161876,0.0655760407,0.0657223353,-0.0001462946
pooled,-1,n12_c40_r100_k2,0.1200000000,10576,7470,0.7063161876,0.0655813638,0.0657223353,-0.0001409715
pooled,-1,n12_c40_r100_k1,0.0500000000,10576,5603,0.5297844175,0.0655916305,0.0657223353,-0.0001307048
pooled,-1,n12_c40_r100_k1,0.1200000000,10576,5603,0.5297844175,0.0655993338,0.0657223353,-0.0001230015
pooled,-1,n8_c40_r125_k1,0.0500000000,10576,6573,0.6215015129,0.0656144611,0.0657223353,-0.0001078742
pooled,-1,n12_c40_r100_k2,0.0300000000,10576,7470,0.7063161876,0.0656195834,0.0657223353,-0.0001027519
pooled,-1,n8_c40_r125_k1,0.0800000000,10576,6573,0.6215015129,0.0656218422,0.0657223353,-0.0001004930
pooled,-1,n12_c40_r100_k1,0.0300000000,10576,5603,0.5297844175,0.0656303193,0.0657223353,-0.0000920160
pooled,-1,n16_c60_r100_k1,0.0800000000,10576,4875,0.4609493192,0.0656378294,0.0657223353,-0.0000845059
pooled,-1,n8_c40_r125_k1,0.0300000000,10576,6573,0.6215015129,0.0656396016,0.0657223353,-0.0000827337
pooled,-1,n16_c60_r100_k1,0.0500000000,10576,4875,0.4609493192,0.0656411548,0.0657223353,-0.0000811804
pooled,-1,n8_c40_r125_k2,0.0500000000,10576,8783,0.8304652042,0.0656439484,0.0657223353,-0.0000783869
pooled,-1,n12_c40_r100_k2,0.0200000000,10576,7470,0.7063161876,0.0656488489,0.0657223353,-0.0000734863
pooled,-1,n16_c60_r100_k1,0.1000000000,10576,4875,0.4609493192,0.0656545333,0.0657223353,-0.0000678020
pooled,-1,n8_c40_r125_k2,0.0300000000,10576,8783,0.8304652042,0.0656554092,0.0657223353,-0.0000669261
pooled,-1,n16_c60_r125_k2,0.0500000000,10576,7263,0.6867435703,0.0656562453,0.0657223353,-0.0000660900
pooled,-1,n12_c40_r100_k1,0.0200000000,10576,5603,0.5297844175,0.0656564657,0.0657223353,-0.0000658696
pooled,-1,n8_c40_r125_k1,0.1000000000,10576,6573,0.6215015129,0.0656568164,0.0657223353,-0.0000655189
pooled,-1,n12_c40_r100_k2,0.1500000000,10576,7470,0.7063161876,0.0656587233,0.0657223353,-0.0000636120
pooled,-1,n8_c40_r125_k1,0.0200000000,10576,6573,0.6215015129,0.0656611823,0.0657223353,-0.0000611529
pooled,-1,n16_c60_r100_k1,0.0300000000,10576,4875,0.4609493192,0.0656622904,0.0657223353,-0.0000600448
pooled,-1,n16_c60_r125_k2,0.0300000000,10576,7263,0.6867435703,0.0656678210,0.0657223353,-0.0000545143
pooled,-1,n16_c60_r125_k1,0.0500000000,10576,5438,0.5141830560,0.0656681894,0.0657223353,-0.0000541459
