seed,config,weight,n,peer_n,coverage,rmse,base_rmse,delta_rmse
70404,n16_c60_r100_k1,0.0800000000,2644,1639,0.6198940998,0.0669716374,0.0671352518,-0.0001636144
70404,n16_c60_r100_k1,0.1000000000,2644,1639,0.6198940998,0.0669783438,0.0671352518,-0.0001569080
70404,n16_c80_r100_k1,0.0800000000,2644,1427,0.5397125567,0.0669880792,0.0671352518,-0.0001471726
70404,n16_c60_r125_k1,0.0800000000,2644,1825,0.6902420575,0.0669931721,0.0671352518,-0.0001420797
70404,n16_c80_r100_k1,0.1000000000,2644,1427,0.5397125567,0.0669936359,0.0671352518,-0.0001416159
70404,n16_c60_r100_k1,0.0500000000,2644,1639,0.6198940998,0.0669973176,0.0671352518,-0.0001379342
70404,n16_c60_r125_k1,0.0500000000,2644,1825,0.6902420575,0.0670012531,0.0671352518,-0.0001339987
70404,n8_c80_r100_k2,0.0800000000,2644,1604,0.6066565809,0.0670016292,0.0671352518,-0.0001336226
70404,n16_c60_r100_k1,0.1200000000,2644,1639,0.6198940998,0.0670041072,0.0671352518,-0.0001311446
70404,n16_c80_r125_k1,0.0800000000,2644,1563,0.5911497731,0.0670057018,0.0671352518,-0.0001295500
70404,n8_c80_r100_k3,0.0800000000,2644,1604,0.6066565809,0.0670083426,0.0671352518,-0.0001269092
70404,n16_c60_r100_k2,0.0800000000,2644,1639,0.6198940998,0.0670083620,0.0671352518,-0.0001268899
70404,n16_c80_r100_k2,0.0800000000,2644,1427,0.5397125567,0.0670085260,0.0671352518,-0.0001267258
70404,n8_c80_r100_k2,0.1000000000,2644,1604,0.6066565809,0.0670114585,0.0671352518,-0.0001237933
70404,n16_c80_r100_k1,0.0500000000,2644,1427,0.5397125567,0.0670115326,0.0671352518,-0.0001237192
70404,n16_c80_r100_k2,0.1000000000,2644,1427,0.5397125567,0.0670131325,0.0671352518,-0.0001221193
70404,n16_c40_r100_k1,0.0800000000,2644,1735,0.6562027231,0.0670134028,0.0671352518,-0.0001218490
70404,n16_c80_r125_k1,0.0500000000,2644,1563,0.5911497731,0.0670148542,0.0671352518,-0.0001203976
