base,peer_config,peer_weight,exact_rmse,exact_baseline_rmse,exact_delta_rmse,exact_coverage,exact_improved_runs,exact_runs,random_rmse,random_baseline_rmse,random_delta_rmse,random_coverage,random_improved_runs,random_runs,random2025_rmse,random2025_baseline_rmse,random2025_delta_rmse,random2025_coverage,random2025_improved_runs,random2025_runs,worst_delta,mean_delta,all_three_improve
hgb,n16_c60_r125_k2,0.15,0.06289948021116219,0.06340553155480409,-0.0005060513436419001,0.8994614003590664,6.0,6.0,0.06914174863133135,0.06982641959795943,-0.0006846709666280815,0.6855774079677257,3.0,3.0,0.06290596113115664,0.06339685499406654,-0.0004908938629099024,0.9338624338624338,3.0,3.0,-0.0004908938629099024,-0.0005605387243932947,True
hgb,n16_c60_r125_k3,0.15,0.06291165024371806,0.06340553155480409,-0.0004938813110860335,0.8994614003590664,6.0,6.0,0.06916102717449123,0.06982641959795943,-0.0006653924234682057,0.6855774079677257,3.0,3.0,0.06290602094559246,0.06339685499406654,-0.0004908340484740814,0.9338624338624338,3.0,3.0,-0.0004908340484740814,-0.0005500359276761069,True
hgb,n16_c60_r125_k2,0.1,0.0629458513544266,0.06340553155480409,-0.00045968020037749635,0.8994614003590664,6.0,6.0,0.06923643342986913,0.06982641959795943,-0.0005899861680903062,0.6855774079677257,3.0,3.0,0.06288782496139048,0.06339685499406654,-0.0005090300326760638,0.9338624338624338,3.0,3.0,-0.00045968020037749635,-0.0005195654670479555,True
hgb,n16_c80_r125_k2,0.1,0.06290146344248326,0.06340553155480409,-0.0005040681123208296,0.7100538599640933,6.0,6.0,0.06932308195965492,0.06982641959795943,-0.000503337638304513,0.5680786686838124,3.0,3.0,0.06294481020637627,0.06339685499406654,-0.0004520447876902728,0.8337742504409171,3.0,3.0,-0.0004520447876902728,-0.0004864835127718718,True
hgb,n16_c80_r125_k3,0.1,0.0628620610440443,0.06340553155480409,-0.0005434705107597859,0.7100538599640933,6.0,6.0,0.06933631919574121,0.06982641959795943,-0.0004901004022182243,0.5680786686838124,3.0,3.0,0.06294678797123916,0.06339685499406654,-0.0004500670228273773,0.8337742504409171,3.0,3.0,-0.0004500670228273773,-0.0004945459786017958,True
hgb,n16_c80_r125_k3,0.15,0.06272473345023986,0.06340553155480409,-0.0006807981045642286,0.7100538599640933,6.0,6.0,0.06924795108279401,0.06982641959795943,-0.0005784685151654229,0.5680786686838124,3.0,3.0,0.0629557099779555,0.06339685499406654,-0.00044114501611103307,0.8337742504409171,3.0,3.0,-0.00044114501611103307,-0.0005668038786135615,True
hgb,n16_c60_r125_k3,0.1,0.06296523155625595,0.06340553155480409,-0.00044029999854813817,0.8994614003590664,6.0,6.0,0.06925479116357279,0.06982641959795943,-0.0005716284343866423,0.6855774079677257,3.0,3.0,0.06290290644345141,0.06339685499406654,-0.0004939485506151309,0.9338624338624338,3.0,3.0,-0.00044029999854813817,-0.0005019589945166372,True
hgb,n16_c60_r100_k3,0.15,0.06297717471723965,0.06340553155480409,-0.0004283568375644392,0.7989228007181328,5.0,6.0,0.06916520193401007,0.06982641959795943,-0.0006612176639493594,0.6145990922844176,3.0,3.0,0.06295161875213971,0.06339685499406654,-0.0004452362419268274,0.8844797178130511,3.0,3.0,-0.0004283568375644392,-0.0005116035811468753,True
hgb,n16_c60_r080_k3,0.15,0.0629647364875795,0.06340553155480409,-0.0004407950672245947,0.5771992818671454,5.0,6.0,0.0693360108352063,0.06982641959795943,-0.0004904087627531362,0.4716338880484115,3.0,3.0,0.06297249099378702,0.06339685499406654,-0.0004243640002795229,0.7407407407407407,3.0,3.0,-0.0004243640002795229,-0.0004518559434190846,True
hgb,n16_c80_r125_k2,0.15,0.06279671221220234,0.06340553155480409,-0.0006088193426017491,0.7100538599640933,6.0,6.0,0.06923493838296736,0.06982641959795943,-0.0005914812149920706,0.5680786686838124,3.0,3.0,0.06297362780036182,0.06339685499406654,-0.0004232271937047172,0.8337742504409171,3.0,3.0,-0.0004232271937047172,-0.0005411759170995123,True
hgb,n12_c60_r125_k2,0.1,0.06294039503500821,0.06340553155480409,-0.0004651365197958779,0.8994614003590664,6.0,6.0,0.06916341341475137,0.06982641959795943,-0.0006630061832080675,0.7489914271306102,3.0,3.0,0.06297969516276346,0.06339685499406654,-0.0004171598313030822,0.9382716049382716,3.0,3.0,-0.0004171598313030822,-0.0005151008447690092,True
hgb,n12_c60_r125_k3,0.1,0.06296881677045187,0.06340553155480409,-0.00043671478435222677,0.8994614003590664,6.0,6.0,0.0691944426376183,0.06982641959795943,-0.0006319769603411324,0.7489914271306102,3.0,3.0,0.06298009396258519,0.06339685499406654,-0.0004167610314813469,0.9382716049382716,3.0,3.0,-0.0004167610314813469,-0.0004951509253915687,True
