scope,seed,config,weight,n,peer_n,coverage,rmse,base_rmse,delta_rmse
pooled,-1,n12_c40_r100_k2,0.0300000000,10576,7470,0.7063161876,0.0654662773,0.0655695943,-0.0001033170
seed0,0,n12_c40_r100_k2,0.0300000000,2644,1852,0.7004538578,0.0693437192,0.0694602890,-0.0001165698
seed1,1,n12_c40_r100_k2,0.0300000000,2644,1847,0.6985627837,0.0614753948,0.0615862385,-0.0001108437
seed2,2,n12_c40_r100_k2,0.0300000000,2644,1904,0.7201210287,0.0641266116,0.0642663645,-0.0001397529
seed70404,70404,n12_c40_r100_k2,0.0300000000,2644,1867,0.7061270802,0.0666583529,0.0667062567,-0.0000479038
pooled,-1,n12_c40_r100_k2,0.0500000000,10576,7470,0.7063161876,0.0654225114,0.0655695943,-0.0001470830
seed0,0,n12_c40_r100_k2,0.0500000000,2644,1852,0.7004538578,0.0692874527,0.0694602890,-0.0001728363
seed1,1,n12_c40_r100_k2,0.0500000000,2644,1847,0.6985627837,0.0614296577,0.0615862385,-0.0001565808
seed2,2,n12_c40_r100_k2,0.0500000000,2644,1904,0.7201210287,0.0640605565,0.0642663645,-0.0002058081
seed70404,70404,n12_c40_r100_k2,0.0500000000,2644,1867,0.7061270802,0.0666506649,0.0667062567,-0.0000555917
pooled,-1,n12_c40_r100_k2,0.0800000000,10576,7470,0.7063161876,0.0653946314,0.0655695943,-0.0001749629
seed0,0,n12_c40_r100_k2,0.0800000000,2644,1852,0.7004538578,0.0692353277,0.0694602890,-0.0002249613
seed1,1,n12_c40_r100_k2,0.0800000000,2644,1847,0.6985627837,0.0614034162,0.0615862385,-0.0001828223
seed2,2,n12_c40_r100_k2,0.0800000000,2644,1904,0.7201210287,0.0640023119,0.0642663645,-0.0002640526
seed70404,70404,n12_c40_r100_k2,0.0800000000,2644,1867,0.7061270802,0.0666755218,0.0667062567,-0.0000307349
pooled,-1,n12_c40_r100_k2,0.1000000000,10576,7470,0.7063161876,0.0654012491,0.0655695943,-0.0001683453
seed0,0,n12_c40_r100_k2,0.1000000000,2644,1852,0.7004538578,0.0692221321,0.0694602890,-0.0002381569
seed1,1,n12_c40_r100_k2,0.1000000000,2644,1847,0.6985627837,0.0614141926,0.0615862385,-0.0001720458
seed2,2,n12_c40_r100_k2,0.1000000000,2644,1904,0.7201210287,0.0639907655,0.0642663645,-0.0002755990
seed70404,70404,n12_c40_r100_k2,0.1000000000,2644,1867,0.7061270802,0.0667163311,0.0667062567,0.0000100744
pooled,-1,n12_c80_r100_k2,0.0300000000,10576,6005,0.5677950076,0.0654767463,0.0655695943,-0.0000928480
seed0,0,n12_c80_r100_k2,0.0300000000,2644,1489,0.5631618759,0.0693225619,0.0694602890,-0.0001377271
seed1,1,n12_c80_r100_k2,0.0300000000,2644,1495,0.5654311649,0.0615016525,0.0615862385,-0.0000845860
seed2,2,n12_c80_r100_k2,0.0300000000,2644,1489,0.5631618759,0.0641866565,0.0642663645,-0.0000797080
seed70404,70404,n12_c80_r100_k2,0.0300000000,2644,1532,0.5794251135,0.0666394741,0.0667062567,-0.0000667826
pooled,-1,n12_c80_r100_k2,0.0500000000,10576,6005,0.5677950076,0.0654350347,0.0655695943,-0.0001345596
seed0,0,n12_c80_r100_k2,0.0500000000,2644,1489,0.5631618759,0.0692485527,0.0694602890,-0.0002117363
seed1,1,n12_c80_r100_k2,0.0500000000,2644,1495,0.5654311649,0.0614684708,0.0615862385,-0.0001177677
seed2,2,n12_c80_r100_k2,0.0500000000,2644,1489,0.5631618759,0.0641533109,0.0642663645,-0.0001130536
seed70404,70404,n12_c80_r100_k2,0.0500000000,2644,1532,0.5794251135,0.0666152596,0.0667062567,-0.0000909971
pooled,-1,n12_c80_r100_k2,0.0800000000,10576,6005,0.5677950076,0.0654028252,0.0655695943,-0.0001667691
seed0,0,n12_c80_r100_k2,0.0800000000,2644,1489,0.5631618759,0.0691643666,0.0694602890,-0.0002959224
seed1,1,n12_c80_r100_k2,0.0800000000,2644,1495,0.5654311649,0.0614535868,0.0615862385,-0.0001326516
seed2,2,n12_c80_r100_k2,0.0800000000,2644,1489,0.5631618759,0.0641330441,0.0642663645,-0.0001333204
seed70404,70404,n12_c80_r100_k2,0.0800000000,2644,1532,0.5794251135,0.0666094430,0.0667062567,-0.0000968137
pooled,-1,n12_c80_r100_k2,0.1000000000,10576,6005,0.5677950076,0.0654016141,0.0655695943,-0.0001679802
seed0,0,n12_c80_r100_k2,0.1000000000,2644,1489,0.5631618759,0.0691261785,0.0694602890,-0.0003341105
seed1,1,n12_c80_r100_k2,0.1000000000,2644,1495,0.5654311649,0.0614669364,0.0615862385,-0.0001193021
seed2,2,n12_c80_r100_k2,0.1000000000,2644,1489,0.5631618759,0.0641393818,0.0642663645,-0.0001269827
seed70404,70404,n12_c80_r100_k2,0.1000000000,2644,1532,0.5794251135,0.0666259062,0.0667062567,-0.0000803504
pooled,-1,n16_c60_r125_k2,0.0300000000,10576,7263,0.6867435703,0.0655165367,0.0655695943,-0.0000530576
seed0,0,n16_c60_r125_k2,0.0300000000,2644,1839,0.6955370651,0.0694364453,0.0694602890,-0.0000238437
seed1,1,n16_c60_r125_k2,0.0300000000,2644,1830,0.6921331316,0.0615464237,0.0615862385,-0.0000398148
seed2,2,n16_c60_r125_k2,0.0300000000,2644,1769,0.6690620272,0.0641811081,0.0642663645,-0.0000852564
seed70404,70404,n16_c60_r125_k2,0.0300000000,2644,1825,0.6902420575,0.0666413497,0.0667062567,-0.0000649070
pooled,-1,n16_c60_r125_k2,0.0500000000,10576,7263,0.6867435703,0.0655060772,0.0655695943,-0.0000635171
seed0,0,n16_c60_r125_k2,0.0500000000,2644,1839,0.6955370651,0.0694409216,0.0694602890,-0.0000193674
