config,weight,slice,value,n,peer_cov,base_rmse,rmse,delta_rmse
n12_c40_r100_k2,0.0800000000,year,2010,296,0.4898648649,0.0508861612,0.0511638977,0.0002777366
n12_c40_r100_k2,0.0800000000,year,2011,328,0.5121951220,0.0722659909,0.0718287921,-0.0004371988
n12_c40_r100_k2,0.0800000000,year,2012,232,0.1896551724,0.0730587121,0.0728350655,-0.0002236466
n12_c40_r100_k2,0.0800000000,year,2013,312,0.3237179487,0.0720466045,0.0717851078,-0.0002614966
n12_c40_r100_k2,0.0800000000,year,2014,380,0.7526315789,0.0500493126,0.0490406478,-0.0010086648
n12_c40_r100_k2,0.0800000000,year,2015,368,0.6086956522,0.0985528554,0.0981765301,-0.0003763253
n12_c40_r100_k2,0.0800000000,year,2016,352,0.5198863636,0.0834401073,0.0832073178,-0.0002327895
n12_c40_r100_k2,0.0800000000,year,2017,560,0.7500000000,0.0531707155,0.0528495820,-0.0003211335
n12_c40_r100_k2,0.0800000000,year,2018,488,0.6331967213,0.0522673543,0.0519606692,-0.0003066851
n12_c40_r100_k2,0.0800000000,year,2019,740,0.4689189189,0.0748053385,0.0745279476,-0.0002773910
n12_c40_r100_k2,0.0800000000,year,2020,760,0.8592105263,0.0598294759,0.0594606161,-0.0003688597
n12_c40_r100_k2,0.0800000000,year,2021,644,0.4440993789,0.0769642650,0.0771512455,0.0001869806
n12_c40_r100_k2,0.0800000000,year,2022,660,0.7075757576,0.0661833869,0.0660720687,-0.0001113183
n12_c40_r100_k2,0.0800000000,year,2023,740,0.6783783784,0.0580966580,0.0573029558,-0.0007937022
n12_c40_r100_k2,0.0800000000,year,2024,692,0.8424855491,0.0473774853,0.0473431709,-0.0000343144
n12_c40_r100_k2,0.0800000000,year,2025,3024,0.9100529101,0.0646053141,0.0646771090,0.0000717949
n12_c40_r100_k2,0.0800000000,cohort,new,9068,0.6705999118,0.0678397704,0.0676439960,-0.0001957744
n12_c40_r100_k2,0.0800000000,cohort,shared,1508,0.9210875332,0.0497813064,0.0497692140,-0.0000120923
n12_c40_r100_k2,0.0800000000,true_src,landsat,4065,0.6317343173,0.0685315079,0.0683948499,-0.0001366580
n12_c40_r100_k2,0.0800000000,true_src,modis,1818,0.7029702970,0.0643268632,0.0637733747,-0.0005534885
n12_c40_r100_k2,0.0800000000,true_src,s2,4693,0.7722139356,0.0633866023,0.0633237540,-0.0000628483
n12_c80_r100_k2,0.1000000000,year,2010,296,0.3074324324,0.0508861612,0.0511869309,0.0003007697
n12_c80_r100_k2,0.1000000000,year,2011,328,0.3597560976,0.0722659909,0.0719737406,-0.0002922503
n12_c80_r100_k2,0.1000000000,year,2012,232,0.0862068966,0.0730587121,0.0728004833,-0.0002582288
n12_c80_r100_k2,0.1000000000,year,2013,312,0.1666666667,0.0720466045,0.0719154725,-0.0001311320
n12_c80_r100_k2,0.1000000000,year,2014,380,0.6894736842,0.0500493126,0.0491935653,-0.0008557473
n12_c80_r100_k2,0.1000000000,year,2015,368,0.3043478261,0.0985528554,0.0981980679,-0.0003547875
n12_c80_r100_k2,0.1000000000,year,2016,352,0.3323863636,0.0834401073,0.0829420261,-0.0004980813
n12_c80_r100_k2,0.1000000000,year,2017,560,0.6821428571,0.0531707155,0.0527992575,-0.0003714581
n12_c80_r100_k2,0.1000000000,year,2018,488,0.4713114754,0.0522673543,0.0520350490,-0.0002323053
n12_c80_r100_k2,0.1000000000,year,2019,740,0.3918918919,0.0748053385,0.0748308396,0.0000255010
n12_c80_r100_k2,0.1000000000,year,2020,760,0.7276315789,0.0598294759,0.0595464005,-0.0002830754
n12_c80_r100_k2,0.1000000000,year,2021,644,0.2003105590,0.0769642650,0.0771874941,0.0002232291
n12_c80_r100_k2,0.1000000000,year,2022,660,0.5727272727,0.0661833869,0.0660533589,-0.0001300280
n12_c80_r100_k2,0.1000000000,year,2023,740,0.4729729730,0.0580966580,0.0573363661,-0.0007602919
n12_c80_r100_k2,0.1000000000,year,2024,692,0.6112716763,0.0473774853,0.0469302612,-0.0004472241
n12_c80_r100_k2,0.1000000000,year,2025,3024,0.8260582011,0.0646053141,0.0646407891,0.0000354751
n12_c80_r100_k2,0.1000000000,cohort,new,9068,0.5210630790,0.0678397704,0.0676829760,-0.0001567944
n12_c80_r100_k2,0.1000000000,cohort,shared,1508,0.8488063660,0.0497813064,0.0495142377,-0.0002670686
n12_c80_r100_k2,0.1000000000,true_src,landsat,4065,0.4792127921,0.0685315079,0.0684588323,-0.0000726756
n12_c80_r100_k2,0.1000000000,true_src,modis,1818,0.5687568757,0.0643268632,0.0637189024,-0.0006079609
n12_c80_r100_k2,0.1000000000,true_src,s2,4693,0.6441508630,0.0633866023,0.0633013574,-0.0000852449
n16_c60_r125_k2,0.0500000000,year,2010,296,0.2466216216,0.0508861612,0.0510253692,0.0001392080
n16_c60_r125_k2,0.0500000000,year,2011,328,0.2195121951,0.0722659909,0.0721860468,-0.0000799441
n16_c60_r125_k2,0.0500000000,year,2012,232,0.0000000000,0.0730587121,0.0730587121,0.0000000000
n16_c60_r125_k2,0.0500000000,year,2013,312,0.2083333333,0.0720466045,0.0719041552,-0.0001424493
n16_c60_r125_k2,0.0500000000,year,2014,380,0.6973684211,0.0500493126,0.0494236149,-0.0006256977
n16_c60_r125_k2,0.0500000000,year,2015,368,0.4945652174,0.0985528554,0.0987534601,0.0002006048
n16_c60_r125_k2,0.0500000000,year,2016,352,0.2329545455,0.0834401073,0.0834624904,0.0000223830
n16_c60_r125_k2,0.0500000000,year,2017,560,0.7589285714,0.0531707155,0.0529084557,-0.0002622599
n16_c60_r125_k2,0.0500000000,year,2018,488,0.5922131148,0.0522673543,0.0521314846,-0.0001358697
n16_c60_r125_k2,0.0500000000,year,2019,740,0.6527027027,0.0748053385,0.0746853920,-0.0001199466
n16_c60_r125_k2,0.0500000000,year,2020,760,0.8671052632,0.0598294759,0.0596902292,-0.0001392467
n16_c60_r125_k2,0.0500000000,year,2021,644,0.4145962733,0.0769642650,0.0771309879,0.0001667230
n16_c60_r125_k2,0.0500000000,year,2022,660,0.7348484848,0.0661833869,0.0661789007,-0.0000044862
n16_c60_r125_k2,0.0500000000,year,2023,740,0.6824324324,0.0580966580,0.0578897937,-0.0002068643
n16_c60_r125_k2,0.0500000000,year,2024,692,0.8439306358,0.0473774853,0.0470639727,-0.0003135126
n16_c60_r125_k2,0.0500000000,year,2025,3024,0.9348544974,0.0646053141,0.0645956280,-0.0000096860
n16_c60_r125_k2,0.0500000000,cohort,new,9068,0.6407146008,0.0678397704,0.0677771079,-0.0000626625
n16_c60_r125_k2,0.0500000000,cohort,shared,1508,0.9635278515,0.0497813064,0.0497080520,-0.0000732543
n16_c60_r125_k2,0.0500000000,true_src,landsat,4065,0.5938499385,0.0685315079,0.0685172885,-0.0000142194
n16_c60_r125_k2,0.0500000000,true_src,modis,1818,0.6050605061,0.0643268632,0.0639954088,-0.0003314544
n16_c60_r125_k2,0.0500000000,true_src,s2,4693,0.7988493501,0.0633866023,0.0633818884,-0.0000047139
n12_c40_r100_k2,0.0800000000,distance_q,all,10576,0.7063161876,0.0655695943,0.0653946314,-0.0001749629
n12_c80_r100_k2,0.1000000000,distance_q,all,10576,0.5677950076,0.0655695943,0.0654016141,-0.0001679802
n16_c60_r125_k2,0.0500000000,distance_q,all,10576,0.6867435703,0.0655695943,0.0655060772,-0.0000635171
