protocol,year,kind,rmse,mae,n,train_n
exact,2019,default,0.06267411862623284,0.04352013718655786,249,10281
exact,2019,small,0.061758651751699235,0.043500775172128026,249,10281
exact,2019,smooth,0.06305887866455548,0.04468689947246034,249,10281
exact,2019,wide,0.06257540491647695,0.04275940789899092,249,10281
exact,2020,default,0.05718099440915075,0.03939339758637149,222,10274
exact,2020,small,0.057636617456833336,0.03987904700395283,222,10274
exact,2020,smooth,0.0583434805265825,0.0398859327139846,222,10274
exact,2020,wide,0.05785170376697661,0.04018796887443283,222,10274
exact,2021,default,0.08188431226725215,0.061132588438259944,130,10502
exact,2021,small,0.08354064970987292,0.0625519741145161,130,10502
exact,2021,smooth,0.08357244116395937,0.062146990873212044,130,10502
exact,2021,wide,0.0833766690538662,0.06093945323099655,130,10502
exact,2022,default,0.070940560499664,0.052385501590782035,192,10422
exact,2022,small,0.07219299253427491,0.053266364107906965,192,10422
exact,2022,smooth,0.07229480130485051,0.053516300650935454,192,10422
exact,2022,wide,0.07037980655174818,0.05148025667427087,192,10422
exact,2023,default,0.07404847593530652,0.04765637167963765,169,10367
exact,2023,small,0.07440479822925476,0.04747129013656371,169,10367
exact,2023,smooth,0.07491214244176209,0.04774706942572263,169,10367
exact,2023,wide,0.07253418433116061,0.0470767524349688,169,10367
exact,2024,default,0.05394061208337878,0.03824946342689753,152,10414
exact,2024,small,0.05354072608972395,0.03806811627525847,152,10414
exact,2024,smooth,0.05376399783340301,0.038303642111667396,152,10414
exact,2024,wide,0.053113625852531134,0.03709853102705381,152,10414
