case,method,n,rmse,mae
exact2019,linear8d1,249,0.07978534054831642,0.05496562506109951
exact2019,poly4d1,249,0.0746191301301957,0.05285638571585816
exact2019,poly8d1,249,0.07135153162120385,0.05115641635566163
exact2019,poly12d2,249,0.07152630773172651,0.05059634802557284
exact2019,poly16d3,249,0.07120477010615824,0.050469488512582365
exact2020,linear8d1,222,0.07305625572148189,0.04807643965784136
exact2020,poly4d1,222,0.07136154608611973,0.04705977740158074
exact2020,poly8d1,222,0.06784943078411111,0.045377642360540676
exact2020,poly12d2,222,0.06931555144467855,0.04574018082433078
exact2020,poly16d3,222,0.06853325316133614,0.04587250246964052
exact2021,linear8d1,130,0.11753157833233976,0.07801083169134466
exact2021,poly4d1,130,0.1067498239967275,0.07419655631948456
exact2021,poly8d1,130,0.10185184860786216,0.07373462455177393
exact2021,poly12d2,130,0.10198561407120747,0.07255965023693091
exact2021,poly16d3,130,0.1023461908284556,0.07271323056757203
exact2022,linear8d1,192,0.07975843603907758,0.05542709770499663
exact2022,poly4d1,192,0.075415806626105,0.05318930630719462
exact2022,poly8d1,192,0.07309847738891125,0.05239154613953023
exact2022,poly12d2,192,0.07287839705543407,0.051746496634039164
exact2022,poly16d3,192,0.07189434181918246,0.051420137584777904
exact2023,linear8d1,169,0.08927089175763828,0.05878742509864497
exact2023,poly4d1,169,0.08400009739840258,0.05696909376162935
exact2023,poly8d1,169,0.07966138188866322,0.05451819071190624
exact2023,poly12d2,169,0.07998670524774852,0.05461342703279056
exact2023,poly16d3,169,0.07767610521239218,0.05367832584524339
exact2024,linear8d1,152,0.06398799520188637,0.04409114227883838
exact2024,poly4d1,152,0.06355965428974884,0.0436218890877212
exact2024,poly8d1,152,0.06313402408654428,0.04313591938168652
exact2024,poly12d2,152,0.06268589948922283,0.042298107981693055
exact2024,poly16d3,152,0.06125014523483537,0.041798628145190156
random0,linear8d1,2644,0.08873688332639688,0.05695925269820454
random0,poly4d1,2644,0.08603931315514221,0.055595849460029316
random0,poly8d1,2644,0.08345151634943195,0.054549999633683795
random0,poly12d2,2644,0.08348110733322256,0.05338813102054802
random0,poly16d3,2644,0.08403159844004715,0.05430521210669843
random1,linear8d1,2644,0.08506020121924526,0.05569041608243494
random1,poly4d1,2644,0.08145208359935346,0.054099197547986325
random1,poly8d1,2644,0.07928263419477088,0.05424794801116176
random1,poly12d2,2644,0.07735430505847829,0.05203368781637132
random1,poly16d3,2644,0.0775069800903997,0.05250990340953095
random2,linear8d1,2644,0.08437939762934489,0.053604320604921596
random2,poly4d1,2644,0.08296770263028376,0.05292748231264974
random2,poly8d1,2644,0.08165696121959397,0.05274395731114506
random2,poly12d2,2644,0.08023505122991549,0.05118525879720169
random2,poly16d3,2644,0.08023770108171058,0.05153687410540746
