slice,n,rmse,gap_score
cohort=new,2648,0.06317750224616235,11.05
cohort=shared,464,0.05320502459606408,14.04
year=2010,81,0.047822023239508314,15.65
year=2011,96,0.06957163413395465,9.13
year=2012,73,0.07578361421521773,7.26
year=2013,108,0.0684006539311329,9.48
year=2014,107,0.03974261748579447,18.08
year=2015,102,0.054911772482652124,13.53
year=2016,123,0.0773660054491471,6.79
year=2017,155,0.050524782676655486,14.84
year=2018,123,0.056380330431354354,13.09
year=2019,218,0.06296190169664116,11.11
year=2020,215,0.10098399195476028,0.0
year=2021,171,0.06659973924440196,10.02
year=2022,195,0.05870505988122488,12.39
year=2023,203,0.05533499241570748,13.4
year=2024,217,0.04769639212668105,15.69
year=2025,925,0.05409051623427105,13.77
