exact,n,temp_rmse,precip_rmse,a,b
1.0,200,0.0,0.0,AOI-0002,AOI-0005
1.0,198,0.0,0.0,AOI-0001,AOI-0002
1.0,196,0.0,0.0,AOI-0044,AOI-0045
1.0,196,0.0,0.0,AOI-0032,AOI-0036
1.0,195,0.0,0.0,AOI-0001,AOI-0005
1.0,192,0.0,1.0205242676136983e-17,AOI-0003,AOI-0005
1.0,192,0.0,1.0205242676136983e-17,AOI-0002,AOI-0003
1.0,192,0.0,0.0,AOI-0037,AOI-0040
1.0,192,0.0,0.0,AOI-0020,AOI-0021
1.0,191,0.0,0.0,AOI-0064,AOI-0066
1.0,191,0.0,0.0,AOI-0040,AOI-0042
1.0,191,0.0,0.0,AOI-0026,AOI-0029
1.0,191,0.0,0.0,AOI-0020,AOI-0022
1.0,190,0.0,0.0,AOI-0028,AOI-0029
1.0,189,0.0,0.0,AOI-0026,AOI-0028
1.0,189,0.0,0.0,AOI-0021,AOI-0022
1.0,189,0.0,0.0,AOI-0007,AOI-0011
1.0,188,0.0,1.031323766959054e-17,AOI-0001,AOI-0003
1.0,188,0.0,0.0,AOI-0019,AOI-0022
1.0,188,0.0,0.0,AOI-0019,AOI-0021
1.0,188,0.0,0.0,AOI-0014,AOI-0015
1.0,188,0.0,0.0,AOI-0007,AOI-0009
1.0,187,0.0,0.0,AOI-0037,AOI-0042
1.0,186,0.0,0.0,AOI-0063,AOI-0065
1.0,186,0.0,0.0,AOI-0019,AOI-0020
1.0,186,0.0,0.0,AOI-0009,AOI-0011
1.0,184,0.0,0.0,AOI-0023,AOI-0024
0.0,204,0.8142776781999543,1.7331522878064596,AOI-0030,AOI-0046
0.0,204,0.8138529219760814,1.6884233285708241,AOI-0030,AOI-0048
0.0,203,1.460037204543019,3.147343852831438,AOI-0030,AOI-0033
0.0,203,1.425042873507002,3.019158407807328,AOI-0030,AOI-0036
0.0,203,0.13822262544710873,0.31034953344266514,AOI-0046,AOI-0048
0.0,202,1.116378416135371,3.388857294344207,AOI-0030,AOI-0066
0.0,202,0.8478479012990279,2.586923261734929,AOI-0036,AOI-0046
0.0,202,0.795762980958727,2.3886413153893997,AOI-0036,AOI-0048
0.0,202,0.1964509368125228,0.6177209736066297,AOI-0005,AOI-0030
0.0,202,0.19438974058413325,0.6159894104425533,AOI-0002,AOI-0030
0.0,201,1.1718576559677996,3.033926301931711,AOI-0046,AOI-0066
0.0,201,1.1127083674830514,2.860447528401137,AOI-0048,AOI-0066
0.0,201,0.8672833447308879,1.747413880978256,AOI-0030,AOI-0044
0.0,201,0.8376941133985637,2.5194828452769413,AOI-0033,AOI-0048
0.0,201,0.7731302176647679,1.7116347970294203,AOI-0002,AOI-0048
0.0,201,0.7677998209261402,1.7124742066866405,AOI-0005,AOI-0048
0.0,200,1.3696222963043296,2.790568409940549,AOI-0036,AOI-0066
0.0,200,1.3674959446610386,3.0009392271217155,AOI-0002,AOI-0036
0.0,200,1.3670601028305442,3.00145215242557,AOI-0005,AOI-0036
0.0,200,1.3541528961630767,2.6890008303067283,AOI-0033,AOI-0066
0.0,200,1.0343875612934874,3.3192773195374974,AOI-0005,AOI-0066
0.0,200,0.9215883006393686,2.6061775064202,AOI-0033,AOI-0044
0.0,200,0.9036006942417127,2.725608177686045,AOI-0033,AOI-0046
0.0,200,0.8005501093585622,1.8128123399824163,AOI-0002,AOI-0046
0.0,200,0.7948734836080003,1.8136843311620023,AOI-0005,AOI-0046
0.0,200,0.7897589875657409,1.7042724603118418,AOI-0030,AOI-0047
0.0,200,0.3894993472646114,0.8700032580205095,AOI-0030,AOI-0054
0.0,200,0.2647419066961667,0.4726429875703474,AOI-0044,AOI-0048
