mode,seed,cohort,method,n,cov,rmse,mae
all,0,all,blend_peer_0.00,2644,625,0.07312699909109267,0.043329571344909674
all,0,all,blend_peer_0.02,2644,625,0.07310245634302023,0.043342095481511765
all,0,all,blend_peer_0.05,2644,625,0.07312190679717397,0.04343010912104024
all,0,all,blend_peer_0.10,2644,625,0.07330411522490404,0.04367966362366926
all,0,all,blend_peer_0.15,2644,625,0.07367223467374195,0.044037603070866495
all,0,all,blend_peer_0.20,2644,625,0.07422349905794856,0.04450291549591681
all,0,all,blend_peer_0.25,2644,625,0.07495386754966789,0.045064809108863416
all,0,all,blend_peer_0.30,2644,625,0.07585816703932749,0.04568286662863936
all,0,all,blend_peer_0.40,2644,625,0.07816325473897356,0.047081571909457304
all,0,all,blend_peer_0.50,2644,625,0.08108160375125037,0.04872577926070578
all,0,2025,blend_peer_0.00,756,250,0.05239324524372342,0.03388654241008297
all,0,2025,blend_peer_0.02,756,250,0.05219507389110169,0.033837598722066334
all,0,2025,blend_peer_0.05,756,250,0.05197304417738048,0.033823067978497774
all,0,2025,blend_peer_0.10,756,250,0.05180617543823425,0.033892892270208155
all,0,2025,blend_peer_0.15,756,250,0.051895082855588866,0.034073343288498724
all,0,2025,blend_peer_0.20,756,250,0.05223846048858951,0.03438120150323572
all,0,2025,blend_peer_0.25,756,250,0.05283134677845706,0.03484512826020504
all,0,2025,blend_peer_0.30,756,250,0.05366547278475622,0.035374650446536836
all,0,2025,blend_peer_0.40,756,250,0.05601123510973093,0.03659454857584539
all,0,2025,blend_peer_0.50,756,250,0.05916657183018434,0.03822681975200227
all,0,private_only_2025,blend_peer_0.00,379,99,0.05632388062167609,0.03497269950379301
all,0,private_only_2025,blend_peer_0.02,379,99,0.05610757351002128,0.034917258836296594
all,0,private_only_2025,blend_peer_0.05,379,99,0.055819401705913346,0.03483894559244843
all,0,private_only_2025,blend_peer_0.10,379,99,0.05543749909809764,0.03471490305475737
all,0,private_only_2025,blend_peer_0.15,379,99,0.0551807178878744,0.03461468827563915
all,0,private_only_2025,blend_peer_0.20,379,99,0.055050808966943796,0.03454259247803681
all,0,private_only_2025,blend_peer_0.25,379,99,0.05504867055736086,0.034600013064452304
all,0,private_only_2025,blend_peer_0.30,379,99,0.05517431751526166,0.03474267223219461
all,0,private_only_2025,blend_peer_0.40,379,99,0.05580463728339686,0.03516511651524926
all,0,private_only_2025,blend_peer_0.50,379,99,0.05692493526640737,0.03593878716011608
all,0,historical_private_only,blend_peer_0.00,1888,375,0.0799353682192319,0.04711078420228732
all,0,historical_private_only,blend_peer_0.02,1888,375,0.07995584091059797,0.0471479215144253
all,0,historical_private_only,blend_peer_0.05,1888,375,0.0800386197431659,0.04727699635820237
all,0,historical_private_only,blend_peer_0.10,1888,375,0.08031487019094842,0.04759851910206789
all,0,historical_private_only,blend_peer_0.15,1888,375,0.08076234433532473,0.04802752912778919
all,0,historical_private_only,blend_peer_0.20,1888,375,0.08137821770373872,0.04855588995485056
all,0,historical_private_only,blend_peer_0.25,1888,375,0.08215870334959957,0.04915701182156773
all,0,historical_private_only,blend_peer_0.30,1888,375,0.08309916317802958,0.04981052098969313
all,0,historical_private_only,blend_peer_0.40,1888,375,0.08543797859584445,0.051280824896856994
all,0,historical_private_only,blend_peer_0.50,1888,375,0.08834560607977433,0.05292981177584342
all,0,exact_comp,blend_peer_0.00,789,625,0.05725311978385778,0.03879539128906239
all,0,exact_comp,blend_peer_0.02,789,625,0.05714799327315869,0.03883736063909524
all,0,exact_comp,blend_peer_0.05,789,625,0.05723132040742116,0.03913230114975847
all,0,exact_comp,blend_peer_0.10,789,625,0.0580071630356196,0.03996857758188918
all,0,exact_comp,blend_peer_0.15,789,625,0.05954947949879093,0.04116806034283912
all,0,exact_comp,blend_peer_0.20,789,625,0.061800911570823985,0.04272735825390759
all,0,exact_comp,blend_peer_0.25,789,625,0.06468745976357866,0.044610307192603185
all,0,exact_comp,blend_peer_0.30,789,625,0.06812844374867467,0.04668146572528708
all,0,exact_comp,blend_peer_0.40,789,625,0.07636247437934104,0.051368635259485616
all,0,exact_comp,blend_peer_0.50,789,625,0.08595685317729108,0.056878501212211816
all,0,all,peer_only,625,625,0.15940478616313275,0.1050276566435467
all,0,2025,peer_only,250,250,0.12402676274069883,0.07872359261970166
all,0,private_only_2025,peer_only,99,99,0.09848224926920729,0.06390211379849403
all,0,historical_private_only,peer_only,375,375,0.17914998698176077,0.12256369932611005
2025,0,all,blend_peer_0.00,756,238,0.053924913524637665,0.03476183250341118
2025,0,all,blend_peer_0.02,756,238,0.05388281221447938,0.034698562669822845
2025,0,all,blend_peer_0.05,756,238,0.053873016824917117,0.03463714133718362
2025,0,all,blend_peer_0.10,756,238,0.05399892082020229,0.03476416077559082
2025,0,all,blend_peer_0.15,756,238,0.0543013887706905,0.03508261184794199
2025,0,all,blend_peer_0.20,756,238,0.05477749592538335,0.035461429402815645
2025,0,all,blend_peer_0.25,756,238,0.055422767542189985,0.035927002612016895
2025,0,all,blend_peer_0.30,756,238,0.05623138028686819,0.03646245423008464
