mode,cohort,method,n,coverage,rmse_pooled,mae_pooled
2025,2025,base_peer_w0.05,1512.0,475.0,0.05566330310067567,0.035566865843048086
2025,2025,base,1512.0,475.0,0.055741096965046456,0.035476755942461524
2025,2025,base_peer_w0.10,1512.0,475.0,0.055821312806403504,0.03588093137668157
2025,2025,base_peer_w0.15,1512.0,475.0,0.05621313765415237,0.036345338285600465
2025,2025,hgb,1512.0,475.0,0.05627666606925264,0.03583111265152208
2025,2025,base_peer_w0.20,1512.0,475.0,0.05683394194106808,0.03687846719937972
2025,2025,base_peer_w0.25,1512.0,475.0,0.057676332219883664,0.037492048300829854
2025,2025,base_peer_w0.30,1512.0,475.0,0.05873077447350547,0.0381738238413085
2025,2025,lag,1512.0,475.0,0.060359196203551346,0.03966056647635065
2025,2025,base_peer_w0.40,1512.0,475.0,0.06142995771219071,0.0397097130937912
2025,2025,base_peer_w0.50,1512.0,475.0,0.06483135398363997,0.04144272286504142
2025,2025,peer_only,475.0,475.0,0.1362219512544474,0.08678303043647834
2025,all,base_peer_w0.05,1512.0,475.0,0.05566330310067567,0.035566865843048086
2025,all,base,1512.0,475.0,0.055741096965046456,0.035476755942461524
2025,all,base_peer_w0.10,1512.0,475.0,0.055821312806403504,0.03588093137668157
2025,all,base_peer_w0.15,1512.0,475.0,0.05621313765415237,0.036345338285600465
2025,all,hgb,1512.0,475.0,0.05627666606925264,0.03583111265152208
2025,all,base_peer_w0.20,1512.0,475.0,0.05683394194106808,0.03687846719937972
2025,all,base_peer_w0.25,1512.0,475.0,0.057676332219883664,0.037492048300829854
2025,all,base_peer_w0.30,1512.0,475.0,0.05873077447350547,0.0381738238413085
2025,all,lag,1512.0,475.0,0.060359196203551346,0.03966056647635065
2025,all,base_peer_w0.40,1512.0,475.0,0.06142995771219071,0.0397097130937912
2025,all,base_peer_w0.50,1512.0,475.0,0.06483135398363997,0.04144272286504142
2025,all,peer_only,475.0,475.0,0.1362219512544474,0.08678303043647834
2025,private_only,base,758.0,190.0,0.05290651506603675,0.034679976373915185
2025,private_only,base_peer_w0.05,758.0,190.0,0.05295396418774586,0.034737600569941664
2025,private_only,base_peer_w0.10,758.0,190.0,0.05316913214979012,0.03490933744813508
2025,private_only,hgb,758.0,190.0,0.053224670678133364,0.03506676692972227
2025,private_only,base_peer_w0.15,758.0,190.0,0.0535499972691605,0.03523528389559436
2025,private_only,base_peer_w0.20,758.0,190.0,0.054093059675829266,0.03559799474502696
2025,private_only,base_peer_w0.25,758.0,190.0,0.05479349693402524,0.0359960924041584
2025,private_only,base_peer_w0.30,758.0,190.0,0.05564536648298508,0.03640890717071432
2025,private_only,base_peer_w0.40,758.0,190.0,0.05777542497775779,0.03735462052123214
2025,private_only,lag,758.0,190.0,0.05813689108490275,0.039294117012999126
2025,private_only,base_peer_w0.50,758.0,190.0,0.06042216369923563,0.03849426364076737
2025,private_only,peer_only,190.0,190.0,0.1263680842089005,0.07848966504570817
all,2025,base_peer_w0.10,756.0,250.0,0.05189397565729629,0.03397181973929624
all,2025,base_peer_w0.05,756.0,250.0,0.05199801742631349,0.033851763895160564
all,2025,base_peer_w0.15,756.0,250.0,0.052082865003065276,0.034215259937661065
all,2025,base,756.0,250.0,0.05239324524372342,0.03388654241008297
all,2025,base_peer_w0.20,756.0,250.0,0.05256152745582635,0.03471795959213711
all,2025,hgb,756.0,250.0,0.053250677099711895,0.03442403864290447
all,2025,base_peer_w0.25,756.0,250.0,0.05332215987941841,0.03528717450437585
all,2025,base_peer_w0.30,756.0,250.0,0.05435292562574283,0.03591010730367007
all,2025,base_peer_w0.40,756.0,250.0,0.05716260820050019,0.03744797142197871
all,2025,lag,756.0,250.0,0.057955477580064696,0.03922032912397782
all,2025,base_peer_w0.50,756.0,250.0,0.06084968303211338,0.03929093935052271
all,2025,peer_only,250.0,250.0,0.13336903078986917,0.08501915142893085
all,all,base_peer_w0.10,2644.0,250.0,0.07302513493553868,0.04335395472648503
all,all,base_peer_w0.05,2644.0,250.0,0.07304629343547185,0.04331962710993187
all,all,base_peer_w0.15,2644.0,250.0,0.0730635753241407,0.04342356168184199
all,all,base,2644.0,250.0,0.07312699909109267,0.043329571344909674
all,all,base_peer_w0.20,2644.0,250.0,0.0731615206583305,0.04356729879938507
all,all,base_peer_w0.25,2644.0,250.0,0.07331873246335098,0.04373005465174985
all,all,base_peer_w0.30,2644.0,250.0,0.0735348306187329,0.04390817008150266
all,all,hgb,2644.0,250.0,0.0738059325387686,0.04362190292329903
all,all,base_peer_w0.40,2644.0,250.0,0.07414148608985985,0.044347892197025104
all,all,base_peer_w0.50,2644.0,250.0,0.07497582304650448,0.04487485276963451
all,all,lag,2644.0,250.0,0.07945899515216152,0.0499405790027258
all,all,peer_only,250.0,250.0,0.13336903078986917,0.08501915142893085
all,private_only,base_peer_w0.15,2267.0,99.0,0.07643480825515478,0.04510626123821941
all,private_only,base_peer_w0.10,2267.0,99.0,0.07643564999735462,0.04508647420808216
all,private_only,base_peer_w0.20,2267.0,99.0,0.07645386673156114,0.04514160254880723
all,private_only,base_peer_w0.05,2267.0,99.0,0.07645639130088976,0.04508354663650369
all,private_only,base_peer_w0.25,2267.0,99.0,0.07649281055192833,0.045189524280071565
all,private_only,base,2267.0,99.0,0.07649701597913672,0.0450815234608981
