mode,seed,cohort,method,n,coverage,rmse,mae
all,0,all,hgb,2644,250,0.0738059325387686,0.04362190292329903
all,0,all,lag,2644,250,0.07945899515216152,0.0499405790027258
all,0,all,base,2644,250,0.07312699909109267,0.043329571344909674
all,0,all,peer_only,250,250,0.13336903078986917,0.08501915142893085
all,0,all,base_peer_w0.05,2644,250,0.07304629343547185,0.04331962710993187
all,0,all,base_peer_w0.10,2644,250,0.07302513493553868,0.04335395472648503
all,0,all,base_peer_w0.15,2644,250,0.0730635753241407,0.04342356168184199
all,0,all,base_peer_w0.20,2644,250,0.0731615206583305,0.04356729879938507
all,0,all,base_peer_w0.25,2644,250,0.07331873246335098,0.04373005465174985
all,0,all,base_peer_w0.30,2644,250,0.0735348306187329,0.04390817008150266
all,0,all,base_peer_w0.40,2644,250,0.07414148608985985,0.044347892197025104
all,0,all,base_peer_w0.50,2644,250,0.07497582304650448,0.04487485276963451
all,0,2025,hgb,756,250,0.053250677099711895,0.03442403864290447
all,0,2025,lag,756,250,0.057955477580064696,0.03922032912397782
all,0,2025,base,756,250,0.05239324524372342,0.03388654241008297
all,0,2025,peer_only,250,250,0.13336903078986917,0.08501915142893085
all,0,2025,base_peer_w0.05,756,250,0.05199801742631349,0.033851763895160564
all,0,2025,base_peer_w0.10,756,250,0.05189397565729629,0.03397181973929624
all,0,2025,base_peer_w0.15,756,250,0.052082865003065276,0.034215259937661065
all,0,2025,base_peer_w0.20,756,250,0.05256152745582635,0.03471795959213711
all,0,2025,base_peer_w0.25,756,250,0.05332215987941841,0.03528717450437585
all,0,2025,base_peer_w0.30,756,250,0.05435292562574283,0.03591010730367007
all,0,2025,base_peer_w0.40,756,250,0.05716260820050019,0.03744797142197871
all,0,2025,base_peer_w0.50,756,250,0.06084968303211338,0.03929093935052271
all,0,private_only,hgb,2267,99,0.07714757610939631,0.045331298522837724
all,0,private_only,lag,2267,99,0.08273503990029529,0.05181566452978219
all,0,private_only,base,2267,99,0.07649701597913672,0.0450815234608981
all,0,private_only,peer_only,99,99,0.11906802115056718,0.07512932580759546
all,0,private_only,base_peer_w0.05,2267,99,0.07645639130088976,0.04508354663650369
all,0,private_only,base_peer_w0.10,2267,99,0.07643564999735462,0.04508647420808216
all,0,private_only,base_peer_w0.15,2267,99,0.07643480825515478,0.04510626123821941
all,0,private_only,base_peer_w0.20,2267,99,0.07645386673156114,0.04514160254880723
all,0,private_only,base_peer_w0.25,2267,99,0.07649281055192833,0.045189524280071565
all,0,private_only,base_peer_w0.30,2267,99,0.07655160936766738,0.04525331868050923
all,0,private_only,base_peer_w0.40,2267,99,0.07672857398802602,0.04539925472501365
all,0,private_only,base_peer_w0.50,2267,99,0.0769842142687411,0.045577001460640955
2025,0,all,hgb,756,238,0.05451510216322277,0.03500901622501005
2025,0,all,lag,756,238,0.05828310888531229,0.03868317158701905
2025,0,all,base,756,238,0.053924913524637665,0.03476183250341118
2025,0,all,peer_only,238,238,0.12901050530751815,0.08261898332119516
2025,0,all,base_peer_w0.05,756,238,0.05393352617049773,0.03474646388941581
2025,0,all,base_peer_w0.10,756,238,0.05416110921246723,0.034954019676844084
2025,0,all,base_peer_w0.15,756,238,0.05460492483707644,0.0353145997680375
