year,rows,hidden,eligible,hidden_rate_of_eligible
2010,2754,81,587,0.13798977853492334
2011,2788,96,656,0.14634146341463414
2012,2732,73,450,0.1622222222222222
2013,2784,108,628,0.17197452229299362
2014,2816,107,740,0.1445945945945946
2015,2813,102,724,0.1408839779005525
2016,2800,123,715,0.17202797202797201
2017,2970,155,1084,0.1429889298892989
2018,2904,123,932,0.13197424892703863
2019,3090,218,1436,0.15181058495821728
2020,3106,215,1480,0.14527027027027026
2021,3046,171,1249,0.13690952762209768
2022,3037,195,1291,0.15104570100697134
2023,3090,203,1438,0.1411682892906815
2024,3062,217,1368,0.15862573099415206
2025,13393,925,5975,0.15481171548117154
