seed,overlap,mismatch,exact
43,3112,0,True
63,516,5192,False
27,512,5200,False
74,511,5202,False
95,507,5210,False
101,506,5212,False
92,505,5214,False
59,501,5222,False
173,500,5224,False
143,499,5226,False
161,499,5226,False
116,498,5228,False
182,497,5230,False
144,495,5234,False
122,494,5236,False
179,494,5236,False
15,493,5238,False
10,492,5240,False
70,492,5240,False
123,492,5240,False
57,491,5242,False
165,491,5242,False
17,490,5244,False
184,489,5246,False
36,488,5248,False
147,488,5248,False
149,488,5248,False
157,488,5248,False
9,487,5250,False
142,487,5250,False
198,486,5252,False
174,485,5254,False
33,484,5256,False
50,484,5256,False
163,484,5256,False
40,483,5258,False
42,483,5258,False
79,483,5258,False
8,482,5260,False
75,482,5260,False
139,482,5260,False
164,482,5260,False
188,482,5260,False
18,481,5262,False
21,481,5262,False
5,480,5264,False
76,480,5264,False
77,480,5264,False
87,480,5264,False
104,480,5264,False
56,479,5266,False
105,479,5266,False
34,478,5268,False
54,478,5268,False
84,478,5268,False
155,478,5268,False
186,478,5268,False
102,477,5270,False
138,477,5270,False
146,477,5270,False
169,477,5270,False
177,477,5270,False
103,476,5272,False
134,476,5272,False
64,475,5274,False
118,475,5274,False
154,475,5274,False
85,474,5276,False
109,474,5276,False
119,474,5276,False
150,474,5276,False
183,474,5276,False
200,474,5276,False
25,473,5278,False
62,473,5278,False
187,473,5278,False
189,473,5278,False
60,472,5280,False
100,472,5280,False
192,472,5280,False
19,471,5282,False
152,471,5282,False
158,471,5282,False
176,471,5282,False
199,471,5282,False
16,470,5284,False
41,470,5284,False
66,470,5284,False
86,470,5284,False
112,470,5284,False
140,470,5284,False
151,470,5284,False
172,470,5284,False
38,469,5286,False
39,469,5286,False
65,469,5286,False
68,469,5286,False
110,469,5286,False
114,469,5286,False
48,468,5288,False
58,468,5288,False
81,468,5288,False
108,468,5288,False
162,468,5288,False
82,467,5290,False
93,467,5290,False
128,467,5290,False
30,466,5292,False
31,466,5292,False
47,466,5292,False
181,466,5292,False
193,466,5292,False
44,465,5294,False
69,465,5294,False
73,465,5294,False
24,464,5296,False
185,464,5296,False
190,464,5296,False
3,463,5298,False
49,463,5298,False
107,463,5298,False
136,462,5300,False
80,461,5302,False
88,461,5302,False
131,461,5302,False
135,461,5302,False
194,461,5302,False
37,460,5304,False
126,460,5304,False
156,460,5304,False
195,460,5304,False
14,459,5306,False
98,459,5306,False
117,459,5306,False
160,459,5306,False
2,458,5308,False
97,458,5308,False
20,457,5310,False
28,457,5310,False
83,457,5310,False
91,457,5310,False
133,457,5310,False
171,457,5310,False
178,457,5310,False
12,456,5312,False
61,456,5312,False
115,456,5312,False
166,456,5312,False
11,455,5314,False
23,455,5314,False
145,455,5314,False
191,455,5314,False
55,454,5316,False
121,454,5316,False
148,454,5316,False
90,453,5318,False
125,453,5318,False
168,453,5318,False
153,452,5320,False
29,451,5322,False
35,451,5322,False
45,451,5322,False
94,451,5322,False
96,451,5322,False
7,450,5324,False
170,450,5324,False
72,449,5326,False
113,449,5326,False
26,448,5328,False
196,447,5330,False
89,446,5332,False
120,446,5332,False
124,446,5332,False
175,446,5332,False
1,445,5334,False
52,444,5336,False
111,444,5336,False
130,444,5336,False
132,444,5336,False
167,444,5336,False
46,443,5338,False
129,443,5338,False
13,442,5340,False
22,442,5340,False
78,442,5340,False
6,440,5344,False
4,439,5346,False
51,439,5346,False
32,436,5352,False
53,436,5352,False
71,436,5352,False
106,436,5352,False
159,436,5352,False
141,435,5354,False
127,434,5356,False
137,433,5358,False
180,432,5360,False
67,429,5366,False
0,427,5370,False
197,426,5372,False
99,422,5380,False
