section,metric,value,seed
dataset,private_rows,57185,
dataset,known_target_rows,17641,
dataset,eligible_rows_recovered,20753,
dataset,actual_hidden_rows,3112,
mask,fraction,0.15,
mask,requested_hidden_count,3112,
mask,seed,43,
mask,exact_replay,True,
mask,mismatch_rows,0,
order,aoi_order_ok,True,
order,within_aoi_date_order_ok,True,
search,search_max_seed,100000,
search,exact_seeds,43,
alternate_rng,RandomState.choice,478,0.0
alternate_rng,default_rng.permutation,495,0.0
alternate_rng,python.sample,471,0.0
alternate_rng,RandomState.choice,489,42.0
alternate_rng,default_rng.permutation,451,42.0
alternate_rng,python.sample,493,42.0
alternate_rng,RandomState.choice,465,43.0
alternate_rng,default_rng.permutation,487,43.0
alternate_rng,python.sample,469,43.0
alternate_rng,RandomState.choice,468,2025.0
alternate_rng,default_rng.permutation,474,2025.0
alternate_rng,python.sample,417,2025.0
cv,protocol,train_full_known_exact_rng_mask,
cv,seed,43,
cv,frac,0.15,
cv,n_eligible,30520,
cv,n_hidden,4578,
cv,rmse,0.07468802056603459,
cv,mae,0.051559944664665215,
cv,n_scored,4578,
cv,method,"src.infer.predict_private(k=8,bin_days=30)",
