selection_rank,eligible_position,private_row_index,anon_polygon_id,date,actual_hidden
0,5700,12372,AOI-0022,2025-04-01,True
1,15521,40447,AOI-0061,2023-10-14,True
2,16427,41353,AOI-0062,2025-04-29,True
3,15270,40196,AOI-0061,2020-08-18,True
4,11219,31694,AOI-0046,2020-04-07,True
5,8755,23676,AOI-0032,2024-07-30,True
6,5762,12524,AOI-0022,2025-08-31,True
7,17594,45412,AOI-0067,2024-08-29,True
8,20086,55539,AOI-0074,2020-10-18,True
9,17295,44447,AOI-0067,2020-05-08,True
10,2534,6166,AOI-0013,2017-05-01,True
11,7739,20141,AOI-0031,2023-10-24,True
12,17749,46007,AOI-0068,2011-07-16,True
13,8883,24009,AOI-0033,2025-04-28,True
14,7426,19362,AOI-0031,2020-06-06,True
15,3433,8026,AOI-0014,2015-07-12,True
16,7139,18429,AOI-0031,2015-10-16,True
17,14916,39842,AOI-0061,2012-08-28,True
18,20560,56853,AOI-0076,2025-05-25,True
19,6420,15379,AOI-0028,2019-08-09,True
20,14971,39897,AOI-0061,2014-07-28,True
21,13885,38522,AOI-0058,2025-04-07,True
22,9368,25107,AOI-0038,2025-10-08,True
23,8209,22188,AOI-0032,2017-08-02,True
24,3540,8471,AOI-0014,2017-07-31,True
25,234,1532,AOI-0001,2017-05-12,True
26,12873,34935,AOI-0054,2025-04-19,True
27,1231,4610,AOI-0008,2025-10-16,True
28,4262,10365,AOI-0015,2025-07-08,True
29,20405,56445,AOI-0074,2025-05-12,True
30,10481,28796,AOI-0044,2023-06-30,True
31,4267,10372,AOI-0015,2025-07-15,True
32,18286,48285,AOI-0068,2022-05-12,True
33,2105,5646,AOI-0011,2025-05-24,True
34,11323,32051,AOI-0046,2021-08-29,True
35,14324,39101,AOI-0059,2019-04-21,True
36,6102,13301,AOI-0027,2025-07-12,True
37,7988,21005,AOI-0032,2012-04-06,True
38,371,2076,AOI-0001,2019-09-07,True
39,19654,53124,AOI-0073,2025-08-07,True
40,601,2907,AOI-0001,2023-08-17,True
41,15156,40082,AOI-0061,2019-05-25,True
42,14144,38921,AOI-0059,2015-08-02,True
43,8198,22157,AOI-0032,2017-07-02,True
44,2515,6147,AOI-0013,2016-09-13,True
45,12116,33878,AOI-0051,2015-10-06,True
46,7969,20889,AOI-0032,2011-07-12,True
47,5539,11978,AOI-0020,2025-05-03,True
48,13628,37702,AOI-0058,2021-05-09,True
49,7727,20117,AOI-0031,2023-09-30,True
50,16875,42471,AOI-0067,2010-10-09,True
51,4078,9909,AOI-0014,2024-06-08,True
52,14220,38997,AOI-0059,2017-06-04,True
53,2548,6180,AOI-0013,2017-06-30,True
54,9271,24869,AOI-0037,2025-09-13,True
55,12511,34273,AOI-0051,2022-09-06,True
56,5107,11272,AOI-0017,2022-10-19,True
57,12091,33853,AOI-0051,2015-06-10,True
58,5190,11355,AOI-0017,2024-04-04,True
59,16165,41091,AOI-0062,2021-07-29,True
60,3339,7569,AOI-0014,2013-06-11,True
61,2851,6483,AOI-0013,2021-07-14,True
62,6158,13599,AOI-0028,2011-05-25,True
63,10803,29830,AOI-0046,2011-05-30,True
64,5280,11445,AOI-0017,2025-05-04,True
65,1972,5477,AOI-0010,2024-07-08,True
66,10615,29181,AOI-0044,2025-05-20,True
67,2421,6053,AOI-0013,2014-08-13,True
68,13982,38759,AOI-0059,2011-04-23,True
69,8551,23155,AOI-0032,2022-04-26,True
70,5380,11595,AOI-0018,2025-06-15,True
71,8687,23519,AOI-0032,2023-09-24,True
72,5022,11187,AOI-0017,2021-09-27,True
73,17046,43495,AOI-0067,2015-08-29,True
74,8312,22565,AOI-0032,2019-06-14,True
75,14858,39784,AOI-0061,2010-06-11,True
76,18011,47311,AOI-0068,2017-08-11,True
77,8294,22518,AOI-0032,2019-04-28,True
78,12292,34054,AOI-0051,2019-06-25,True
79,3427,8000,AOI-0014,2015-06-16,True
80,4158,10110,AOI-0014,2025-05-27,True
81,5930,12928,AOI-0024,2025-08-09,True
82,20624,56917,AOI-0077,2025-05-09,True
83,9199,24675,AOI-0036,2025-10-02,True
84,2476,6108,AOI-0013,2015-10-07,True
85,12581,34343,AOI-0051,2023-09-27,True
86,13509,37323,AOI-0058,2019-06-25,True
87,12778,34634,AOI-0052,2025-08-22,True
88,3002,6634,AOI-0013,2023-07-12,True
89,16595,41663,AOI-0064,2025-04-23,True
90,9270,24868,AOI-0037,2025-09-12,True
91,11567,32843,AOI-0046,2025-06-30,True
92,1628,5133,AOI-0010,2019-06-26,True
93,12850,34857,AOI-0053,2025-09-01,True
94,19008,50957,AOI-0073,2015-07-01,True
95,3567,8532,AOI-0014,2017-09-30,True
96,11785,33425,AOI-0049,2025-05-04,True
97,13027,35225,AOI-0056,2025-07-23,True
98,18973,50709,AOI-0073,2014-05-27,True
99,245,1593,AOI-0001,2017-07-12,True
100,17708,45792,AOI-0068,2010-07-14,True
101,16532,41518,AOI-0063,2025-06-30,True
102,8135,21857,AOI-0032,2016-04-06,True
103,7018,17843,AOI-0031,2013-05-09,True
104,15921,40847,AOI-0062,2018-04-06,True
105,6381,15226,AOI-0028,2018-10-08,True
106,15586,40512,AOI-0061,2024-09-26,True
107,1271,4712,AOI-0009,2025-07-10,True
108,15390,40316,AOI-0061,2022-05-27,True
109,1304,4778,AOI-0009,2025-09-14,True
110,11468,32522,AOI-0046,2023-10-13,True
111,12258,34020,AOI-0051,2018-09-19,True
112,5265,11430,AOI-0017,2024-10-08,True
113,4961,11126,AOI-0017,2021-04-07,True
114,9955,26863,AOI-0044,2014-06-14,True
115,8038,21333,AOI-0032,2013-07-30,True
116,17669,45628,AOI-0067,2025-09-01,True
117,16699,41940,AOI-0065,2025-06-26,True
118,18416,48645,AOI-0068,2023-10-06,True
119,1392,4897,AOI-0010,2013-04-16,True
120,4547,10712,AOI-0017,2014-06-06,True
121,10080,27430,AOI-0044,2017-04-03,True
122,14292,39069,AOI-0059,2018-07-26,True
123,1454,4959,AOI-0010,2015-05-25,True
124,10196,27879,AOI-0044,2019-04-26,True
125,1294,4755,AOI-0009,2025-08-22,True
126,12762,34599,AOI-0052,2025-07-18,True
127,14005,38782,AOI-0059,2011-08-23,True
128,18989,50819,AOI-0073,2014-09-14,True
129,16344,41270,AOI-0062,2023-10-16,True
130,9325,25017,AOI-0038,2025-07-10,True
