candidate,seed,group,n,rmse,baseline_rmse,delta_rmse
ext40,0,all,2644,0.0715691565,0.0715691565,0.0000000000
ext40,1,all,2644,0.0644982523,0.0644982523,0.0000000000
ext40,70404,all,2644,0.0698641263,0.0698641263,0.0000000000
ext40,0,history,1888,0.0783223811,0.0783223811,0.0000000000
ext40,1,history,1888,0.0680570784,0.0680570784,0.0000000000
ext40,70404,history,1888,0.0645352640,0.0645352640,0.0000000000
ext40,0,2025,756,0.0509332310,0.0509332310,0.0000000000
ext40,1,2025,756,0.0546069512,0.0546069512,0.0000000000
ext40,70404,2025,756,0.0816675643,0.0816675643,0.0000000000
ext40,0,new,2267,0.0749224715,0.0749224715,0.0000000000
ext40,1,new,2267,0.0665045729,0.0665045729,0.0000000000
ext40,70404,new,2267,0.0716176482,0.0716176482,0.0000000000
ext40,0,shared,377,0.0465642964,0.0465642964,0.0000000000
ext40,1,shared,377,0.0507891398,0.0507891398,0.0000000000
ext40,70404,shared,377,0.0582164708,0.0582164708,0.0000000000
ext40,0,new2025,379,0.0549354761,0.0549354761,0.0000000000
ext40,1,new2025,379,0.0581564968,0.0581564968,0.0000000000
ext40,70404,new2025,379,0.0996630005,0.0996630005,0.0000000000
ext40,0,shared2025,377,0.0465642964,0.0465642964,0.0000000000
ext40,1,shared2025,377,0.0507891398,0.0507891398,0.0000000000
ext40,70404,shared2025,377,0.0582164708,0.0582164708,0.0000000000
ext40,0,source=Landsat,1169,0.0791212725,0.0791212725,0.0000000000
ext40,1,source=Landsat,1159,0.0546590113,0.0546590113,0.0000000000
ext40,0,source=MODIS,589,0.0726122323,0.0726122323,0.0000000000
ext40,1,source=MODIS,604,0.0656005173,0.0656005173,0.0000000000
ext40,0,source=S2,886,0.0593349125,0.0593349125,0.0000000000
ext40,1,source=S2,881,0.0748604253,0.0748604253,0.0000000000
ext40,70404,source=nan,2644,0.0698641263,0.0698641263,0.0000000000
ext40,0,distance_bin=0-7,2468,0.0711236582,0.0711236582,0.0000000000
ext40,1,distance_bin=0-7,2447,0.0648530547,0.0648530547,0.0000000000
ext40,0,distance_bin=17-32,12,0.1080307797,0.1080307797,0.0000000000
ext40,1,distance_bin=17-32,6,0.0822451627,0.0822451627,0.0000000000
ext40,0,distance_bin=8-16,164,0.0748306566,0.0748306566,0.0000000000
ext40,1,distance_bin=8-16,191,0.0590782712,0.0590782712,0.0000000000
ext40,70404,distance_bin=nan,2644,0.0698641263,0.0698641263,0.0000000000
c60_hist_0.07,0,all,2644,0.0714424080,0.0715691565,-0.0001267485
c60_hist_0.07,1,all,2644,0.0644623822,0.0644982523,-0.0000358701
c60_hist_0.07,70404,all,2644,0.0696215382,0.0698641263,-0.0002425881
c60_hist_0.07,0,history,1888,0.0781099550,0.0783223811,-0.0002124261
c60_hist_0.07,1,history,1888,0.0679543626,0.0680570784,-0.0001027159
c60_hist_0.07,70404,history,1888,0.0640998103,0.0645352640,-0.0004354537
c60_hist_0.07,0,2025,756,0.0511252100,0.0509332310,0.0001919789
c60_hist_0.07,1,2025,756,0.0547780093,0.0546069512,0.0001710581
c60_hist_0.07,70404,2025,756,0.0817993733,0.0816675643,0.0001318090
c60_hist_0.07,0,new,2267,0.0747469259,0.0749224715,-0.0001755456
c60_hist_0.07,1,new,2267,0.0664838399,0.0665045729,-0.0000207330
c60_hist_0.07,70404,new,2267,0.0713281568,0.0716176482,-0.0002894915
c60_hist_0.07,0,shared,377,0.0468945530,0.0465642964,0.0003302567
c60_hist_0.07,1,shared,377,0.0506327422,0.0507891398,-0.0001563976
c60_hist_0.07,70404,shared,377,0.0583153850,0.0582164708,0.0000989142
c60_hist_0.07,0,new2025,379,0.0550116965,0.0549354761,0.0000762204
c60_hist_0.07,1,new2025,379,0.0586112632,0.0581564968,0.0004547665
c60_hist_0.07,70404,new2025,379,0.0998209745,0.0996630005,0.0001579740
c60_hist_0.07,0,shared2025,377,0.0468945530,0.0465642964,0.0003302567
c60_hist_0.07,1,shared2025,377,0.0506327422,0.0507891398,-0.0001563976
c60_hist_0.07,70404,shared2025,377,0.0583153850,0.0582164708,0.0000989142
c60_hist_0.09,0,all,2644,0.0714419566,0.0715691565,-0.0001271999
c60_hist_0.09,1,all,2644,0.0645007598,0.0644982523,0.0000025074
c60_hist_0.09,70404,all,2644,0.0695951365,0.0698641263,-0.0002689898
c60_hist_0.09,0,history,1888,0.0780805266,0.0783223811,-0.0002418544
c60_hist_0.09,1,history,1888,0.0679657788,0.0680570784,-0.0000912996
c60_hist_0.09,70404,history,1888,0.0640219962,0.0645352640,-0.0005132679
c60_hist_0.09,0,2025,756,0.0512351482,0.0509332310,0.0003019172
c60_hist_0.09,1,2025,756,0.0549004972,0.0546069512,0.0002935460
c60_hist_0.09,70404,2025,756,0.0818729540,0.0816675643,0.0002053897
c60_hist_0.09,0,new,2267,0.0747299103,0.0749224715,-0.0001925612
c60_hist_0.09,1,new,2267,0.0665218261,0.0665045729,0.0000172532
c60_hist_0.09,70404,new,2267,0.0712872325,0.0716176482,-0.0003304157
c60_hist_0.09,0,shared,377,0.0470525349,0.0465642964,0.0004882385
c60_hist_0.09,1,shared,377,0.0506754771,0.0507891398,-0.0001136628
c60_hist_0.09,70404,shared,377,0.0583952263,0.0582164708,0.0001787556
