candidate,n,pooled_rmse,pooled_baseline_rmse,pooled_delta_rmse,worst_seed_delta,all_seed_improve
c80_hist_0.09_shock10_state05,7932,0.0685355110,0.0687099334,-0.0001744224,-0.0000803918,True
c80_hist_0.10_shock10_state05,7932,0.0685368261,0.0687099334,-0.0001731074,-0.0000645662,True
c80_hist_0.09,7932,0.0685481828,0.0687099334,-0.0001617506,-0.0000524873,True
c80_hist_0.10,7932,0.0685492405,0.0687099334,-0.0001606930,-0.0000369312,True
c80_hist_0.12_shock10_state05,7932,0.0685508873,0.0687099334,-0.0001590461,-0.0000200965,True
c80_hist_0.07,7932,0.0685574976,0.0687099334,-0.0001524359,-0.0000707705,True
c60_hist_0.07,7932,0.0685725284,0.0687099334,-0.0001374050,-0.0000358701,True
ext40,7932,0.0687099334,0.0687099334,0.0000000000,0.0000000000,True
c80_hist_0.12,7932,0.0685627849,0.0687099334,-0.0001471485,0.0000069947,False
c60_hist_0.09,7932,0.0685754674,0.0687099334,-0.0001344660,0.0000025074,False
c60_hist_0.10,7932,0.0685839755,0.0687099334,-0.0001259579,0.0000297867,False
c80_hist_0.15,7932,0.0686116529,0.0687099334,-0.0000982806,0.0001048456,False
c60_hist_0.12,7932,0.0686150603,0.0687099334,-0.0000948731,0.0001004919,False
c60_hist_0.15,7932,0.0686968039,0.0687099334,-0.0000131295,0.0002467742,False
