scope,seed,window,kind,n,coverage,seasonal_rmse,base_rmse,blend05,blend10,blend20
seed0,0,7,mean,2644,1.000000000,0.172459497,0.070303269,0.070839695,0.072225551,0.077335189
seed0,0,7,median,2644,1.000000000,0.183087705,0.070303269,0.071032544,0.072720415,0.078690678
seed0,0,7,trimmed,2644,1.000000000,0.176003020,0.070303269,0.070937482,0.072452038,0.077887255
seed0,0,14,mean,2644,1.000000000,0.172263237,0.070303269,0.070860697,0.072262113,0.077386171
seed0,0,14,median,2644,1.000000000,0.181153316,0.070303269,0.070945124,0.072532982,0.078282596
seed0,0,14,trimmed,2644,1.000000000,0.174410402,0.070303269,0.070884602,0.072333607,0.077611463
seed0,0,21,mean,2644,1.000000000,0.171583590,0.070303269,0.070835056,0.072205948,0.077259313
seed0,0,21,median,2644,1.000000000,0.179014853,0.070303269,0.070864511,0.072355509,0.077880265
seed0,0,21,trimmed,2644,1.000000000,0.172925127,0.070303269,0.070826513,0.072206913,0.077327353
seed0,0,30,mean,2644,1.000000000,0.171676331,0.070303269,0.070820408,0.072179879,0.077220575
seed0,0,30,median,2644,1.000000000,0.179734573,0.070303269,0.070866515,0.072368617,0.077938733
seed0,0,30,trimmed,2644,1.000000000,0.173916921,0.070303269,0.070830421,0.072226712,0.077409610
seed0,0,45,mean,2644,1.000000000,0.172530279,0.070303269,0.070806125,0.072164044,0.077236556
seed0,0,45,median,2644,1.000000000,0.181220359,0.070303269,0.070837959,0.072335140,0.077959938
seed0,0,45,trimmed,2644,1.000000000,0.175648720,0.070303269,0.070806001,0.072203397,0.077457821
seed1,1,7,mean,2644,1.000000000,0.174529060,0.062789157,0.063683640,0.065546881,0.071839739
seed1,1,7,median,2644,1.000000000,0.184832702,0.062789157,0.063755208,0.065826762,0.072860127
seed1,1,7,trimmed,2644,1.000000000,0.177355892,0.062789157,0.063701221,0.065619145,0.072110358
seed1,1,14,mean,2644,1.000000000,0.174416174,0.062789157,0.063710418,0.065594587,0.071911021
seed1,1,14,median,2644,1.000000000,0.183517495,0.062789157,0.063734798,0.065769923,0.072694806
seed1,1,14,trimmed,2644,1.000000000,0.176878667,0.062789157,0.063715089,0.065637874,0.072114613
seed1,1,21,mean,2644,1.000000000,0.173773600,0.062789157,0.063715172,0.065594359,0.071876073
seed1,1,21,median,2644,1.000000000,0.181096816,0.062789157,0.063757168,0.065775687,0.072569065
seed1,1,21,trimmed,2644,1.000000000,0.174732417,0.062789157,0.063708788,0.065596017,0.071930398
seed1,1,30,mean,2644,1.000000000,0.173545168,0.062789157,0.063731127,0.065620540,0.071906285
seed1,1,30,median,2644,1.000000000,0.180842698,0.062789157,0.063793900,0.065839459,0.072657738
seed1,1,30,trimmed,2644,1.000000000,0.175327662,0.062789157,0.063747635,0.065675837,0.072091889
seed1,1,45,mean,2644,1.000000000,0.173979743,0.062789157,0.063748845,0.065659193,0.071992300
seed1,1,45,median,2644,1.000000000,0.181997679,0.062789157,0.063809661,0.065885131,0.072795296
seed1,1,45,trimmed,2644,1.000000000,0.176709728,0.062789157,0.063759214,0.065716617,0.072232804
seed2,2,7,mean,2644,1.000000000,0.172712547,0.065108647,0.065732980,0.067294883,0.072954907
seed2,2,7,median,2644,1.000000000,0.182640701,0.065108647,0.065786767,0.067532016,0.073875961
seed2,2,7,trimmed,2644,1.000000000,0.175795926,0.065108647,0.065745671,0.067360363,0.073225496
seed2,2,14,mean,2644,1.000000000,0.172748733,0.065108647,0.065771008,0.067365735,0.073072964
seed2,2,14,median,2644,1.000000000,0.182603819,0.065108647,0.065821715,0.067595985,0.073977870
seed2,2,14,trimmed,2644,1.000000000,0.175302405,0.065108647,0.065779504,0.067416156,0.073290454
seed2,2,21,mean,2644,1.000000000,0.172150411,0.065108647,0.065770774,0.067357242,0.073027652
seed2,2,21,median,2644,1.000000000,0.179132355,0.065108647,0.065743797,0.067403146,0.073474748
seed2,2,21,trimmed,2644,1.000000000,0.173129249,0.065108647,0.065752253,0.067336181,0.073044544
seed2,2,30,mean,2644,1.000000000,0.172002591,0.065108647,0.065780018,0.067372356,0.073044697
seed2,2,30,median,2644,1.000000000,0.179021934,0.065108647,0.065764420,0.067439712,0.073528398
seed2,2,30,trimmed,2644,1.000000000,0.173591677,0.065108647,0.065775642,0.067385711,0.073150058
seed2,2,45,mean,2644,1.000000000,0.172702643,0.065108647,0.065802365,0.067423110,0.073164558
seed2,2,45,median,2644,1.000000000,0.180704517,0.065108647,0.065836241,0.067595923,0.073874057
seed2,2,45,trimmed,2644,1.000000000,0.175658412,0.065108647,0.065820844,0.067497433,0.073442232
seed70404,70404,7,mean,2644,1.000000000,0.176343428,0.068090888,0.068845219,0.070507820,0.076288332
seed70404,70404,7,median,2644,1.000000000,0.186308129,0.068090888,0.068985389,0.070901186,0.077453884
seed70404,70404,7,trimmed,2644,1.000000000,0.179204523,0.068090888,0.068919767,0.070683561,0.076724361
seed70404,70404,14,mean,2644,1.000000000,0.175890729,0.068090888,0.068885952,0.070577214,0.076379131
seed70404,70404,14,median,2644,1.000000000,0.185660484,0.068090888,0.068973608,0.070870520,0.077369385
seed70404,70404,14,trimmed,2644,1.000000000,0.178270705,0.068090888,0.068923901,0.070678770,0.076668151
seed70404,70404,21,mean,2644,1.000000000,0.175175564,0.068090888,0.068878833,0.070554686,0.076305569
seed70404,70404,21,median,2644,1.000000000,0.182795240,0.068090888,0.068918122,0.070728900,0.076986435
seed70404,70404,21,trimmed,2644,1.000000000,0.176405230,0.068090888,0.068884374,0.070581056,0.076411803
seed70404,70404,30,mean,2644,1.000000000,0.174805561,0.068090888,0.068884173,0.070559733,0.076295009
seed70404,70404,30,median,2644,1.000000000,0.181806612,0.068090888,0.068919064,0.070717229,0.076915318
seed70404,70404,30,trimmed,2644,1.000000000,0.176153627,0.068090888,0.068905010,0.070615906,0.076456133
seed70404,70404,45,mean,2644,1.000000000,0.175117999,0.068090888,0.068893490,0.070581042,0.076345954
seed70404,70404,45,median,2644,1.000000000,0.182230999,0.068090888,0.068914204,0.070714003,0.076932361
seed70404,70404,45,trimmed,2644,1.000000000,0.177551421,0.068090888,0.068917624,0.070657641,0.076596403
released,-1,7,mean,3112,1.000000000,0.172074237,0.061533340,0.062239962,0.063937304,0.069974469
released,-1,7,median,3112,1.000000000,0.182686540,0.061533340,0.062436553,0.064453351,0.071399418
released,-1,7,trimmed,3112,1.000000000,0.174434916,0.061533340,0.062291651,0.064066219,0.070313158
released,-1,14,mean,3112,1.000000000,0.171969050,0.061533340,0.062239026,0.063934089,0.069963500
released,-1,14,median,3112,1.000000000,0.181321865,0.061533340,0.062416712,0.064396632,0.071230931
released,-1,14,trimmed,3112,1.000000000,0.174002625,0.061533340,0.062286482,0.064050508,0.070263891
released,-1,21,mean,3112,1.000000000,0.171516136,0.061533340,0.062242489,0.063934074,0.069938764
released,-1,21,median,3112,1.000000000,0.179138593,0.061533340,0.062404509,0.064342040,0.071020156
released,-1,21,trimmed,3112,1.000000000,0.172445550,0.061533340,0.062279731,0.064015897,0.070122370
released,-1,30,mean,3112,1.000000000,0.171416975,0.061533340,0.062241880,0.063931550,0.069929258
released,-1,30,median,3112,1.000000000,0.178180340,0.061533340,0.062343917,0.064216620,0.070764320
released,-1,30,trimmed,3112,1.000000000,0.172554651,0.061533340,0.062259851,0.063980795,0.070071361
released,-1,45,mean,3112,1.000000000,0.172088842,0.061533340,0.062243569,0.063944164,0.069986410
released,-1,45,median,3112,1.000000000,0.179612420,0.061533340,0.062335678,0.064222463,0.070854143
released,-1,45,trimmed,3112,1.000000000,0.174330333,0.061533340,0.062264137,0.064014023,0.070222821
pooled,-1,7,mean,10576,1.000000000,0.174018174,0.066634324,0.067331934,0.068943596,0.074639145
pooled,-1,7,median,10576,1.000000000,0.184223085,0.066634324,0.067448557,0.069298219,0.075758799
pooled,-1,7,trimmed,10576,1.000000000,0.177095062,0.066634324,0.067383973,0.069081029,0.075024878
pooled,-1,14,mean,10576,1.000000000,0.173835625,0.066634324,0.067363483,0.068999544,0.074721557
pooled,-1,14,median,10576,1.000000000,0.183241074,0.066634324,0.067426241,0.069243346,0.075616544
pooled,-1,14,trimmed,10576,1.000000000,0.176221756,0.066634324,0.067382651,0.069066830,0.074955908
pooled,-1,21,mean,10576,1.000000000,0.173176525,0.066634324,0.067355988,0.068976954,0.074650434
pooled,-1,21,median,10576,1.000000000,0.180516533,0.066634324,0.067377128,0.069114981,0.075261303
pooled,-1,21,trimmed,10576,1.000000000,0.174303657,0.066634324,0.067349128,0.068979204,0.074712400
pooled,-1,30,mean,10576,1.000000000,0.173011967,0.066634324,0.067359533,0.068981339,0.074649158
pooled,-1,30,median,10576,1.000000000,0.180354578,0.066634324,0.067391619,0.069139519,0.075292736
pooled,-1,30,trimmed,10576,1.000000000,0.174750576,0.066634324,0.067370329,0.069024368,0.074809691
pooled,-1,45,mean,10576,1.000000000,0.173585832,0.066634324,0.067367809,0.069004236,0.074716354
pooled,-1,45,median,10576,1.000000000,0.181539412,0.066634324,0.067404131,0.069178938,0.075420275
pooled,-1,45,trimmed,10576,1.000000000,0.176393867,0.066634324,0.067380913,0.069065929,0.074963428
