year,variant,n,rmse,mae
2019,soft_doy_linear,249,0.08438697757751597,0.06327048538316372
2019,mode_doy_linear,249,0.09934586864013166,0.07218031656957537
2019,soft_doy_harm2,249,0.11863236681157686,0.09093792821607846
2019,soft_doy_harm4,249,0.08682497236223764,0.06489999409953505
2019,soft_doy_nearest,249,0.08194905623576686,0.06087651893002778
2019,global_doy_linear,249,0.08469280494971725,0.061425142239039894
2019,soft_global_linear,249,0.07689375092739728,0.05967522467172626
2020,soft_doy_linear,222,0.06986614625627624,0.04821314632689287
2020,mode_doy_linear,222,0.08078567945353551,0.05342890514739759
2020,soft_doy_harm2,222,0.10127076280301803,0.06512285648732305
2020,soft_doy_harm4,222,0.0704981799576793,0.04832196019758527
2020,soft_doy_nearest,222,0.07161225581443312,0.04928270945477953
2020,global_doy_linear,222,0.07110477397750205,0.04705958756920035
2020,soft_global_linear,222,0.07341897569229085,0.054048617424752546
2021,soft_doy_linear,130,0.12599939657094752,0.09125719854787864
2021,mode_doy_linear,130,0.15379511101992396,0.10506374631316745
2021,soft_doy_harm2,130,0.16583685243872778,0.11440459113323923
2021,soft_doy_harm4,130,0.1281555930845715,0.091858384766318
2021,soft_doy_nearest,130,0.14321724034352143,0.1039003593747244
2021,global_doy_linear,130,0.12675897979940834,0.09041995931930868
2021,soft_global_linear,130,0.11449502111143159,0.0823937747656466
2022,soft_doy_linear,192,0.09561630502041918,0.06592804741068256
2022,mode_doy_linear,192,0.11725430683606995,0.0806822517763146
2022,soft_doy_harm2,192,0.11527620179627551,0.08969977420434082
2022,soft_doy_harm4,192,0.11569669095263398,0.07775605978031666
2022,soft_doy_nearest,192,0.10588261595679287,0.07255775542507813
2022,global_doy_linear,192,0.09816259891696451,0.06807002179276442
2022,soft_global_linear,192,0.07782918902067064,0.056556483726925684
2023,soft_doy_linear,169,0.07821528663474815,0.05413525116537919
2023,mode_doy_linear,169,0.09006863274005676,0.06075724453532992
2023,soft_doy_harm2,169,0.09627083898049392,0.06873843166952939
2023,soft_doy_harm4,169,0.09257396658133636,0.06478473825077648
2023,soft_doy_nearest,169,0.08400470559899982,0.06042869341960724
2023,global_doy_linear,169,0.07965557839765121,0.053967845934183994
2023,soft_global_linear,169,0.08235338815751589,0.05998534535361531
2024,soft_doy_linear,152,0.09210607149031769,0.06125221669590592
2024,mode_doy_linear,152,0.11311419312792752,0.0743171246597474
2024,soft_doy_harm2,152,0.09282632013759412,0.06505782197017781
2024,soft_doy_harm4,152,0.09381443522643881,0.059621970731681795
2024,soft_doy_nearest,152,0.10355995666993069,0.06789307004495455
2024,global_doy_linear,152,0.09611911120590906,0.06381463501395566
2024,soft_global_linear,152,0.07237395332322928,0.050809193100434545
