scope,source,n,baseline_rmse,corrected_rmse,mean_alpha
2025,S2,1493,0.05538043475025628,0.05509812633030889,0.21093330582738043
2025,MOD,255,0.060035742201466034,0.059832686899243474,0.21093330582738043
2025,ALL,2268,0.062438112899989955,0.06210101383730813,0.21093330582738043
2025,L8,520,0.08018877696589981,0.07967821636972726,0.21093330582738043
all,MOD,1347,0.06752146079291187,0.06731355110928085,0.21093330582738043
all,S2,3523,0.06779176737649398,0.06747772172153627,0.21093330582738043
all,ALL,7932,0.06944909527214516,0.06907399003558422,0.21093330582738043
all,L8,3062,0.07211811756098548,0.07160746580597944,0.21093330582738043
history,MOD,1092,0.06915289287238355,0.06894364782249535,0.21093330582738043
history,L8,2542,0.07035318142013328,0.06984167505999708,0.21093330582738043
history,ALL,5664,0.07206547158922658,0.07167618675480127,0.21093330582738043
history,S2,2030,0.07563105546471181,0.07529456170354687,0.21093330582738043
new25,MOD,121,0.05786621134936487,0.058021477809175256,0.21093330582738043
new25,S2,751,0.05984317091254752,0.05977854881595775,0.21093330582738043
new25,ALL,1137,0.07245518201255599,0.0722302234535662,0.21093330582738043
new25,L8,265,0.10414641859717484,0.10353993164031668,0.21093330582738043
shared25,L8,255,0.042904750887142865,0.042488490830386264,0.21093330582738043
shared25,ALL,1131,0.05039954490552473,0.04988635338973792,0.21093330582738043
shared25,S2,742,0.05046328290864414,0.049916034810940854,0.21093330582738043
shared25,MOD,134,0.06192952957067074,0.0614223110296084,0.21093330582738043
