seed,scope,source,n,finite,alpha,baseline_rmse,corrected_rmse
0,all,ALL,2644,1924,0.22574337867563565,0.0734093265663058,0.07313731327181636
0,all,S2,1156,889,0.22574337867563565,0.06579418512458249,0.06586321683806483
0,all,L8,1035,656,0.22574337867563565,0.0828555541840109,0.0822949717443442
0,all,MOD,453,379,0.22574337867563565,0.06871302340717314,0.06838967528046223
0,2025,ALL,756,722,0.22574337867563565,0.052514436089002234,0.05228400477143727
0,2025,S2,502,477,0.22574337867563565,0.05127489692190195,0.05125317713363006
0,2025,L8,172,163,0.22574337867563565,0.05429269835431765,0.053009302837043595
0,2025,MOD,82,82,0.22574337867563565,0.05609784969808134,0.05680508881423591
0,shared25,ALL,377,360,0.22574337867563565,0.04856917992438361,0.047657976847503884
0,shared25,S2,251,239,0.22574337867563565,0.046583267143600414,0.045828702225891756
0,shared25,L8,85,80,0.22574337867563565,0.050262255376857815,0.04872273553567327
0,shared25,MOD,41,41,0.22574337867563565,0.056292936540969896,0.05572666768703459
0,new25,ALL,379,362,0.22574337867563565,0.05616459977129807,0.05651116520942823
0,new25,S2,251,238,0.22574337867563565,0.055571839369696036,0.0561560894727639
0,new25,L8,87,83,0.22574337867563565,0.05796043869235222,0.0568862246999762
0,new25,MOD,41,41,0.22574337867563565,0.05590208204612228,0.0578634145111164
0,history,ALL,1888,1202,0.22574337867563565,0.08026524414876567,0.07997721306084009
0,history,S2,654,412,0.22574337867563565,0.07505720048228615,0.07517551077243165
0,history,L8,863,493,0.22574337867563565,0.08744019945545932,0.08696092630430949
0,history,MOD,371,297,0.22574337867563565,0.07120031375058658,0.0706944531281217
1,all,ALL,2644,1920,0.18605142003917627,0.06654105909924508,0.06599593132969538
1,all,S2,1181,905,0.18605142003917627,0.07345667110013734,0.07293886160440591
1,all,L8,1002,630,0.18605142003917627,0.05634261960196914,0.05564756343106014
1,all,MOD,461,385,0.18605142003917627,0.06834731609618501,0.06797326036356113
1,2025,ALL,756,712,0.18605142003917627,0.05527804371885532,0.05495423090641604
1,2025,S2,471,437,0.18605142003917627,0.05734511608802638,0.057299482627273024
1,2025,L8,186,179,0.18605142003917627,0.044542769009148754,0.04396569977615605
1,2025,MOD,99,96,0.18605142003917627,0.06293976281650045,0.061722658362855856
1,shared25,ALL,377,356,0.18605142003917627,0.05157896509146422,0.051002724928436285
1,shared25,S2,231,214,0.18605142003917627,0.05244047866507757,0.05196770758759988
1,shared25,L8,93,89,0.18605142003917627,0.03747040085490137,0.037054896467475146
1,shared25,MOD,53,53,0.18605142003917627,0.06689066528183264,0.06575228835534327
1,new25,ALL,379,356,0.18605142003917627,0.058726899494757324,0.058621221374171584
1,new25,S2,240,223,0.18605142003917627,0.06169869269730301,0.06199977204709654
1,new25,L8,93,90,0.18605142003917627,0.05063680086436911,0.04992895113457596
1,new25,MOD,46,43,0.18605142003917627,0.05805522524483064,0.05672602108079428
1,history,ALL,1888,1208,0.18605142003917627,0.07054866472737616,0.06993015817944989
1,history,S2,710,468,0.18605142003917627,0.08242513893450175,0.08167791348468145
1,history,L8,816,451,0.18605142003917627,0.05870127231198073,0.057981887656195705
1,history,MOD,362,289,0.18605142003917627,0.06975321492214748,0.06958497512760062
2,all,ALL,2644,1926,0.22100511876732937,0.06821208638790288,0.06789049089242388
2,all,S2,1186,925,0.22100511876732937,0.06371057388429031,0.0632414046466707
2,all,L8,1025,659,0.22100511876732937,0.07417430319499735,0.07383869901728372
2,all,MOD,433,342,0.22100511876732937,0.06534411869562408,0.06544703295021007
2,2025,ALL,756,714,0.22100511876732937,0.07669501752008467,0.07626285537146664
2,2025,S2,520,485,0.22100511876732937,0.05735078234989435,0.05662554362800158
2,2025,L8,162,157,0.22100511876732937,0.12342054063974489,0.12318882996679648
2,2025,MOD,74,72,0.22100511876732937,0.06027668633969027,0.06053023625444394
2,shared25,ALL,377,353,0.22100511876732937,0.05099987746669965,0.050925279147536286
2,shared25,S2,260,240,0.22100511876732937,0.05224254729463919,0.051804321520765056
2,shared25,L8,77,75,0.22100511876732937,0.04014561258410019,0.04122590966500045
2,shared25,MOD,40,38,0.22100511876732937,0.0605928847973701,0.06104909019296561
2,new25,ALL,379,361,0.22100511876732937,0.09563445618437125,0.09498239916810583
2,new25,S2,260,245,0.22100511876732937,0.06203983175716464,0.061067312484721484
2,new25,L8,85,82,0.22100511876732937,0.16604703195681586,0.1654783335701431
2,new25,MOD,34,34,0.22100511876732937,0.05990255132252354,0.059914067517285126
2,history,ALL,1888,1212,0.22100511876732937,0.06450327955271871,0.06423274562982305
2,history,S2,666,440,0.22100511876732937,0.06826551002040056,0.06796066828585164
2,history,L8,863,502,0.22100511876732937,0.06062332555375139,0.06022388012354723
2,history,MOD,359,270,0.22100511876732937,0.06634055962084699,0.0664152907131627
