width,dataset,method,n,rmse_pooled,rmse_mean,mae_mean
8,exact_hidden_doy,crop,1114.0,0.06205791150139716,0.062487785483286325,0.043037684898860624
8,exact_hidden_doy,date,1114.0,0.06241595805904551,0.06287518402554403,0.04350116448340335
8,exact_hidden_doy,joint,1114.0,0.062450501613965315,0.0629019714188327,0.04349907496583397
8,exact_hidden_doy,state,1114.0,0.06268069042330168,0.06311756658580715,0.04367150612413068
8,random_private_like,crop,7932.0,0.06911390891366852,0.06904892855673435,0.042301810831755125
8,random_private_like,date,7932.0,0.06920236312651472,0.0691346893779656,0.04238121174901175
8,random_private_like,joint,7932.0,0.0691545104704549,0.06908602601520332,0.04228911498531274
8,random_private_like,state,7932.0,0.06940573509261076,0.06934189614018667,0.042459034142049816
12,exact_hidden_doy,crop,1114.0,0.06189866062842231,0.062340286653794985,0.0429122461102824
12,exact_hidden_doy,date,1114.0,0.06238518265915667,0.06282597576890638,0.04344104787141318
12,exact_hidden_doy,joint,1114.0,0.06242113973718357,0.06286663356167467,0.043499008680913435
12,exact_hidden_doy,state,1114.0,0.06268067813708153,0.0631338006663596,0.04379598951208655
12,random_private_like,crop,7932.0,0.0692263329960369,0.06915874505701262,0.04234213627423342
12,random_private_like,date,7932.0,0.0693020348906106,0.06923385203476058,0.04239128856395578
12,random_private_like,joint,7932.0,0.06927209559435499,0.06920555224286741,0.042271252530327756
12,random_private_like,state,7932.0,0.06943362800862446,0.06937345084606157,0.04242855633988487
16,exact_hidden_doy,crop,1114.0,0.06230510792989376,0.06284848030131653,0.04346714259845324
16,exact_hidden_doy,date,1114.0,0.06245155534273652,0.06293822707663774,0.043660624111214304
16,exact_hidden_doy,joint,1114.0,0.06255231024926074,0.06302975322968175,0.04373961545935442
16,exact_hidden_doy,state,1114.0,0.06276868905065772,0.0632061808772575,0.04383823143372834
16,random_private_like,crop,7932.0,0.06913007644477985,0.06906559402556416,0.04224398687033638
16,random_private_like,date,7932.0,0.06922115170588705,0.0691552979630145,0.04230374254851238
16,random_private_like,joint,7932.0,0.06912109991109804,0.06905638845698962,0.04212845391822621
16,random_private_like,state,7932.0,0.06935633619866959,0.06929578297018872,0.042390535945437534
24,exact_hidden_doy,crop,1114.0,0.06189403471383894,0.062316312346400615,0.04316558907225541
24,exact_hidden_doy,date,1114.0,0.062232033844770766,0.06265226953088254,0.04340367313182409
24,exact_hidden_doy,joint,1114.0,0.06230428581970194,0.06271890432220213,0.04344977561323627
24,exact_hidden_doy,state,1114.0,0.06269651853785872,0.0631354542017894,0.04378042031938132
24,random_private_like,crop,7932.0,0.06907399003558422,0.06900791183131187,0.04218197184133335
24,random_private_like,date,7932.0,0.06922648308551797,0.0691574999684449,0.04229446036743013
24,random_private_like,joint,7932.0,0.06920691240856655,0.0691379357899074,0.04223143905346303
24,random_private_like,state,7932.0,0.0694369296473083,0.0693752417855622,0.042507739296727465
32,exact_hidden_doy,crop,1114.0,0.0623286950691833,0.06275990475373833,0.043356890725844845
32,exact_hidden_doy,date,1114.0,0.06252990094236466,0.06294824934338304,0.04348743873391072
32,exact_hidden_doy,joint,1114.0,0.06249302205248427,0.06291239199960842,0.043535990295880865
32,exact_hidden_doy,state,1114.0,0.06260238501491984,0.06304789078364052,0.04372840679646412
32,random_private_like,crop,7932.0,0.06917897318421425,0.06911417790911102,0.04229475041846
32,random_private_like,date,7932.0,0.06932195757011146,0.0692545327237839,0.042400321935502604
32,random_private_like,joint,7932.0,0.06928080455658606,0.06921327640620963,0.04241348725027475
32,random_private_like,state,7932.0,0.06941980087121699,0.06935807076054386,0.04257573550989175
45,exact_hidden_doy,crop,1114.0,0.06239358329352285,0.06283010742928458,0.043437855005931204
45,exact_hidden_doy,date,1114.0,0.06252391687011714,0.06296264617437129,0.04352784169213384
45,exact_hidden_doy,joint,1114.0,0.06254072049369411,0.06298207475372304,0.04358106571271508
45,exact_hidden_doy,state,1114.0,0.0625833124058317,0.06303404360085765,0.043729955521233606
45,random_private_like,crop,7932.0,0.06932222130990004,0.06925306188017788,0.04239381038967638
45,random_private_like,date,7932.0,0.06943304094955788,0.06936651781011789,0.04250166889336868
45,random_private_like,joint,7932.0,0.06942920543023855,0.06936223872452303,0.04252303313496181
45,random_private_like,state,7932.0,0.06944855262704873,0.06938675899114347,0.04257127601228624
