width,dataset,partition,method,alpha,n,rmse,mae,finite,coef_date,coef_state
8,random_private_like,random0,date,0.39397414087675753,2644,0.07332971810255781,0.043415599320270205,2410,,
8,random_private_like,random0,crop,0.36626939003882714,2644,0.07313610171004249,0.04327674956767873,1924,,
8,random_private_like,random0,state,-0.4167378796720907,2644,0.07343779863117893,0.0434571773662766,2644,,
8,random_private_like,random0,joint,0.47373184156238696,2644,0.07330836323768974,0.043378620798957754,2410,0.36308546063721286,-0.3042873740133715
8,random_private_like,random1,date,0.2794601770700368,2644,0.06611849070688679,0.043091819471047905,2393,,
8,random_private_like,random1,crop,0.3008213898566902,2644,0.06603680315692675,0.04305440947849402,1920,,
8,random_private_like,random1,state,-0.27123168340065806,2644,0.06645493224159771,0.043237266012619596,2644,,
8,random_private_like,random1,joint,0.3264845991720392,2644,0.06606387275147502,0.04300353630938881,2393,0.2590645017331512,-0.1986901543566797
8,random_private_like,random2,date,0.3510170981494778,2644,0.06795585932445222,0.04063621645571716,2403,,
8,random_private_like,random2,crop,0.36822602710462143,2644,0.06797388080323377,0.040574273449092604,1926,,
8,random_private_like,random2,state,-0.28458702784301804,2644,0.06813295754778338,0.04068265904725323,2644,,
8,random_private_like,random2,joint,0.38916919237949,2644,0.0678858420564452,0.04048518784759164,2403,0.3244786751551126,-0.2148633278781826
8,exact_hidden_doy,exact2019,date,0.18447957420905745,249,0.05694908449686212,0.038996861886266825,244,,
8,exact_hidden_doy,exact2019,crop,0.2624005898465101,249,0.056442949003176514,0.0381420492258454,226,,
8,exact_hidden_doy,exact2019,state,-0.16836086283938867,249,0.05713621639767876,0.039477996326738166,249,,
8,exact_hidden_doy,exact2019,joint,0.16538364110421214,249,0.05693727600405213,0.03905946176272739,244,0.14845249126740595,-0.07289448937599884
8,exact_hidden_doy,exact2020,date,0.18107787394277894,222,0.05503063479844088,0.03749740560594939,219,,
8,exact_hidden_doy,exact2020,crop,0.25715878777001455,222,0.05438972945617571,0.03688800527619352,201,,
8,exact_hidden_doy,exact2020,state,-0.11641705948645592,222,0.05522122698872663,0.03743703164272151,222,,
8,exact_hidden_doy,exact2020,joint,0.15328952776258406,222,0.05500672102048958,0.037428682727108226,219,0.14549123763987765,-0.04826985696780842
8,exact_hidden_doy,exact2021,date,0.18043267445220199,130,0.07686502190360896,0.056481236416514535,126,,
8,exact_hidden_doy,exact2021,crop,0.24555300218717693,130,0.07581996178643888,0.055074416891241124,121,,
8,exact_hidden_doy,exact2021,state,-0.20966056814161455,130,0.07728104594282767,0.05704361277747285,130,,
8,exact_hidden_doy,exact2021,joint,0.17176714885233213,130,0.07690518466901516,0.05662359440112297,126,0.14495284222072036,-0.0921554499581776
8,exact_hidden_doy,exact2022,date,0.16795423865813883,192,0.06634065841498396,0.047084498486881565,189,,
8,exact_hidden_doy,exact2022,crop,0.2809494300748443,192,0.06630375647065795,0.04696970118669246,185,,
8,exact_hidden_doy,exact2022,state,-0.3471720312740449,192,0.06720011687590366,0.04771475535400375,192,,
8,exact_hidden_doy,exact2022,joint,0.2086724443409429,192,0.06662389404787028,0.04719708049100018,189,0.13834047594529297,-0.1562245234988852
8,exact_hidden_doy,exact2023,date,0.19621949505043418,169,0.07083786298391583,0.045066856306387314,169,,
8,exact_hidden_doy,exact2023,crop,0.2995568069333886,169,0.07123408452600426,0.04544268374911555,155,,
8,exact_hidden_doy,exact2023,state,-0.036147574853467535,169,0.070793933942006,0.04505123138146678,169,,
8,exact_hidden_doy,exact2023,joint,0.16180201832985333,169,0.07079796803169769,0.045024465979352835,169,0.16146435734990483,-0.010447700282666382
8,exact_hidden_doy,exact2024,date,0.19894364418908336,152,0.05122784155545248,0.03588012819842045,152,,
