seed,scope,n,finite,alpha,baseline_rmse,corrected_rmse
0,all,2644,2511,0.2487801609426434,0.0734093265663058,0.0733072827135241
0,2025,756,722,0.2487801609426434,0.052514436089002234,0.05233855904441723
0,shared25,377,360,0.2487801609426434,0.04856917992438361,0.04765215777469864
0,new25,379,362,0.2487801609426434,0.05616459977129807,0.056616681108244124
0,history,1888,1789,0.2487801609426434,0.08026524414876567,0.08018059143662214
1,all,2644,2507,0.18616957448933064,0.06654105909924508,0.065853000323787
1,2025,756,712,0.18616957448933064,0.05527804371885532,0.054954300366517016
1,shared25,377,356,0.18616957448933064,0.05157896509146422,0.05100264044741781
1,new25,379,356,0.18616957448933064,0.058726899494757324,0.05862142437429173
1,history,1888,1795,0.18616957448933064,0.07054866472737616,0.06974118266969179
2,all,2644,2495,0.19582162607721149,0.06821208638790288,0.06762840161669482
2,2025,756,714,0.19582162607721149,0.07669501752008467,0.0762729783395903
2,shared25,377,353,0.19582162607721149,0.05099987746669965,0.050868684144442705
2,new25,379,361,0.19582162607721149,0.09563445618437125,0.09502876860500434
2,history,1888,1781,0.19582162607721149,0.06450327955271871,0.06383954098320627
