dataset,method,n,rmse_pooled,rmse_mean,mae_mean
exact_hidden_doy,shock_shock_crop_a1.00,1114,0.06260309670436302,0.06293000248735768,0.04315950679625849
exact_hidden_doy,lagblend20,1114,0.06260634739886303,0.06305408551317317,0.04370571649624524
exact_hidden_doy,shock_shock_crop_a0.60,1114,0.062727057463869,0.06308105913173487,0.043346243063070077
exact_hidden_doy,joint_robust_shock,1114,0.06286473478840186,0.06328531167156125,0.04340810752774898
exact_hidden_doy,shock_shock_crop_a0.35,1114,0.0629385377549175,0.06331123808946251,0.04362192402758492
exact_hidden_doy,shock_shock_date_filled_a1.00,1114,0.06305049778462493,0.06342884339493053,0.04359710105037711
exact_hidden_doy,shock_shock_date_a1.00,1114,0.06307043069787464,0.0634444959244344,0.043596674626639464
exact_hidden_doy,shock_shock_date_filled_a0.60,1114,0.0631031700419546,0.06348944768912573,0.043724353527249786
exact_hidden_doy,shock_shock_date_a0.60,1114,0.06311847629755664,0.06350261906023608,0.04372978532422087
exact_hidden_doy,shock_shock_date_filled_a0.35,1114,0.06319670373516402,0.06358862300898806,0.04386423900822358
exact_hidden_doy,shock_shock_date_a0.35,1114,0.06320684133512403,0.06359766810668276,0.043868165445791675
exact_hidden_doy,hgb,1114,0.06340553155480409,0.06380614056177723,0.044115541207563384
exact_hidden_doy,shock_shock_near_a0.35,1114,0.06340553298263678,0.06379630246069266,0.04406838412771929
exact_hidden_doy,shock_shock_near_a0.60,1114,0.06343683192967293,0.06381916705334527,0.044074307923646035
exact_hidden_doy,robust_blend0.05,1114,0.063472289081844,0.06389636322690949,0.044236339389738304
exact_hidden_doy,shock_shock_near_a1.00,1114,0.0635410486428706,0.06390691236133841,0.04413038244841128
exact_hidden_doy,robust_blend0.10,1114,0.06365544419808902,0.06410410892158734,0.04444340379904216
exact_hidden_doy,interp_blend0.05,1114,0.06372220745445659,0.06414357397818964,0.04440332294719712
exact_hidden_doy,robust_blend0.15,1114,0.06395399687312599,0.06442808253092913,0.044719862953068755
exact_hidden_doy,interp_blend0.10,1114,0.06423874085693289,0.06468398125352232,0.04483422558711784
exact_hidden_doy,robust_blend0.20,1114,0.06436634136926321,0.06486639128642506,0.04508219931387156
exact_hidden_doy,interp_blend0.15,1114,0.06495036369254127,0.06542192789563382,0.045408415337166615
exact_hidden_doy,robust_blend0.30,1114,0.06552322036784183,0.0660757811633259,0.046034716007662714
exact_hidden_doy,interp_blend0.20,1114,0.06585075150365725,0.06635040611981631,0.0461262887191242
exact_hidden_doy,robust_blend0.40,1114,0.06710301851914509,0.06770742263879019,0.047309320442478785
exact_hidden_doy,interp_blend0.30,1114,0.06818635033409529,0.06874496526061974,0.048000431306080844
exact_hidden_doy,interp_blend0.40,1114,0.07117433892736098,0.07179228932454065,0.05035242989052058
random_private_like,joint_robust_shock,7932,0.06932770400386368,0.06926323894089094,0.04241554604092296
random_private_like,lagblend20,7932,0.06944909527214516,0.06938749068448459,0.042556569139854554
random_private_like,shock_shock_crop_a1.00,7932,0.06945683372902085,0.06938919435431125,0.04247111097002949
random_private_like,shock_shock_crop_a0.60,7932,0.06950818706663107,0.06944423382540194,0.04248951739070619
random_private_like,shock_shock_date_filled_a1.00,7932,0.06953710129925973,0.06946843090414422,0.04249063145311551
random_private_like,shock_shock_date_a1.00,7932,0.06954537188470883,0.06947651864831277,0.04250070304881345
random_private_like,shock_shock_date_filled_a0.60,7932,0.069573539642445,0.06950901428794108,0.0425204429067483
random_private_like,shock_shock_date_a0.60,7932,0.06958001093162762,0.06951539872172587,0.04252793079115021
random_private_like,shock_shock_crop_a0.35,7932,0.06960573328884864,0.06954349833552718,0.0425817392564257
random_private_like,shock_shock_date_filled_a0.35,7932,0.06965007913027411,0.06958752509929368,0.042604108713479666
random_private_like,shock_shock_date_a0.35,7932,0.06965440041971875,0.06959180356084302,0.042608947491717314
random_private_like,robust_blend0.05,7932,0.06978498358653516,0.06972740256253017,0.04283899389133864
random_private_like,shock_shock_near_a0.60,7932,0.06978816441581841,0.06972667820168381,0.04277302329963328
random_private_like,shock_shock_near_a1.00,7932,0.06979585335288002,0.06973337002421663,0.04278081257620181
random_private_like,shock_shock_near_a0.35,7932,0.06979684544644572,0.06973582761012755,0.04277692096491032
random_private_like,hgb,7932,0.06982641959795943,0.06976586618552615,0.04280183755898967
random_private_like,robust_blend0.10,7932,0.06984833081075606,0.06979373655969363,0.042992096911662274
random_private_like,robust_blend0.15,7932,0.07001617686290637,0.06996456187414565,0.043241991589269356
random_private_like,interp_blend0.05,7932,0.07002244296354158,0.06996500357377154,0.042951155061024864
random_private_like,robust_blend0.20,7932,0.07028777312249904,0.070239108613956,0.04360682397042923
random_private_like,interp_blend0.10,7932,0.07036080471851996,0.07030656849304508,0.043245359065503856
random_private_like,interp_blend0.15,7932,0.07083946527209319,0.07078845671743594,0.043678132361622525
random_private_like,robust_blend0.30,7932,0.07113700917443432,0.07109408084761358,0.04465428928397513
random_private_like,interp_blend0.20,7932,0.07145560521594942,0.07140778577184843,0.04424509244129939
random_private_like,robust_blend0.40,7932,0.07238161637004088,0.072344093667753,0.04602842854319623
random_private_like,interp_blend0.30,7932,0.07308564087623533,0.07304385678802224,0.04574532339272434
random_private_like,interp_blend0.40,7932,0.0752161219232617,0.07517961560726488,0.047679286347909515
