dataset,partition,method,n,rmse,mae,rmse_2025,mae_2025,n_2025,rmse_shared,mae_shared,n_shared,rmse_new,mae_new,n_new,rmse_S2,mae_S2,n_S2,rmse_L8,mae_L8,n_L8,rmse_MOD,mae_MOD,n_MOD
random_private_like,random0,hgb,2644,0.0738059325387686,0.04362190292329903,0.053250677099711895,0.03442403864290447,756.0,0.04913276562150362,0.03334285829689529,377,0.07714757610939631,0.045331298522837724,2267.0,0.06584004183226479,0.039541593627103244,1156,0.08352563385478153,0.04474591645565445,1035,0.06922521866418678,0.05146623744960027,453
random_private_like,random0,lagblend20,2644,0.0734093265663058,0.0434699149392176,0.052514436089002234,0.034052372529460036,756.0,0.04856917992438361,0.03299248601211271,377,0.07676463659412619,0.04521230166419268,2267.0,0.0657941851245825,0.03947555208146556,1156,0.0828555541840109,0.04466469382394716,1035,0.06871302340717314,0.05093324235172591,453
random_private_like,random0,interp_blend0.05,2644,0.07391508928367936,0.04382113878142375,0.053384892442857976,0.03464312248808301,756.0,0.04927795669849205,0.03352900496156427,377,0.0772539878254305,0.04553271110170915,2267.0,0.06596814764959812,0.039704807002931414,1156,0.08329721861081733,0.044784468553548736,1035,0.07021550178966585,0.052124523376981736,453
random_private_like,random0,robust_blend0.05,2644,0.07364451328146868,0.04363453496807659,0.053090455644744405,0.03449931070409355,756.0,0.049131819255858446,0.033430475398891324,377,0.07696755473522912,0.04533146062206108,2267.0,0.06575805798742676,0.0395802437541165,1156,0.08313840593172299,0.04463861201787924,1035,0.06948521375977516,0.051686501627661814,453
random_private_like,random0,interp_blend0.10,2644,0.074165023622795,0.04418760250532374,0.05369512814546824,0.03504896591067625,756.0,0.049612137759061516,0.03394515129386102,377,0.07749740641699716,0.04589091265385547,2267.0,0.06623392287392024,0.040033712234583574,1156,0.0831644507439364,0.044916105088398064,1035,0.07146373196922663,0.053123357426943366,453
random_private_like,random0,robust_blend0.10,2644,0.07358586269324059,0.0437594132081531,0.05305243118691852,0.03471997695021015,756.0,0.04927387033806822,0.03365913613581999,377,0.07688698643218571,0.04543907992904838,2267.0,0.06575429311258513,0.039711308426856204,1156,0.08282901461593023,0.04461731389923286,1035,0.0699741268636635,0.05212957195409496,453
random_private_like,random0,interp_blend0.15,2644,0.07455431974998912,0.04470995402371779,0.05417836051271767,0.035596644019840085,756.0,0.050131529475515996,0.034488283138004686,377,0.07787654716821685,0.04640980842332689,2267.0,0.06663572025064396,0.04050177837864603,1156,0.08312778854612947,0.04516427223192706,1035,0.07295667060172885,0.05441068625375387,453
random_private_like,random0,robust_blend0.15,2644,0.07363022635745041,0.04399799987985157,0.053136866057439225,0.03504328998727354,756.0,0.04955768922906774,0.03401735932368525,377,0.076906183767386,0.04565777115893172,2267.0,0.06582876062822625,0.039926411896772054,1156,0.08259833457750292,0.04468427770442382,1035,0.07068720815236482,0.05282020332357707,453
random_private_like,random0,interp_blend0.20,2644,0.07508080991209347,0.04535526180868821,0.05483001573042601,0.0362957338107561,756.0,0.05083045465043327,0.035144541452167,377,0.07838944079006163,0.04705329514543656,2267.0,0.0671710988929032,0.04107802912209319,1156,0.08318735908409682,0.0455117438195209,1035,0.07467964305306816,0.05591270574796415,453
random_private_like,random0,robust_blend0.20,2644,0.07377741844146622,0.0443604286452102,0.05334317875096222,0.03550256552471199,756.0,0.04998086087980716,0.034485766599854105,377,0.07702507214563326,0.04600257579611415,2267.0,0.0659811956516054,0.040236857473730056,1156,0.08244702650224173,0.04484991103590641,1035,0.07161776196847178,0.05376491871112738,453
