protocol,year,kind,order,alpha,rob,pm,rm,rmse,mae,n,seed
exact,2019,fourier,3,1,0,0,0.0,0.0961383715103856,0.07630258460109575,249,
exact,2019,fourier,3,1,0,1,0.0,0.09638587581728247,0.07708440803476117,249,
exact,2019,fourier,3,1,1,0,0.0,0.09600655624553833,0.07514499279789635,249,
exact,2019,fourier,3,1,1,1,0.0,0.09686437186886272,0.07668294787102681,249,
exact,2019,fourier,3,20,0,0,0.0,0.1367001114445452,0.1074377145811785,249,
exact,2019,fourier,3,20,0,1,0.0,0.13652389450135535,0.1071946942783524,249,
exact,2019,fourier,3,20,1,0,0.0,0.1792856220886955,0.13691419357204168,249,
exact,2019,fourier,3,20,1,1,0.0,0.17809378040140733,0.1358301067967953,249,
exact,2019,fourier,8,1,0,0,0.0,0.08243986527423189,0.0611811978190176,249,
exact,2019,fourier,8,1,0,1,0.0,0.08173366105098306,0.061009312784780265,249,
exact,2019,fourier,8,1,1,0,0.0,0.08140247212258125,0.05960173190365163,249,
exact,2019,fourier,8,1,1,1,0.0,0.08067227120076281,0.05934782312674842,249,
exact,2019,fourier,8,20,0,0,0.0,0.1301091773425783,0.10111763472095021,249,
exact,2019,fourier,8,20,0,1,0.0,0.1295521085244524,0.10059345443225669,249,
exact,2019,fourier,8,20,1,0,0.0,0.18916900126516065,0.14285001261109917,249,
exact,2019,fourier,8,20,1,1,0.0,0.18760116487433598,0.14154083510230708,249,
exact,2019,fourier,12,1,0,0,0.0,0.08619998290823871,0.06323643523856828,249,
exact,2019,fourier,12,1,0,1,0.0,0.08609403398584088,0.06319302339936529,249,
exact,2019,fourier,12,1,1,0,0.0,0.08409449435699279,0.06114933207246494,249,
exact,2019,fourier,12,1,1,1,0.0,0.0836236150257723,0.06037963064966744,249,
exact,2019,fourier,12,20,0,0,0.0,0.13725689115413311,0.10516257613678245,249,
exact,2019,fourier,12,20,0,1,0.0,0.13641221939573508,0.10441757352416065,249,
