protocol,year,kind,bw,deg,rmse,mae,n,seed
exact,2019,gauss,2,0,0.08054492996656928,0.05293991551765234,249,
exact,2019,gauss,2,1,0.08127482297518429,0.054386894531334655,249,
exact,2019,gauss,2,2,0.0979289143938156,0.06493667216792942,249,
exact,2019,gauss,3,0,0.07333279703899999,0.04988763835289351,249,
exact,2019,gauss,3,1,0.07439523329369753,0.05091445070498193,249,
exact,2019,gauss,3,2,0.09463460076222709,0.06122676186577845,249,
exact,2019,gauss,4,0,0.06924893577092438,0.0481748520387424,249,
exact,2019,gauss,4,1,0.07000734890222718,0.04865060371821595,249,
exact,2019,gauss,4,2,0.0854995383513352,0.055950615240288416,249,
exact,2019,gauss,5,0,0.06739855454046902,0.047415636151594574,249,
exact,2019,gauss,5,1,0.06867545179285109,0.04834869857823699,249,
exact,2019,gauss,5,2,0.07834851963208501,0.052261975196767826,249,
exact,2019,gauss,6,0,0.06669874564703367,0.04729059219633483,249,
exact,2019,gauss,6,1,0.06805422477204018,0.048258378264159206,249,
exact,2019,gauss,6,2,0.07338083037047642,0.05030885273764804,249,
exact,2019,gauss,8,0,0.06747613381799746,0.04824427963141046,249,
exact,2019,gauss,8,1,0.06831699136572462,0.04923857378898085,249,
exact,2019,gauss,8,2,0.0694367322097283,0.048573419375757515,249,
exact,2019,gauss,10,0,0.07029152129878768,0.0505397583271467,249,
exact,2019,gauss,10,1,0.07021997123756664,0.05115708610785477,249,
exact,2019,gauss,10,2,0.06771594022367307,0.04825985579793003,249,
exact,2019,gauss,12,0,0.07440852415750408,0.05431760828212212,249,
exact,2019,gauss,12,1,0.07309230474253336,0.0535635507945357,249,
exact,2019,gauss,12,2,0.06736995216963065,0.04885733010961948,249,
exact,2019,gauss,16,0,0.08448131807569079,0.06349752531477898,249,
exact,2019,gauss,16,1,0.08054989748209934,0.05976711861322386,249,
exact,2019,gauss,16,2,0.06914283244121681,0.05070415353143961,249,
exact,2019,gauss,20,0,0.0948198019274876,0.07261119399123714,249,
exact,2019,gauss,20,1,0.08845212443880325,0.06659143538029678,249,
exact,2019,gauss,20,2,0.07306136870029366,0.054045154234929865,249,
exact,2019,gauss,30,0,0.1156552582952239,0.09004890451784403,249,
exact,2019,gauss,30,1,0.10466931116803899,0.08015457562723115,249,
exact,2019,gauss,30,2,0.08805861824244161,0.06719198032433273,249,
exact,2019,tricube,2,0,0.09208504628234744,0.06139588814614272,249,
exact,2019,tricube,2,1,0.09208504628234744,0.06139588814614271,249,
exact,2019,tricube,2,2,0.09208504628234744,0.06139588814614271,249,
exact,2019,tricube,3,0,0.09060717010092048,0.05912504680958358,249,
exact,2019,tricube,3,1,0.09287077634520859,0.062103021807380386,249,
exact,2019,tricube,3,2,0.0943343304898755,0.0629338493778974,249,
exact,2019,tricube,4,0,0.08655723333077607,0.056266363828895265,249,
exact,2019,tricube,4,1,0.09095039103562871,0.05995663374125189,249,
exact,2019,tricube,4,2,0.0932574658225816,0.06302251603379677,249,
exact,2019,tricube,5,0,0.08418748102059063,0.0548872809052144,249,
exact,2019,tricube,5,1,0.09041006056229359,0.05828233236702096,249,
exact,2019,tricube,5,2,0.09420731705718077,0.06358259713034042,249,
exact,2019,tricube,6,0,0.08080483456458862,0.053006940848754916,249,
exact,2019,tricube,6,1,0.08388761328501651,0.0543023843649201,249,
exact,2019,tricube,6,2,0.09339268551789771,0.06186390199372604,249,
exact,2019,tricube,8,0,0.07706127207772463,0.05154145981326648,249,
exact,2019,tricube,8,1,0.07596625077808526,0.05260086625866806,249,
exact,2019,tricube,8,2,0.08402981079744798,0.05865831484829371,249,
exact,2019,tricube,10,0,0.07145963713373804,0.04942166302969013,249,
exact,2019,tricube,10,1,0.07320213577403446,0.05055741721857144,249,
exact,2019,tricube,10,2,0.09068514955995804,0.05984355121542936,249,
exact,2019,tricube,12,0,0.068283010123014,0.048238821712345364,249,
exact,2019,tricube,12,1,0.07035151916149839,0.04899646145836446,249,
exact,2019,tricube,12,2,0.08863389431705296,0.05855782734410025,249,
exact,2019,tricube,16,0,0.0665947489998844,0.0474686019482736,249,
exact,2019,tricube,16,1,0.06865561199067821,0.049049007593898145,249,
exact,2019,tricube,16,2,0.08430136397924988,0.05498600151258436,249,
exact,2019,tricube,20,0,0.06704601636199839,0.04819309839371795,249,
exact,2019,tricube,20,1,0.06818359745114526,0.04944645945694442,249,
exact,2019,tricube,20,2,0.07245395380228419,0.051071573826526405,249,
exact,2019,tricube,30,0,0.0746439132197778,0.054366777953163865,249,
exact,2019,tricube,30,1,0.0732225963950141,0.05396243243916205,249,
exact,2019,tricube,30,2,0.06788205636895943,0.048414794894717526,249,
exact,2019,epan,2,0,0.09208504628234744,0.06139588814614272,249,
exact,2019,epan,2,1,0.09208504628234744,0.06139588814614272,249,
exact,2019,epan,2,2,0.09208504628234744,0.06139588814614272,249,
exact,2019,epan,3,0,0.09035534368531595,0.05876692293546292,249,
exact,2019,epan,3,1,0.09285236071300082,0.06207368459525486,249,
exact,2019,epan,3,2,0.0943343304898755,0.06293384937789741,249,
exact,2019,epan,4,0,0.08490455901267922,0.055424196011144525,249,
exact,2019,epan,4,1,0.09086016489692261,0.0597734604319843,249,
exact,2019,epan,4,2,0.0932656479204082,0.0630713850073549,249,
exact,2019,epan,5,0,0.08331875366759305,0.05458488849691805,249,
exact,2019,epan,5,1,0.09030091683455306,0.058262357062088925,249,
exact,2019,epan,5,2,0.09419820547172177,0.0635363251017196,249,
exact,2019,epan,6,0,0.07923215699137287,0.052084970077481335,249,
exact,2019,epan,6,1,0.08301162553132366,0.05358705221372989,249,
exact,2019,epan,6,2,0.09212353656446776,0.0613664669950174,249,
exact,2019,epan,8,0,0.07310475574457972,0.050129714551680866,249,
exact,2019,epan,8,1,0.07495618628045099,0.052142684892718595,249,
exact,2019,epan,8,2,0.08174937953042954,0.057439830644238854,249,
exact,2019,epan,10,0,0.06859188002686839,0.048639001310683286,249,
exact,2019,epan,10,1,0.07131079460749375,0.04983871875334422,249,
exact,2019,epan,10,2,0.09032972056198205,0.05985837677042127,249,
exact,2019,epan,12,0,0.06677539244524135,0.04734082022017716,249,
exact,2019,epan,12,1,0.07007590429966888,0.04921290897068412,249,
exact,2019,epan,12,2,0.08766156552028075,0.05728779963241097,249,
exact,2019,epan,16,0,0.066841247157145,0.04796545319218179,249,
exact,2019,epan,16,1,0.06828466115437422,0.04930836999174653,249,
exact,2019,epan,16,2,0.07554869902069454,0.05210832382571949,249,
exact,2019,epan,20,0,0.06885933935390569,0.04940610548009587,249,
exact,2019,epan,20,1,0.06924995421367539,0.050478401211843514,249,
exact,2019,epan,20,2,0.07091028827941723,0.05017078224193895,249,
exact,2019,epan,30,0,0.08052354462712605,0.05970825733095791,249,
exact,2019,epan,30,1,0.07755753000389957,0.05750365819864613,249,
exact,2019,epan,30,2,0.06784526923170205,0.04912468155869067,249,
exact,2019,median,2,0,0.08951405312842974,0.05917098547016584,249,
exact,2019,median,3,0,0.08320507674076214,0.054929190038389704,249,
exact,2019,median,4,0,0.07101917850455002,0.04979143808011511,249,
exact,2019,median,5,0,0.0700074656990963,0.04907674298094224,249,
exact,2019,median,6,0,0.06810494842198882,0.04725462351877404,249,
exact,2019,median,8,0,0.06848545148895441,0.04790919836189901,249,
exact,2019,median,10,0,0.06852306379681646,0.048403521680109834,249,
exact,2019,median,12,0,0.07011347401365772,0.05000639449026958,249,
exact,2019,median,16,0,0.07816334383440146,0.05621189666855727,249,
exact,2019,median,20,0,0.0816112587659763,0.059723378940908296,249,
exact,2019,median,30,0,0.09394832708997794,0.06962678278308264,249,
exact,2020,gauss,2,0,0.06769477169659628,0.04782095779154655,222,
exact,2020,gauss,2,1,0.07023990731920884,0.04943697906782411,222,
exact,2020,gauss,2,2,0.08350647492178861,0.05921461358020556,222,
exact,2020,gauss,3,0,0.06596200125230783,0.04665598368469618,222,
exact,2020,gauss,3,1,0.06741242924679008,0.04733643523590741,222,
exact,2020,gauss,3,2,0.07107545518581518,0.05028506651056441,222,
exact,2020,gauss,4,0,0.06487324685525542,0.04566362097228492,222,
exact,2020,gauss,4,1,0.06692640852626397,0.04697299944177794,222,
exact,2020,gauss,4,2,0.06833077633762312,0.048386042458388206,222,
exact,2020,gauss,5,0,0.0639516655344296,0.0446005797889419,222,
exact,2020,gauss,5,1,0.06633097578529756,0.046580278006431296,222,
exact,2020,gauss,5,2,0.06789946350154824,0.04776011170860926,222,
exact,2020,gauss,6,0,0.06316888728481972,0.04386989616977802,222,
exact,2020,gauss,6,1,0.065514289635652,0.046077072830382926,222,
exact,2020,gauss,6,2,0.0685836269665371,0.048328997365151324,222,
exact,2020,gauss,8,0,0.06248647764199896,0.043797473027134576,222,
exact,2020,gauss,8,1,0.06436091013656145,0.04546766020421544,222,
exact,2020,gauss,8,2,0.06813471338875529,0.04740745694102888,222,
exact,2020,gauss,10,0,0.06306575196721513,0.04464328511580918,222,
exact,2020,gauss,10,1,0.06444006276364123,0.04601933916790998,222,
exact,2020,gauss,10,2,0.06525275178196469,0.04531330266625484,222,
exact,2020,gauss,12,0,0.06446513476827997,0.04607818594438935,222,
exact,2020,gauss,12,1,0.0653214785288573,0.04703855718014867,222,
exact,2020,gauss,12,2,0.06377702786861565,0.044262131394067566,222,
exact,2020,gauss,16,0,0.06878071165012899,0.050053028564648716,222,
exact,2020,gauss,16,1,0.06882375278849684,0.05014603918806745,222,
exact,2020,gauss,16,2,0.06327156640848271,0.04439013527682093,222,
exact,2020,gauss,20,0,0.07442707231544206,0.05452210375665851,222,
exact,2020,gauss,20,1,0.07382473426543577,0.053841275096229914,222,
exact,2020,gauss,20,2,0.06433599170686158,0.04532328424198513,222,
exact,2020,gauss,30,0,0.08933548435726643,0.0659016849089769,222,
exact,2020,gauss,30,1,0.08673197600113415,0.06275518179710933,222,
exact,2020,gauss,30,2,0.07097366039595122,0.05090403228936521,222,
exact,2020,tricube,2,0,0.07712517712300497,0.05302875337309473,222,
exact,2020,tricube,2,1,0.07712517712300497,0.05302875337309473,222,
exact,2020,tricube,2,2,0.07712517712300497,0.05302875337309473,222,
exact,2020,tricube,3,0,0.0764327795938059,0.05201857474349334,222,
exact,2020,tricube,3,1,0.0781652846090798,0.053552684986678055,222,
exact,2020,tricube,3,2,0.07860518897410552,0.05406964719311507,222,
exact,2020,tricube,4,0,0.07166819703464058,0.049623042055856374,222,
exact,2020,tricube,4,1,0.07556914625751582,0.052883831612429995,222,
exact,2020,tricube,4,2,0.07851272279842832,0.05643582516503457,222,
exact,2020,tricube,5,0,0.06847712543746351,0.0483247057701289,222,
exact,2020,tricube,5,1,0.07175183592046482,0.05103803592119908,222,
exact,2020,tricube,5,2,0.0822256631130102,0.056542806449011884,222,
exact,2020,tricube,6,0,0.0675511675623576,0.047896090724001375,222,
exact,2020,tricube,6,1,0.0704088502582746,0.049624238247232715,222,
exact,2020,tricube,6,2,0.08301644413136652,0.0581109450203565,222,
exact,2020,tricube,8,0,0.06637813053639123,0.04705559102129768,222,
exact,2020,tricube,8,1,0.06807994418992855,0.04806694616934239,222,
exact,2020,tricube,8,2,0.07881040154219869,0.05569048147353261,222,
exact,2020,tricube,10,0,0.06576664268169874,0.04629391977206529,222,
exact,2020,tricube,10,1,0.06686441425760507,0.04700276079741182,222,
exact,2020,tricube,10,2,0.07129051735829994,0.05167326209501975,222,
exact,2020,tricube,12,0,0.06504867299843356,0.04555905180728624,222,
exact,2020,tricube,12,1,0.06686230635702176,0.046169282554788464,222,
exact,2020,tricube,12,2,0.06808053754048221,0.04840478360475596,222,
exact,2020,tricube,16,0,0.06362073130114142,0.043866319571553423,222,
exact,2020,tricube,16,1,0.06626368303931394,0.04637610706254897,222,
exact,2020,tricube,16,2,0.06832884218140117,0.04814126887664045,222,
exact,2020,tricube,20,0,0.062373292789818235,0.04366289824670578,222,
exact,2020,tricube,20,1,0.0648997346667382,0.04602638555392414,222,
exact,2020,tricube,20,2,0.06889545358500701,0.048553574178616055,222,
exact,2020,tricube,30,0,0.06421233162372754,0.04562075634751116,222,
exact,2020,tricube,30,1,0.06526094466734576,0.04658866070033418,222,
exact,2020,tricube,30,2,0.06625512955770287,0.04608861594315726,222,
exact,2020,epan,2,0,0.07712517712300497,0.053028753373094734,222,
exact,2020,epan,2,1,0.07712517712300497,0.05302875337309473,222,
exact,2020,epan,2,2,0.07712517712300497,0.05302875337309473,222,
exact,2020,epan,3,0,0.07628766769567685,0.05181644739488954,222,
exact,2020,epan,3,1,0.07813148778023449,0.05351067291797683,222,
exact,2020,epan,3,2,0.07860518897410552,0.05406964719311505,222,
exact,2020,epan,4,0,0.07012684665517974,0.04903522441989724,222,
exact,2020,epan,4,1,0.07545764204920044,0.052562874879357444,222,
exact,2020,epan,4,2,0.07852972600697622,0.0564721093871623,222,
exact,2020,epan,5,0,0.06856076506854808,0.0484635582227687,222,
exact,2020,epan,5,1,0.07026452497071334,0.05037319597670307,222,
exact,2020,epan,5,2,0.08214784436140884,0.0562359280535319,222,
exact,2020,epan,6,0,0.0668361500107961,0.04755813076444395,222,
exact,2020,epan,6,1,0.0704745451768346,0.049623437540917276,222,
exact,2020,epan,6,2,0.08145137081418988,0.05738420286779822,222,
exact,2020,epan,8,0,0.06594214912946672,0.04645541443679072,222,
exact,2020,epan,8,1,0.06752566565608466,0.048091429203105746,222,
exact,2020,epan,8,2,0.07795843645678684,0.055203813412864684,222,
exact,2020,epan,10,0,0.06530285746659126,0.04582458116859267,222,
exact,2020,epan,10,1,0.06674536337783565,0.04665907708586586,222,
exact,2020,epan,10,2,0.0708077537056925,0.05148018191463511,222,
exact,2020,epan,12,0,0.06460433912212997,0.04470620447201228,222,
exact,2020,epan,12,1,0.06694162671160594,0.046337800625846894,222,
exact,2020,epan,12,2,0.06857539959170653,0.0487699178526143,222,
exact,2020,epan,16,0,0.0629271663381422,0.043932338792309525,222,
exact,2020,epan,16,1,0.0656590922865308,0.04641611565561962,222,
exact,2020,epan,16,2,0.06872202003775965,0.04819537000526767,222,
exact,2020,epan,20,0,0.062115771584863984,0.04379155556568519,222,
exact,2020,epan,20,1,0.06415479030697016,0.0458626380954503,222,
exact,2020,epan,20,2,0.06832900180500442,0.04826130072231681,222,
exact,2020,epan,30,0,0.06677074686348475,0.047851450606697696,222,
exact,2020,epan,30,1,0.06678929399804337,0.04804850619809844,222,
exact,2020,epan,30,2,0.0648479215168425,0.04526030181009991,222,
exact,2020,median,2,0,0.07332798699540896,0.05017149537503265,222,
exact,2020,median,3,0,0.06660973921038173,0.04665484440592235,222,
exact,2020,median,4,0,0.06563878935524557,0.04577527938441925,222,
exact,2020,median,5,0,0.06572085875878246,0.04590470552241447,222,
exact,2020,median,6,0,0.06541952301941395,0.04517998903708421,222,
exact,2020,median,8,0,0.06488293764989324,0.04464780427334633,222,
exact,2020,median,10,0,0.06427427697599532,0.044830723526204104,222,
exact,2020,median,12,0,0.0641954513973442,0.04465567194138058,222,
exact,2020,median,16,0,0.0688931706170384,0.0469857078648586,222,
exact,2020,median,20,0,0.07297698545111271,0.0494259581523578,222,
exact,2020,median,30,0,0.08348530621419352,0.05687851454844265,222,
exact,2021,gauss,2,0,0.12334114143429177,0.08252947746921464,130,
exact,2021,gauss,2,1,0.12373133566215128,0.0856154727916075,130,
exact,2021,gauss,2,2,0.13635043406305003,0.09509250297859473,130,
exact,2021,gauss,3,0,0.11104199961844931,0.07658828625373484,130,
exact,2021,gauss,3,1,0.11565247496735012,0.08062301180342756,130,
exact,2021,gauss,3,2,0.1354904835339947,0.09068091836117839,130,
exact,2021,gauss,4,0,0.10473076989444206,0.0732465489597773,130,
exact,2021,gauss,4,1,0.10605328552226477,0.07534138457232803,130,
exact,2021,gauss,4,2,0.12165904331830295,0.08290450335187903,130,
exact,2021,gauss,5,0,0.10203465580467692,0.07192028822179271,130,
exact,2021,gauss,5,1,0.1018830733629378,0.07299098889924865,130,
exact,2021,gauss,5,2,0.11398153061086129,0.07720197813227951,130,
exact,2021,gauss,6,0,0.10092403805568906,0.07165781526545018,130,
exact,2021,gauss,6,1,0.09923242636923313,0.0721001095394801,130,
exact,2021,gauss,6,2,0.10939483117827202,0.0745665103200066,130,
exact,2021,gauss,8,0,0.10128172451055852,0.07249634695105624,130,
exact,2021,gauss,8,1,0.09798656473093624,0.07297232893932548,130,
exact,2021,gauss,8,2,0.10389089908527811,0.07315695013229463,130,
exact,2021,gauss,10,0,0.10391635117285088,0.07490522342842315,130,
exact,2021,gauss,10,1,0.09836660981028916,0.07420209502673013,130,
exact,2021,gauss,10,2,0.10007866321552361,0.07187179836172906,130,
exact,2021,gauss,12,0,0.10778611576521879,0.07811462692572119,130,
exact,2021,gauss,12,1,0.09842510977840122,0.07501134259567667,130,
exact,2021,gauss,12,2,0.09648603569270439,0.07070229737192045,130,
exact,2021,gauss,16,0,0.11687031622430724,0.08708901682862516,130,
exact,2021,gauss,16,1,0.10441506315347288,0.0807712070324532,130,
exact,2021,gauss,16,2,0.0952225084341844,0.07091257897689417,130,
exact,2021,gauss,20,0,0.12587725134892627,0.09575933908456277,130,
exact,2021,gauss,20,1,0.11108313354566886,0.0870108549459465,130,
exact,2021,gauss,20,2,0.09797821194434457,0.07415979546902943,130,
exact,2021,gauss,30,0,0.14410609934635327,0.11156229388388303,130,
